,retorno_diario
2011-07-18,-0.0006329889131691061
2011-07-19,9.067002214909655e-05
2011-07-20,0.00215935629603764
2011-07-21,0.0020774802775015496
2011-07-22,0.0008419328556298557
2011-07-25,0.0024749708021764116
2011-07-26,0.0006041689478997655
2011-07-27,0.000325010096801349
2011-07-28,-0.0017761772814603135
2011-07-29,-0.001522673132868202
2011-08-01,-0.0010166516825439935
2011-08-02,0.00038435023799742357
2011-08-03,-0.0006646822094018141
2011-08-04,0.00016007858868198518
2011-08-05,-0.0024029715753137735
2011-08-08,-0.00036957104877558634
2011-08-09,0.00853457872599663
2011-08-10,-0.004951212435151667
2011-08-11,0.009843086970351682
2011-08-12,0.0025994994664873612
2011-08-15,-0.0012126921911394676
2011-08-16,0.0024707347897737447
2011-08-17,0.002043116976535684
2011-08-18,0.0017143304054335368
2011-08-19,-0.0016828952840233584
2011-08-22,0.00038837639891621165
2011-08-23,0.00595365695281407
2011-08-24,-0.003450524398387241
2011-08-25,0.0022067204693895478
2011-08-26,0.0036558857747073263
2011-08-29,0.004973191284265919
2011-08-30,0.0022091606178546515
2011-08-31,0.002501246435336941
2011-09-01,-0.0024424470796913667
2011-09-02,-0.0036866066670343174
2011-09-06,-0.00015147422014161378
2011-09-07,0.002495521499797022
2011-09-08,-0.0015961127711699016
2011-09-09,-0.0008429572780783453
2011-09-12,0.00206577876183902
2011-09-13,0.001721339597870263
2011-09-14,0.0015295782342532862
2011-09-15,0.001726909875380452
2011-09-16,0.0006775477913706566
2011-09-19,-0.002309975089786906
2011-09-20,0.00036681586397900313
2011-09-21,-0.004432909467040593
2011-09-22,-0.0013225411511286736
2011-09-23,0.0028848012197960848
2011-09-26,0.0024381917852520168
2011-09-27,0.005243566688820395
2011-09-28,-0.002303640563865498
2011-09-29,0.0015644608654793945
2011-09-30,0.0005407662550070673
2011-10-03,-0.00275230987080546
2011-10-04,0.004137424794177577
2011-10-05,0.0056440124007800345
2011-10-06,0.0023165188444761323
2011-10-07,-0.0028431465364886824
2011-10-10,0.001410356663606882
2011-10-11,0.0006667141960185243
2011-10-12,0.005140720788062362
2011-10-13,0.00020597065512901653
2011-10-14,-0.0004701053788295504
2011-10-17,-0.002961715198893079
2011-10-18,0.0047161466153538886
2011-10-19,6.511629243763361e-06
2011-10-20,0.0002526276231968346
2011-10-21,0.0003464007528242478
2011-10-24,0.0038815277049655842
2011-10-25,0.0014963421348577976
2011-10-26,0.0006496880804488042
2011-10-27,0.004431530215419472
2011-10-28,0.0037797745118747393
2011-10-31,-0.0029922731886762523
2011-11-01,-0.002068561734612289
2011-11-02,0.0026312178026261335
2011-11-03,-0.0013053550459706474
2011-11-04,-0.0010506135215277703
2011-11-07,-0.002294440322305182
2011-11-08,0.0020144351197959637
2011-11-09,-0.0006871302168565897
2011-11-10,0.0012252636435836582
2011-11-11,0.0014590989947763791
2011-11-14,-0.0008746173609138393
2011-11-15,0.0019236019123968135
2011-11-16,0.002308277667515694
2011-11-17,-8.167432570641009e-05
2011-11-18,0.00029505122170112773
2011-11-21,-0.0012186165435837373
2011-11-22,-0.0001490600891721659
2011-11-23,-0.0016064899949973037
2011-11-25,-0.00020841229431635782
2011-11-28,0.0037981403049245177
2011-11-29,-0.0014207913410079246
2011-11-30,-0.0004477672083920109
2011-12-01,0.0009717853355091186
2011-12-02,0.0015300317983875109
2011-12-05,0.002043015652805834
2011-12-06,0.000903395820677938
2011-12-07,-0.00044835470339833576
2011-12-08,-0.002087134515416428
2011-12-09,-0.0003411438981234786
2011-12-12,0.0013824149031603987
2011-12-13,-0.0016021459797455895
2011-12-14,-0.0008757555105029365
2011-12-15,0.0035006038144488735
2011-12-16,-0.00045082911303770217
2011-12-19,0.0007111259381240761
2011-12-20,-9.034835109740235e-05
2011-12-21,-0.0002886373953608421
2011-12-22,0.0003478954960440585
2011-12-23,-0.0002532853849051062
2011-12-27,0.0007694546858270636
2011-12-28,-0.0007771632642071387
2011-12-29,0.0005372608589264879
2011-12-30,9.49395187958076e-05
2012-01-03,0.0015932083989149647
2012-01-04,0.0019088783496875714
2012-01-05,5.7626293119765006e-05
2012-01-06,-0.00029206372077671773
2012-01-09,2.5621359065850872e-05
2012-01-10,0.0004333564431693517
2012-01-11,-0.0006070702737135401
2012-01-12,0.0016214142604885147
2012-01-13,-0.0021258126067801816
2012-01-17,-0.0007140175205564693
2012-01-18,-4.501934939213452e-05
2012-01-19,-9.781512921668104e-05
2012-01-20,0.0019080135242773957
