date,JWN
2015-12-17,38.5969497023
2015-12-18,38.0255885458
2015-12-21,37.6271393183
2015-12-22,38.1985004747
2015-12-23,38.7623437213
2015-12-24,38.3037512141
2015-12-28,37.8526766169
2015-12-29,38.2511258444
2015-12-30,37.8226049771
2015-12-31,37.4467094794
2016-01-04,37.6872825979
2016-01-05,37.5669960386
2016-01-06,36.4543453655
2016-01-07,36.4618632754
2016-01-08,34.7628156259
2016-01-11,35.1913364933
2016-01-12,35.4243917018
2016-01-13,34.5447962372
2016-01-14,34.424509678
2016-01-15,34.1689007396
2016-01-19,34.6876365264
2016-01-20,34.6575648865
2016-01-21,35.890502119
2016-01-22,36.1010035977
2016-01-25,35.236443953
2016-01-26,36.1160394176
2016-01-27,36.1010035977
2016-01-28,36.0784498678
2016-01-29,36.9129378727
2016-02-01,37.5369243988
2016-02-02,36.9580453324
2016-02-03,37.987998996
2016-02-04,35.6574469104
2016-02-05,36.2212901569
2016-02-08,38.2285721146
2016-02-09,37.8451587069
2016-02-10,36.9805990622
2016-02-11,36.9805990622
2016-02-12,36.7700975835
2016-02-16,38.2661616643
2016-02-17,39.2810795081
2016-02-18,39.6344212759
2016-02-19,36.9655632423
2016-02-22,38.6195034321
2016-02-23,38.2360900245
2016-02-24,39.0329884796
2016-02-25,39.4164018872
2016-02-26,39.4765451669
2016-02-29,38.5819138824
2016-03-01,39.3111511479
2016-03-02,39.6569750058
2016-03-03,40.1681928826
2016-03-04,41.2658913312
2016-03-07,41.4021573455
2016-03-08,41.7201113788
2016-03-09,42.2727457702
2016-03-10,43.1584748631
2016-03-11,42.7648174885
2016-03-14,42.439293121
2016-03-15,42.9767868441
2016-03-16,43.0373495171
2016-03-17,44.0744852926
2016-03-18,44.3015953164
2016-03-21,43.6581169156
2016-03-22,42.9616461758
2016-03-23,42.4241524527
2016-03-24,42.3711601138
2016-03-28,42.9237945052
2016-03-29,43.385584887
2016-03-30,43.5294212354
2016-03-31,43.3098815457
2016-04-01,43.3250222139
2016-04-04,42.0532060805
2016-04-05,41.5459936939
2016-04-06,41.4248683478
2016-04-07,39.7064025008
2016-04-08,38.7146887301
2016-04-11,38.4875787062
2016-04-12,39.0553537658
2016-04-13,39.3581671309
2016-04-14,38.8358140761
2016-04-15,39.1386274412
2016-04-18,39.6155584913
2016-04-19,39.7518245056
2016-04-20,40.5542799231
2016-04-21,40.3347402334
2016-04-22,39.0553537658
2016-04-25,39.3733077992
2016-04-26,39.9486531929
2016-04-27,40.4785765819
2016-04-28,39.9183718564
2016-04-29,38.7071183959
2016-05-02,39.0553537658
2016-05-03,38.4572973697
2016-05-04,37.5110056037
2016-05-05,36.875097537
2016-05-06,36.3830258187
2016-05-09,37.2460439092
2016-05-10,36.9886525489
2016-05-11,34.392027943
2016-05-12,34.2406212605
2016-05-13,29.6454284448
2016-05-16,29.1760677289
2016-05-17,28.5023079915
2016-05-18,27.5333052232
2016-05-19,28.0935099486
2016-05-20,28.8581136955
2016-05-23,28.888395032
2016-05-24,28.7748400201
2016-05-25,28.9186763686
2016-05-26,28.7899806884
2016-05-27,29.1798609367
2016-05-31,29.0346114324
2016-06-01,29.1645715152
2016-06-02,30.0437132516
2016-06-03,30.3877252353
2016-06-06,30.4565276321
2016-06-07,30.9610785417
2016-06-08,31.0069468062
2016-06-09,30.2501204418
2016-06-10,29.7226354
2016-06-13,28.8052701099
2016-06-14,28.0407990348
2016-06-15,28.2777850681
2016-06-16,28.1172461423
2016-06-17,28.6523758949
2016-06-20,28.8282042421
2016-06-21,28.8587830851
2016-06-22,28.8893619281
2016-06-23,29.2410186227
2016-06-24,28.3848110186
2016-06-27,27.6738529187
2016-06-28,28.3695215971
