date,TIF
2018-09-13,126.03
2018-09-14,128.69
2018-09-17,125.88
2018-09-18,125.12
2018-09-19,124.73
2018-09-20,127.05
2018-09-21,126.62
2018-09-24,125.59
2018-09-25,126.24
2018-09-26,129.21
2018-09-27,128.55
2018-09-28,128.97
2018-10-01,128.35
2018-10-02,125.28
2018-10-03,124.45
2018-10-04,120.75
2018-10-05,122.0
2018-10-08,121.88
2018-10-09,122.95
2018-10-10,110.38
2018-10-11,111.45
2018-10-12,112.84
2018-10-15,112.32
2018-10-16,114.66
2018-10-17,112.0
2018-10-18,109.62
2018-10-19,107.01
2018-10-22,108.01
2018-10-23,107.87
2018-10-24,106.72
2018-10-25,107.29
2018-10-26,106.93
2018-10-29,107.5
2018-10-30,109.6
2018-10-31,111.3
2018-11-01,115.33
2018-11-02,115.92
2018-11-05,116.43
2018-11-06,115.21
2018-11-07,117.03
2018-11-08,116.56
2018-11-09,110.36
2018-11-12,109.1
2018-11-13,108.21
2018-11-14,105.57
2018-11-15,105.96
2018-11-16,106.49
2018-11-19,102.48
2018-11-20,100.14
2018-11-21,102.35
2018-11-23,102.41
2018-11-26,106.37
2018-11-27,104.95
2018-11-28,92.54
2018-11-29,89.77
2018-11-30,91.0
2018-12-03,94.65
2018-12-04,90.89
2018-12-06,88.52
2018-12-07,86.02
2018-12-10,85.11
2018-12-11,84.18
2018-12-12,85.94
2018-12-13,83.76
2018-12-14,82.66
2018-12-17,80.69
2018-12-18,80.1
2018-12-19,77.77
2018-12-20,78.14
2018-12-21,75.78
2018-12-24,74.21
2018-12-26,77.8
2018-12-27,78.9
2018-12-28,79.12
2018-12-31,80.51
2019-01-02,81.83
2019-01-03,79.59
2019-01-04,82.38
2019-01-07,85.9
2019-01-08,86.97
2019-01-09,86.48
2019-01-10,84.96
2019-01-11,85.82
2019-01-14,85.36
2019-01-15,84.57
2019-01-16,84.01
2019-01-17,85.26
2019-01-18,89.82
2019-01-22,87.6
2019-01-23,87.34
2019-01-24,87.52
2019-01-25,88.88
2019-01-28,88.19
2019-01-29,87.6
2019-01-30,87.98
2019-01-31,88.73
2019-02-01,88.2
2019-02-04,88.38
2019-02-05,89.63
2019-02-06,89.66
2019-02-07,88.57
2019-02-08,88.08
2019-02-11,87.85
2019-02-12,89.73
2019-02-13,90.93
2019-02-14,90.33
2019-02-15,90.83
2019-02-19,90.38
2019-02-20,91.62
2019-02-21,91.49
2019-02-22,92.7
2019-02-25,94.01
2019-02-26,94.89
2019-02-27,95.78
2019-02-28,95.04
2019-03-01,95.93
2019-03-04,94.6
2019-03-05,94.87
2019-03-06,94.79
2019-03-07,94.49
2019-03-08,94.33
2019-03-11,96.28
2019-03-12,95.87
2019-03-13,96.55
2019-03-14,95.47
2019-03-15,96.56
2019-03-18,97.35
2019-03-19,97.02
2019-03-20,97.07
2019-03-21,100.06
2019-03-22,103.21
2019-03-25,102.8
2019-03-26,103.13
2019-03-27,104.42
2019-03-28,104.79
2019-03-29,105.55
2019-04-01,105.81
2019-04-02,106.21
2019-04-03,106.9
2019-04-04,107.3
2019-04-05,107.5
2019-04-08,106.62
2019-04-09,105.72
2019-04-10,105.88
2019-04-11,106.04
2019-04-12,106.18
2019-04-15,105.87
2019-04-16,107.23
2019-04-17,106.18
2019-04-18,107.12
2019-04-22,105.72
2019-04-23,107.74
2019-04-24,106.75
2019-04-25,104.82
2019-04-26,107.74
2019-04-29,107.6
2019-04-30,107.82
2019-05-01,106.33
2019-05-02,107.9
2019-05-03,109.55
2019-05-06,105.61
2019-05-07,103.97
2019-05-08,105.74
2019-05-09,104.92
2019-05-10,104.85
2019-05-13,97.68
2019-05-14,98.34
2019-05-15,98.36
2019-05-16,99.44
2019-05-17,96.02
2019-05-20,95.39
2019-05-21,97.86
2019-05-22,98.51
2019-05-23,95.38
2019-05-24,93.65
2019-05-28,91.19
2019-05-29,90.82
2019-05-30,90.05
2019-05-31,89.11
2019-06-03,90.17
2019-06-04,92.51
2019-06-05,92.45
2019-06-06,91.19
2019-06-07,90.47
2019-06-10,92.14
2019-06-11,92.09
2019-06-12,91.4
2019-06-13,91.16
2019-06-14,91.02
2019-06-17,91.43
2019-06-18,92.04
2019-06-19,92.78
2019-06-20,96.12
2019-06-21,93.62
2019-06-24,91.85
2019-06-25,91.24
2019-06-26,91.94
2019-06-27,91.98
2019-06-28,93.64
2019-07-01,94.28
2019-07-02,92.2
2019-07-03,93.6
2019-07-05,94.48
2019-07-08,93.77
2019-07-09,93.11
2019-07-10,92.77
2019-07-11,94.13
2019-07-12,94.66
2019-07-15,93.82
2019-07-16,94.03
2019-07-17,93.29
2019-07-18,93.16
2019-07-19,92.67
2019-07-22,91.73
2019-07-23,92.53
2019-07-24,94.43
2019-07-25,93.59
2019-07-26,93.27
2019-07-29,92.93
2019-07-30,94.12
2019-07-31,93.92
2019-08-01,91.23
2019-08-02,90.08
2019-08-05,87.86
2019-08-06,88.6
2019-08-07,88.84
2019-08-08,91.16
2019-08-09,89.56
2019-08-12,87.04
2019-08-13,87.84
2019-08-14,82.73
2019-08-15,80.57
2019-08-16,80.8
2019-08-19,82.09
2019-08-20,82.26
2019-08-21,84.53
2019-08-22,85.34
2019-08-23,81.32
2019-08-26,83.08
2019-08-27,82.67
2019-08-28,85.17
2019-08-29,85.54
2019-08-30,84.87
2019-09-03,82.49
2019-09-04,84.53
2019-09-05,88.19
2019-09-06,88.22
2019-09-09,91.28
2019-09-10,94.01
2019-09-11,95.05
2019-09-12,96.61
2019-09-13,98.28
2019-09-16,96.4
2019-09-17,95.26
2019-09-18,93.42
2019-09-19,91.34
2019-09-20,91.3
2019-09-23,91.78
2019-09-24,90.84
2019-09-25,92.02
2019-09-26,90.83
2019-09-27,91.88
2019-09-30,92.63
2019-10-01,90.88
2019-10-02,88.6
2019-10-03,89.19
2019-10-04,88.06
2019-10-07,89.02
2019-10-08,86.63
2019-10-09,88.51
2019-10-10,88.03
2019-10-11,91.88
2019-10-14,90.26
2019-10-15,91.04
2019-10-16,91.4
2019-10-17,91.58
