date,WYND
2017-07-27,33.8251925846
2017-07-28,33.6756961531
2017-07-31,33.9194403349
2017-08-01,33.2337067035
2017-08-02,33.4742009628
2017-08-03,33.2467063932
2017-08-04,33.2337067035
2017-08-07,33.5846983252
2017-08-08,32.7819674866
2017-08-09,32.5999718309
2017-08-10,31.7192428541
2017-08-11,31.6314949487
2017-08-14,32.0799842431
2017-08-15,32.3594775715
2017-08-16,32.2067312176
2017-08-17,31.2480041027
2017-08-18,31.4332496808
2017-08-21,31.4007504566
2017-08-22,32.0799842431
2017-08-23,31.9499873462
2017-08-24,31.7015274016
2017-08-25,31.7080658212
2017-08-28,31.485759555
2017-08-29,31.5969126881
2017-08-30,32.1428707242
2017-08-31,32.5874832566
2017-09-01,32.773828215
2017-09-05,32.2344085985
2017-09-06,31.9107568286
2017-09-07,31.6851813526
2017-09-08,32.1919088712
2017-09-11,32.6365214035
2017-09-12,32.966711593
2017-09-13,33.5094004194
2017-09-14,33.5649769859
2017-09-15,33.1628641809
2017-09-18,33.1726718103
2017-09-19,33.1890178592
2017-09-20,33.5682461957
2017-09-21,33.7349758953
2017-09-22,34.4018946939
2017-09-25,33.885359546
2017-09-26,34.287472351
2017-09-27,34.2711263021
2017-09-28,34.4084331135
2017-09-29,34.4607404703
2017-10-02,34.6601622679
2017-10-03,34.4182407429
2017-10-04,34.6209317503
2017-10-05,34.9216990517
2017-10-06,34.996890877
2017-10-09,35.2747737097
2017-10-10,35.5330412837
2017-10-11,35.624579158
2017-10-12,35.8534238438
2017-10-13,36.0822685296
2017-10-16,35.9678461867
2017-10-17,35.8403470046
2017-10-18,35.7422707107
2017-10-19,35.7324630813
2017-10-20,35.6343867874
2017-10-23,35.3957344722
2017-10-24,35.4774647171
2017-10-25,34.1338194906
2017-10-26,34.8072767088
2017-10-27,34.8366995969
2017-10-30,34.5686243936
2017-10-31,34.931506681
2017-11-01,35.0524674435
2017-11-02,35.1309284787
2017-11-03,35.6049638992
2017-11-06,35.6474636266
2017-11-07,35.5297720739
2017-11-08,35.6638096756
2017-11-09,34.9609295692
2017-11-10,34.6765083169
2017-11-13,34.7517001422
2017-11-14,35.157082157
2017-11-15,34.8105459186
2017-11-16,35.382657633
2017-11-17,35.5559257523
2017-11-20,35.8076549066
2017-11-21,36.0495764316
2017-11-22,35.8436162144
2017-11-24,35.8468854242
2017-11-27,35.7811535357
2017-11-28,36.267569511
2017-11-29,36.8985956411
2017-11-30,36.9380347742
2017-12-01,36.7013999754
2017-12-04,36.8788760745
2017-12-05,37.1056510901
2017-12-06,37.0629253625
2017-12-07,37.0629253625
2017-12-08,37.1549500065
2017-12-11,37.0530655792
2017-12-12,36.8032844027
2017-12-13,36.744125703
2017-12-14,36.4056064769
2017-12-15,37.0103398517
2017-12-18,37.6249330097
2017-12-19,37.3225663223
2017-12-20,37.0826449291
2017-12-21,37.2601210282
2017-12-22,37.3291395112
2017-12-26,37.4375971273
2017-12-27,37.9174399137
2017-12-28,38.3414105949
2017-12-29,38.0817696351
2018-01-02,38.4005692946
2018-01-03,38.6174845269
2018-01-04,38.0357573131
2018-01-05,36.9544677464
2018-01-08,37.4211641551
2018-01-09,37.2601210282
2018-01-10,37.0432057959
2018-01-11,38.4170022668
2018-01-12,38.7588080873
2018-01-16,38.4794475609
2018-01-17,38.495880533
2018-01-18,40.3363734126
2018-01-19,41.7364626389
2018-01-22,41.8547800383
2018-01-23,41.8482068494
2018-01-24,41.1711683973
2018-01-25,41.1120096976
2018-01-26,41.06928397
2018-01-29,41.0890035366
2018-01-30,40.5795814003
2018-01-31,40.7964966325
2018-02-01,41.1218694809
2018-02-02,39.9452686757
2018-02-05,38.3775631336
2018-02-06,39.363541462
2018-02-07,39.0184490471
2018-02-08,37.3225663223
2018-02-09,37.8024091088
