date,FTR
2020-09-17,0.18
2020-09-18,0.175
2020-09-21,0.17
2020-09-22,0.1675
2020-09-23,0.1615
2020-09-24,0.169
2020-09-25,0.165
2020-09-28,0.1655
2020-09-29,0.166425
2020-09-30,0.1605
2020-10-01,0.1615
2020-10-02,0.1578
2020-10-05,0.155
2020-10-06,0.1501
2020-10-07,0.1545
2020-10-08,0.154
2020-10-09,0.15
2020-10-12,0.15
2020-10-13,0.153
2020-10-14,0.15025
2020-10-15,0.1512
2020-10-16,0.169
2020-10-19,0.150225
2020-10-20,0.1519
2020-10-21,0.1505
2020-10-22,0.154095
2020-10-23,0.1338
2020-10-26,0.14592
2020-10-27,0.15188
2020-10-28,0.1412
2020-10-29,0.143
2020-10-30,0.14
2020-11-02,0.145
2020-11-03,0.14285
2020-11-04,0.1416
2020-11-05,0.132
2020-11-06,0.13
2020-11-09,0.128
2020-11-10,0.1118
2020-11-11,0.1099
2020-11-12,0.1146
2020-11-13,0.11046
2020-11-16,0.11
2020-11-17,0.1055
2020-11-18,0.1027
2020-11-19,0.10655
2020-11-20,0.1031
2020-11-23,0.102
2020-11-24,0.1
2020-11-25,0.1017
2020-11-27,0.1048
2020-11-30,0.1056
2020-12-01,0.1
2020-12-02,0.1026
2020-12-03,0.101975
2020-12-04,0.1
2020-12-07,0.1015
2020-12-08,0.1058
2020-12-09,0.1033
2020-12-10,0.1
2020-12-11,0.105
2020-12-14,0.1089
2020-12-15,0.1058
2020-12-16,0.1
2020-12-17,0.105
2020-12-18,0.0996
2020-12-21,0.1
2020-12-22,0.1001
2020-12-23,0.1033
2020-12-24,0.1012
2020-12-28,0.1
2020-12-29,0.09145
2020-12-30,0.0943
2020-12-31,0.0895
2021-01-04,0.1
2021-01-05,0.1195
2021-01-06,0.19
2021-01-07,0.269
2021-01-08,0.41
2021-01-11,0.54
2021-01-12,0.38
2021-01-13,0.35
2021-01-14,0.4
2021-01-15,0.4001
2021-01-19,0.4
2021-01-20,0.39
2021-01-21,0.36
2021-01-22,0.4
2021-01-25,0.412
2021-01-26,0.4295
2021-01-27,0.44
2021-01-28,0.435
2021-01-29,0.51
2021-02-01,0.65
2021-02-02,0.6
2021-02-03,0.6496
2021-02-04,0.647
2021-02-05,0.63
2021-02-08,0.5599
2021-02-09,0.6
2021-02-10,0.5999
2021-02-11,0.58
2021-02-12,0.5159
2021-02-16,0.46
2021-02-17,0.48
2021-02-18,0.4775
2021-02-19,0.5075
2021-02-22,0.5
2021-02-23,0.48
2021-02-24,0.47
2021-02-25,0.47
2021-02-26,0.46
2021-03-01,0.455
2021-03-02,0.45
2021-03-03,0.395
2021-03-04,0.331
2021-03-05,0.35
2021-03-08,0.36
2021-03-09,0.34595
2021-03-10,0.3245
2021-03-11,0.331
2021-03-12,0.342
2021-03-15,0.3285
2021-03-16,0.305
2021-03-17,0.2775
2021-03-18,0.31
2021-03-19,0.285
2021-03-22,0.2835
2021-03-23,0.31
2021-03-24,0.2998
2021-03-25,0.2742
2021-03-26,0.275
2021-03-29,0.3
2021-03-30,0.2785
2021-03-31,0.28
2021-04-01,0.285
2021-04-05,0.28
2021-04-06,0.302
2021-04-07,0.2884
2021-04-08,0.2884
2021-04-09,0.28475
2021-04-12,0.295
2021-04-13,0.28
2021-04-14,0.276
2021-04-15,0.31125
2021-04-16,0.3
2021-04-19,0.2822
2021-04-20,0.28
2021-04-21,0.263
2021-04-22,0.26
2021-04-23,0.25
2021-04-26,0.1875
2021-04-27,0.092
2021-04-28,0.0905
2021-04-29,0.08
2021-04-30,0.059
2021-05-03,0.059
2021-05-04,0.059
2021-05-05,0.059
2021-05-06,0.059
2021-05-07,0.059
2021-05-10,0.059
2021-05-11,0.059
2021-05-12,0.059
2021-05-13,0.059
2021-05-14,0.059
2021-05-17,0.059
2021-05-18,0.059
2021-05-19,0.059
2021-05-20,0.059
2021-05-21,0.059
2021-05-24,0.059
2021-05-25,0.059
2021-05-26,0.059
2021-05-27,0.059
2021-05-28,0.059
2021-06-01,0.059
