date,LM
2015-11-23,35.8032776176
2015-11-24,35.7615099116
2015-11-25,36.4799144555
2015-11-27,36.379671961
2015-11-30,37.0730158812
2015-12-01,37.4906929416
2015-12-02,36.6720459032
2015-12-03,36.5467427851
2015-12-04,37.0396017164
2015-12-07,36.0956515599
2015-12-08,35.1851155682
2015-12-09,34.7590849666
2015-12-10,34.7507314254
2015-12-11,33.130144431
2015-12-14,32.0107699092
2015-12-15,32.506214669
2015-12-16,33.8078068348
2015-12-17,32.8085199463
2015-12-18,31.7840409513
2015-12-21,32.3802541369
2015-12-22,32.5398041443
2015-12-23,33.3711436566
2015-12-24,33.3123620749
2015-12-28,33.2031962804
2015-12-29,33.3879383942
2015-12-30,33.043646273
2015-12-31,32.9428778472
2016-01-04,33.3627462878
2016-01-05,32.4810225626
2016-01-06,31.5573119933
2016-01-07,30.2137329835
2016-01-08,29.6427119043
2016-01-11,29.3655987336
2016-01-12,29.7182882236
2016-01-13,28.0388144614
2016-01-14,27.5349723327
2016-01-15,26.8715801966
2016-01-19,26.7960038773
2016-01-20,26.5608775505
2016-01-21,26.6784407139
2016-01-22,26.2081880605
2016-01-25,24.7722379937
2016-01-26,24.982172214
2016-01-27,24.8646090506
2016-01-28,24.6882643056
2016-01-29,25.7127433006
2016-02-01,25.0577485333
2016-02-02,23.688977417
2016-02-03,23.5882089913
2016-02-04,23.7561563675
2016-02-05,23.1935326572
2016-02-08,22.3957826201
2016-02-09,21.9388985016
2016-02-10,22.1334972928
2016-02-11,21.3212588601
2016-02-12,22.5396165092
2016-02-16,23.0303438957
2016-02-17,23.402619844
2016-02-18,23.5126104651
2016-02-19,23.1995602358
2016-02-22,24.1133284727
2016-02-23,23.4533847461
2016-02-24,23.6141402692
2016-02-25,23.6395227203
2016-02-26,24.1894758258
2016-02-29,24.1640933747
2016-03-01,25.5601281811
2016-03-02,26.0423947505
2016-03-03,26.9477021704
2016-03-04,27.4299687398
2016-03-07,27.9037744923
2016-03-08,27.3368997527
2016-03-09,27.2347375612
2016-03-10,26.5536562843
2016-03-11,28.2904135404
2016-03-14,27.9583864179
2016-03-15,27.277305141
2016-03-16,28.605413631
2016-03-17,29.2524408441
2016-03-18,29.5078463229
2016-03-21,29.4567652272
2016-03-22,29.7717653178
2016-03-23,29.2609543601
2016-03-24,28.9544677854
2016-03-28,29.0310894291
2016-03-29,29.3886570995
2016-03-30,29.4823057751
2016-03-31,29.5248733549
2016-04-01,29.3460895197
2016-04-04,28.1031161893
2016-04-05,27.8477107104
2016-04-06,27.7881160987
2016-04-07,26.6728455077
2016-04-08,26.7068995716
2016-04-11,26.8771698908
2016-04-12,27.4050078804
2016-04-13,28.9885218493
2016-04-14,29.2439273281
2016-04-15,29.0055488812
2016-04-18,29.056629977
2016-04-19,29.3971706154
2016-04-20,30.0527113445
2016-04-21,29.7291977379
2016-04-22,29.9250086051
2016-04-25,29.4823057751
2016-04-26,29.4567652272
2016-04-27,29.9675761849
2016-04-28,28.6905487906
2016-04-29,27.3368997527
2016-05-02,27.1581159175
2016-05-03,26.2046021298
2016-05-04,26.2471697096
2016-05-05,26.2982508054
2016-05-06,26.5025751885
2016-05-09,26.400412997
2016-05-10,26.8601428589
2016-05-11,26.2131156458
2016-05-12,26.613250896
2016-05-13,26.0854129064
2016-05-16,26.4174400289
2016-05-17,26.9027104387
2016-05-18,27.3624403006
2016-05-19,26.7920347312
2016-05-20,27.1751429495
2016-05-23,27.3964943645
2016-05-24,28.1882513489
2016-05-25,28.9033866897
2016-05-26,28.7331163704
2016-05-27,29.056629977
2016-05-31,29.3716300676
2016-06-01,29.1332516206
2016-06-02,28.9033866897
2016-06-03,28.8778461418
2016-06-06,29.6185220304
2016-06-07,29.5589274187
2016-06-08,29.2524408441
2016-06-09,28.5032514395
2016-06-10,27.5520004143
2016-06-13,27.0720899872
2016-06-14,26.4636321242
2016-06-15,26.6264588763
2016-06-16,26.437922637
2016-06-17,26.5150510985
2016-06-20,26.7892856283
2016-06-21,27.3891736622
2016-06-22,27.0892296453
2016-06-23,27.9462125508
2016-06-24,25.2724258854
2016-06-27,23.7984152879
2016-06-28,24.0469403305
2016-06-29,24.9981913557
2016-06-30,25.2724258854
2016-07-01,25.1095991334
2016-07-05,24.2954653731
2016-07-06,24.5097110995
2016-07-07,24.7068171678
2016-07-08,25.5466604152
2016-07-11,25.9151630646
2016-07-12,26.7892856283
2016-07-13,26.9692520385
