date,VAR
2016-01-21,66.1541004508
2016-01-22,67.4982286781
2016-01-25,66.8084786667
2016-01-26,68.1437639452
2016-01-27,68.7097126725
2016-01-28,66.4370748144
2016-01-29,68.2056645872
2016-02-01,68.2675652293
2016-02-02,67.1533536724
2016-02-03,66.7554209735
2016-02-04,67.117981877
2016-02-05,66.0479850644
2016-02-08,65.4555074906
2016-02-09,66.207158144
2016-02-10,68.2056645872
2016-02-11,66.4901325076
2016-02-12,67.0826100815
2016-02-16,69.001529985
2016-02-17,69.7885524339
2016-02-18,69.1783889623
2016-02-19,68.7804562634
2016-02-22,69.6293793543
2016-02-23,68.4532671554
2016-02-24,68.612440235
2016-02-25,69.9035107691
2016-02-26,69.8239242293
2016-02-29,69.1695460134
2016-03-01,70.3987159055
2016-03-02,69.7885524339
2016-03-03,69.9211966668
2016-03-04,70.0449979509
2016-03-07,70.4783024452
2016-03-08,70.2749146214
2016-03-09,69.001529985
2016-03-10,68.7273985702
2016-03-11,70.0892126952
2016-03-14,69.8858248714
2016-03-15,68.7097126725
2016-03-16,68.4621101043
2016-03-17,67.8519466327
2016-03-18,69.8327671782
2016-03-21,69.647065252
2016-03-22,70.2306998771
2016-03-23,69.58516461
2016-03-24,68.7362415191
2016-03-28,68.9219434452
2016-03-29,70.3279723146
2016-03-30,70.5667319339
2016-03-31,70.7612768089
2016-04-01,71.7605300305
2016-04-04,72.5563954283
2016-04-05,71.2918537407
2016-04-06,72.4149082464
2016-04-07,71.1061518146
2016-04-08,70.8497062975
2016-04-11,70.9558216839
2016-04-12,71.8135877237
2016-04-13,73.2107736442
2016-04-14,73.8386230135
2016-04-15,74.2188698147
2016-04-18,75.173908292
2016-04-19,75.2711807295
2016-04-20,75.7221711215
2016-04-21,75.173908292
2016-04-22,75.3153954738
2016-04-25,74.8201903374
2016-04-26,74.5106871272
2016-04-27,75.041264059
2016-04-28,72.8924274851
2016-04-29,71.7870588771
2016-05-02,72.5652383771
2016-05-03,72.441437093
2016-05-04,71.8047447748
2016-05-05,71.8754883657
2016-05-06,72.0435043942
2016-05-09,72.6094531214
2016-05-10,72.7420973544
2016-05-11,72.4856518373
2016-05-12,72.7420973544
2016-05-13,72.6094531214
2016-05-16,74.2365557124
2016-05-17,73.9093666044
2016-05-18,73.8916807067
2016-05-19,73.3168890306
2016-05-20,74.068539684
2016-05-23,73.4583762124
2016-05-24,73.7236646783
2016-05-25,73.0427576158
2016-05-26,72.4237511953
2016-05-27,72.5563954283
2016-05-31,73.2107736442
2016-06-01,73.095815309
2016-06-02,73.9624242976
2016-06-03,73.7148217294
2016-06-06,74.3957287919
2016-06-07,74.7406037976
2016-06-08,75.624898684
2016-06-09,75.6691134284
2016-06-10,75.430353809
2016-06-13,74.0950685306
2016-06-14,73.7855653203
2016-06-15,73.0516005646
2016-06-16,72.3441646555
2016-06-17,71.6455716953
2016-06-20,72.2292063203
2016-06-21,72.7244114567
2016-06-22,73.4672191612
2016-06-23,74.5549018715
2016-06-24,70.8408633487
2016-06-27,69.0103729338
2016-06-28,70.0449979509
2016-06-29,71.2830107919
2016-06-30,72.7155685078
2016-07-01,73.0427576158
2016-07-05,72.3353217067
2016-07-06,73.1665588999
2016-07-07,74.1215973772
2016-07-08,75.1562223942
2016-07-11,75.8725012522
2016-07-12,76.2792769
2016-07-13,76.3942352352
2016-07-14,76.535722417
2016-07-15,76.4119211329
2016-07-18,76.473821775
2016-07-19,76.4030781841
2016-07-20,77.0309275534
2016-07-21,76.6948954966
2016-07-22,76.9690269113
2016-07-25,76.6064660079
2016-07-26,77.5703474341
2016-07-27,78.2600974455
2016-07-28,83.1502481672
2016-07-29,83.7780975365
2016-08-01,83.8665270252
2016-08-02,83.5304949684
2016-08-03,83.6985109968
2016-08-04,83.8488411275
2016-08-05,84.2290879286
2016-08-08,84.0168571559
2016-08-09,83.8842129229
2016-08-10,84.1937161331
2016-08-11,84.1318154911
2016-08-12,83.9372706161
2016-08-15,83.8576840763
2016-08-16,82.8053731615
2016-08-17,82.8672738036
2016-08-18,83.0795045763
2016-08-19,83.6100815081
2016-08-22,84.202559082
2016-08-23,84.0699148491
2016-08-24,83.5304949684
2016-08-25,83.6896680479
2016-08-26,84.335203315
2016-08-29,85.1664405082
2016-08-30,85.2371840991
2016-08-31,85.0072674286
2016-09-01,84.7950366559
2016-09-02,85.2548699968
2016-09-06,85.3256135877
2016-09-07,86.0153635991
2016-09-08,85.7766039798
2016-09-09,82.7965302126
2016-09-12,84.4147898547
2016-09-13,83.7161968945
2016-09-14,83.6366103547
2016-09-15,85.0249533264
2016-09-16,84.7773507582
2016-09-19,84.9365238377
2016-09-20,84.9011520423
2016-09-21,86.4575110423
2016-09-22,87.1030463094
2016-09-23,86.8112289969
2016-09-26,86.3513956559
2016-09-27,87.3771777241
2016-09-28,88.0315559401
2016-09-29,87.1384181048
2016-09-30,88.0138700423
2016-10-03,87.9254405537
2016-10-04,87.7485815764
2016-10-05,87.6424661901
2016-10-06,87.4302354173
2016-10-07,87.5628796503
2016-10-10,87.4656072128
2016-10-11,85.9711488548
2016-10-12,85.9004052639
2016-10-13,85.1399116616
2016-10-14,84.6800783207
2016-10-17,84.7773507582
2016-10-18,85.2283411502
2016-10-19,85.7147033377
2016-10-20,88.685934156
2016-10-21,85.9976777014
2016-10-24,86.280652065
2016-10-25,84.4059469059
2016-10-26,83.1944629115
2016-10-27,79.5423250307
2016-10-28,79.6661263148
2016-10-31,80.2320750421
2016-11-01,79.3212513091
2016-11-02,79.0471198944
2016-11-03,79.1090205364
2016-11-04,78.8260461728
2016-11-07,80.5327353035
2016-11-08,81.0809981331
2016-11-09,78.2689403943
2016-11-10,78.5696006557
2016-11-11,77.8091070534
2016-11-14,77.6764628205
2016-11-15,79.0205910478
2016-11-16,78.3662128318
2016-11-17,79.1620782296
2016-11-18,78.0390237239
2016-11-21,79.2858795137
2016-11-22,79.5776968262
2016-11-23,81.019097491
2016-11-25,81.4789308319
2016-11-28,80.5415782524
2016-11-29,80.7891808205
2016-11-30,79.4362096444
2016-12-01,78.4104275762
2016-12-02,79.3919949001
2016-12-05,79.6749692637
2016-12-06,79.3919949001
2016-12-07,79.7810846501
