date,VIAB
2015-11-18,47.4337628861
2015-11-19,46.6299521801
2015-11-20,47.0765136834
2015-11-23,45.415304891
2015-11-24,45.4688922714
2015-11-25,46.754989401
2015-11-27,45.692173023
2015-11-30,44.4685945038
2015-12-01,44.3792822032
2015-12-02,42.5573112695
2015-12-03,41.7356381033
2015-12-04,41.2801453699
2015-12-07,42.1107497661
2015-12-08,39.9315296298
2015-12-09,39.2706186048
2015-12-10,39.2348936846
2015-12-11,37.5022350515
2015-12-14,36.7357791777
2015-12-15,36.952190248
2015-12-16,37.4300980281
2015-12-17,35.8881691525
2015-12-18,35.2209016858
2015-12-21,35.3651757327
2015-12-22,36.7718476894
2015-12-23,37.1325328065
2015-12-24,37.069412911
2015-12-28,37.1235156786
2015-12-29,37.2677897254
2015-12-30,36.8439847128
2015-12-31,37.1144985507
2016-01-04,36.8079162011
2016-01-05,36.573470875
2016-01-06,36.1226144786
2016-01-07,35.067610511
2016-01-08,36.952190248
2016-01-11,36.94317312
2016-01-12,37.5924063308
2016-01-13,36.7808648173
2016-01-14,37.3579610047
2016-01-15,35.9332547921
2016-01-19,37.6194577146
2016-01-20,36.6726592822
2016-01-21,37.4932179236
2016-01-22,38.9630097758
2016-01-25,37.8989886804
2016-01-26,39.5491230911
2016-01-27,39.4769860677
2016-01-28,40.1622877902
2016-01-29,41.1541718623
2016-02-01,41.5238741073
2016-02-02,39.4499346839
2016-02-03,40.2795104533
2016-02-04,40.8836580245
2016-02-05,38.9900611596
2016-02-08,37.7366803777
2016-02-09,29.6302823706
2016-02-10,28.2957474373
2016-02-11,29.080237567
2016-02-12,29.585196731
2016-02-16,30.9197316643
2016-02-17,32.326403621
2016-02-18,32.20016383
2016-02-19,31.8124273291
2016-02-22,33.2371335417
2016-02-23,33.3723904606
2016-02-24,33.5617501471
2016-02-25,33.4625617399
2016-02-26,32.6690544823
2016-02-29,33.2281164138
2016-03-01,33.8683324967
2016-03-02,33.7961954732
2016-03-03,35.1848331741
2016-03-04,35.0044906156
2016-03-07,36.1316316065
2016-03-08,35.2389359417
2016-03-09,35.4192785002
2016-03-10,34.7724758321
2016-03-11,35.7927842663
2016-03-14,36.2209494128
2016-03-15,35.3646191198
2016-03-16,36.6764442495
2016-03-17,37.787851651
2016-03-18,37.7696318575
2016-03-21,37.3141370208
2016-03-22,37.1501588796
2016-03-23,36.1662900324
2016-03-24,36.1480702389
2016-03-28,36.7766531135
2016-03-29,36.5671254887
2016-03-30,36.5397957985
2016-03-31,37.6056537163
2016-04-01,37.5054448522
2016-04-04,36.0387514781
2016-04-05,35.3008498427
2016-04-06,35.9294327173
2016-04-07,34.8635747995
2016-04-08,34.6084976909
2016-04-11,34.7360362452
2016-04-12,35.155091495
2016-04-13,36.2756087932
2016-04-14,35.0275529407
2016-04-15,34.8635747995
2016-04-18,35.4101686035
2016-04-19,32.4676719585
2016-04-20,34.0527939902
2016-04-21,38.7717204982
2016-04-22,39.8831278997
2016-04-25,39.4003033728
2016-04-26,39.5369518238
2016-04-27,39.8922377964
2016-04-28,38.6259621505
2016-04-29,37.2594776404
2016-05-02,38.2433464876
2016-05-03,37.7605219608
2016-05-04,37.5054448522
2016-05-05,37.7423021673
2016-05-06,37.6420933032
2016-05-09,36.8313124939
2016-05-10,37.3870161947
2016-05-11,36.8677520809
2016-05-12,36.3758176573
2016-05-13,36.0114217879
2016-05-16,35.8292238532
2016-05-17,35.9112129238
2016-05-18,35.4010587068
2016-05-19,34.9911133538
2016-05-20,35.5741467447
2016-05-23,36.3940374507
2016-05-24,37.6238735098
2016-05-25,38.2524563844
2016-05-26,38.744390808
2016-05-27,40.3021831494
2016-05-31,40.420611807
2016-06-01,40.6119196384
2016-06-02,41.0765243718
2016-06-03,40.9945353012
2016-06-06,41.3862608607
2016-06-07,40.7394581927
2016-06-08,40.6028097416
2016-06-09,40.4570513939
2016-06-10,38.2797860746
2016-06-13,37.9336099987
2016-06-14,37.9060152291
2016-06-15,38.8166426272
2016-06-16,41.438145743
2016-06-17,40.8586555806
2016-06-20,41.2541806121
2016-06-21,40.0400107479
2016-06-22,40.4999235752
2016-06-23,39.9848212086
2016-06-24,37.6852570719
2016-06-27,35.7628214537
2016-06-28,36.8206209566
2016-06-29,37.1241634226
2016-06-30,38.1451698993
2016-07-01,38.2003594386
2016-07-05,37.7772396374
2016-07-06,38.0623855904
2016-07-07,39.5892961771
2016-07-08,41.5761195912
2016-07-11,40.8034660413
2016-07-12,41.7968777483
2016-07-13,41.2081893293
2016-07-14,41.2081893293
2016-07-15,40.7298799889
2016-07-18,41.1162067639
2016-07-19,41.0702154811
2016-07-20,41.1621980466
2016-07-21,41.6681021567
2016-07-22,41.9164550834
2016-07-25,41.7048951829
2016-07-26,41.8980585703
2016-07-27,42.1372132406
2016-07-28,42.2843853453
2016-07-29,41.824472518
2016-08-01,40.7942677847
2016-08-02,40.1503898265
2016-08-03,40.4631305491
2016-08-04,40.0676055175
2016-08-05,40.1779845961
2016-08-08,39.1109868367
2016-08-09,38.8994269361
2016-08-10,38.393522826
2016-08-11,39.1937711456
2016-08-12,39.469718842
2016-08-15,39.3869345331
2016-08-16,39.4053310462
2016-08-17,40.2331741354
2016-08-18,39.4053310462
2016-08-19,40.0032177217
2016-08-22,38.393522826
2016-08-23,38.3567297999
2016-08-24,38.0255925642
2016-08-25,38.08998036
2016-08-26,37.8140326636
2016-08-29,38.1359716427
2016-08-30,37.5748779934
2016-08-31,37.1057669095
2016-09-01,36.5814662863
2016-09-02,36.7010436214
2016-09-06,36.3699063858
2016-09-07,37.2897320404
2016-09-08,36.3423116161
2016-09-09,34.1807213276
2016-09-12,35.0269609299
2016-09-13,33.849584092
2016-09-14,34.4382725109
2016-09-15,34.2819021497
2016-09-16,34.0335492229
2016-09-19,33.8219893223
2016-09-20,33.260895673
2016-09-21,33.159714851
2016-09-22,33.1321200813
2016-09-23,32.8361324089
2016-09-26,32.2256578345
2016-09-27,32.8083835646
2016-09-28,33.8165915738
2016-09-29,34.9357949601
2016-09-30,35.2410322473
2016-10-03,34.861798042
2016-10-04,34.7600522796
2016-10-05,34.9080461158
2016-10-06,33.8720892624
2016-10-07,33.5483527457
2016-10-10,33.5391031309
2016-10-11,33.0488735484
2016-10-12,32.4846470479
2016-10-13,33.1321200813
2016-10-14,33.298613147
2016-10-17,33.3818596799
2016-10-18,33.4281077537
2016-10-19,33.6408488933
2016-10-20,33.7610938852
2016-10-21,34.6953049763
2016-10-24,34.6398072877
2016-10-25,34.6213080582
2016-10-26,34.9172957306
2016-10-27,34.8895468863
2016-10-28,34.7785515091
2016-10-31,34.7415530501
2016-11-01,33.9275869509
2016-11-02,33.1783681551
2016-11-03,33.9275869509
2016-11-04,33.8165915738
2016-11-07,34.7415530501
2016-11-08,34.5473111401
2016-11-09,35.1300368701
2016-11-10,35.1577857144
2016-11-11,35.5370199197
2016-11-14,35.9440029693
2016-11-15,35.7127626002
2016-11-16,35.6850137559
2016-11-17,35.7127626002
2016-11-18,34.9357949601
2016-11-21,34.4178165334
2016-11-22,34.4363157629
2016-11-23,34.4548149924
2016-11-25,34.8155499682
2016-11-28,34.0293327133
2016-11-29,34.1773265495
2016-11-30,34.667556132
2016-12-01,34.4640646072
2016-12-02,33.7795931147
2016-12-05,33.8813388771
2016-12-06,33.7980923443
2016-12-07,35.1577857144
2016-12-08,35.8885052807
2016-12-09,35.722012215
2016-12-12,32.364402056
2016-12-13,32.521645507
2016-12-14,32.1867544205
2016-12-15,32.4751328561
2016-12-16,32.7635112916
2016-12-19,32.0844265885
2016-12-20,32.214662011
2016-12-21,32.7914188822
2016-12-22,32.6983935804
2016-12-23,32.6983935804
2016-12-27,33.2937555118
2016-12-28,33.042587197
2016-12-29,32.8193264727
2016-12-30,32.6518809295
2017-01-03,33.3960833438
2017-01-04,34.0472604564
2017-01-05,34.8658831121
2017-01-06,35.1542615477
2017-01-09,35.6659007076
2017-01-10,35.7217158886
2017-01-11,36.1868423976
2017-01-12,35.842648781
2017-01-13,36.000791794
2017-01-17,35.9914892638
2017-01-18,36.986859993
2017-01-19,37.0240701137
2017-01-20,37.4240789115
2017-01-23,37.5078016831
