date,ETFC
2016-08-02,23.9307069829
2016-08-03,24.389411399
2016-08-04,24.4967677517
2016-08-05,25.3068202311
2016-08-08,25.326339568
2016-08-09,25.1701848732
2016-08-10,24.8285964782
2016-08-11,24.9164334941
2016-08-12,24.6138837728
2016-08-15,24.8578754835
2016-08-16,24.7797981361
2016-08-17,24.6236434412
2016-08-18,24.4479694096
2016-08-19,24.6236434412
2016-08-22,24.4382097411
2016-08-23,24.6041241044
2016-08-24,24.5650854307
2016-08-25,24.8969141572
2016-08-26,25.4239362523
2016-08-29,25.5117732681
2016-08-30,25.8045633209
2016-08-31,25.7460053103
2016-09-01,25.531292605
2016-09-02,25.8436019946
2016-09-06,25.3360992364
2016-09-07,25.4824942628
2016-09-08,25.853361663
2016-09-09,25.9119196736
2016-09-12,26.5462981214
2016-09-13,26.0973533737
2016-09-14,26.5853367951
2016-09-15,27.6393809852
2016-09-16,27.4539472851
2016-09-19,27.8052953484
2016-09-20,27.5125052956
2016-09-21,27.8150550169
2016-09-22,27.8150550169
2016-09-23,27.7174583326
2016-09-26,27.2197152428
2016-09-27,27.4246682798
2016-09-28,27.7174583326
2016-09-29,27.7369776694
2016-09-30,28.4201544593
2016-10-03,28.2835191014
2016-10-04,28.4006351225
2016-10-05,28.937416886
2016-10-06,28.937416886
2016-10-07,28.8495798701
2016-10-10,28.7031848437
2016-10-11,28.2347207592
2016-10-12,28.0200080538
2016-10-13,27.4441876166
2016-10-14,27.8248146853
2016-10-17,27.4539472851
2016-10-18,27.7369776694
2016-10-19,27.79553568
2016-10-20,27.5222649641
2016-10-21,28.7910218596
2016-10-24,28.1664030802
2016-10-25,27.4149086114
2016-10-26,27.6979389957
2016-10-27,27.8345743537
2016-10-28,27.6296213168
2016-10-31,27.4832262903
2016-11-01,27.4246682798
2016-11-02,26.8488478426
2016-11-03,26.9171655216
2016-11-04,26.9659638637
2016-11-07,27.8443340221
2016-11-08,27.9614500433
2016-11-09,29.2887649493
2016-11-10,30.8210328924
2016-11-11,31.6701240455
2016-11-14,32.2849831564
2016-11-15,32.7534472409
2016-11-16,32.4704168565
2016-11-17,33.2902290044
2016-11-18,33.2414306623
2016-11-21,32.9779196147
2016-11-22,33.3780660202
2016-11-23,33.739173752
2016-11-25,33.8367704363
2016-11-28,33.075516299
2016-11-29,33.2511903307
2016-11-30,33.6806157415
2016-12-01,34.4516295472
2016-12-02,34.0905218154
2016-12-05,34.3637925314
2016-12-06,34.6663422526
2016-12-07,34.6468229157
2016-12-08,34.5882649052
2016-12-09,34.7834582737
2016-12-12,34.0905218154
2016-12-13,34.080762147
2016-12-14,34.080762147
2016-12-15,34.4321102104
2016-12-16,33.7294140836
2016-12-19,33.9538864574
2016-12-20,34.3345135261
2016-12-21,34.2271571734
2016-12-22,34.0612428101
2016-12-23,34.5785052368
2016-12-27,34.7249002632
2016-12-28,34.0026847996
2016-12-29,33.7586930889
2016-12-30,33.8172510995
2017-01-03,34.3735521998
2017-01-04,35.1152870002
2017-01-05,35.8277427954
2017-01-06,35.681347769
