date,FL
2018-08-24,40.0283888081
2018-08-27,40.5419981016
2018-08-28,39.9538326203
2018-08-29,41.2627079166
2018-08-30,40.4177377886
2018-08-31,40.8402228526
2018-09-04,40.0449568498
2018-09-05,40.7242465605
2018-09-06,39.8627083908
2018-09-07,38.7195135118
2018-09-10,40.6662584145
2018-09-11,40.3431816009
2018-09-12,40.0532408707
2018-09-13,38.9680341377
2018-09-14,38.5952531989
2018-09-17,38.7195135118
2018-09-18,38.8354898039
2018-09-19,38.827205783
2018-09-20,39.1751346592
2018-09-21,40.0035367455
2018-09-24,39.3325310556
2018-09-25,39.730164057
2018-09-26,41.5195125634
2018-09-27,41.9419976273
2018-09-28,42.2319383575
2018-10-01,41.5857847303
2018-10-02,39.2745429096
2018-10-03,40.0449568498
2018-10-04,39.2165547636
2018-10-05,39.431939306
2018-10-08,40.575134185
2018-10-09,40.6579743936
2018-10-10,39.7384480779
2018-10-11,39.8875604534
2018-10-12,41.1715836871
2018-10-15,41.7017610223
2018-10-16,42.0414058777
2018-10-17,40.8650749152
2018-10-18,40.7118205293
2018-10-19,39.5355158787
2018-10-22,39.5188307064
2018-10-23,39.2268401903
2018-10-24,38.7763405369
2018-10-25,38.1923595047
2018-10-26,38.0505355397
2018-10-29,38.7262850198
2018-10-30,40.5866817366
2018-10-31,39.3269512244
2018-11-01,39.9943581183
2018-11-02,40.7118205293
2018-11-05,41.8797825936
2018-11-06,42.2969119023
2018-11-07,42.0549769033
2018-11-08,42.3803377641
2018-11-09,41.9131529383
2018-11-12,42.4554210396
2018-11-13,42.6139301769
2018-11-14,42.6806708663
2018-11-15,42.8808929345
2018-11-16,42.4470784534
2018-11-19,40.7201631154
2018-11-20,38.4509796761
2018-11-21,44.1823363776
2018-11-23,44.1823363776
2018-11-26,46.11781637
2018-11-27,45.684001889
2018-11-28,46.885334298
2018-11-29,46.1928996456
2018-11-30,47.0521860215
2018-12-03,46.9604175736
2018-12-04,45.8258258539
2018-12-06,45.4420668899
2018-12-07,44.2574196532
2018-12-10,43.8069199998
2018-12-11,43.5316146561
2018-12-12,43.3147074155
2018-12-13,41.6628753531
2018-12-14,41.0955794933
2018-12-17,39.7273953607
2018-12-18,40.8369593219
2018-12-19,39.5271732925
2018-12-20,39.9776729459
2018-12-21,40.6784501846
2018-12-24,40.8202741495
2018-12-26,43.0310594856
2018-12-27,43.3063648294
2018-12-28,43.6150405178
2018-12-31,44.3825584458
2019-01-02,44.0154846542
2019-01-03,44.5660953417
2019-01-04,45.7841129231
2019-01-07,47.0521860215
2019-01-08,47.3692042961
2019-01-09,46.9854453321
2019-01-10,46.4848901617
2019-01-11,47.1356118833
2019-01-14,47.3942320546
2019-01-15,47.5694263643
2019-01-16,47.0605286077
2019-01-17,48.3327729992
2019-01-18,48.9873929496
2019-01-22,47.8795745721
2019-01-23,47.5774422873
2019-01-24,47.5103017796
2019-01-25,47.6277976681
2019-01-28,47.6026199777
2019-01-29,47.4599463988
2019-01-30,47.5690497238
2019-01-31,46.90603721
2019-02-01,46.2094544424
2019-02-04,46.8724669562
2019-02-05,47.5606571604
2019-02-06,47.5606571604
2019-02-07,47.4767315257
2019-02-08,47.409591018
2019-02-11,47.787256374
2019-02-12,48.6181201571
2019-02-13,48.8027565533
2019-02-14,49.4657690671
2019-02-15,49.7595087884
2019-02-19,50.2127072156
2019-02-20,50.3973436118
2019-02-21,50.3637733579
2019-02-22,50.0532485097
2019-02-25,50.1875295252
2019-02-26,49.4238062498
2019-02-27,49.8266492961
2019-02-28,49.9525377481
2019-03-01,52.9318977785
2019-03-04,53.1668895555
2019-03-05,52.6885134379
2019-03-06,52.9990382862
2019-03-07,52.1346042492
2019-03-08,50.4225213022
2019-03-11,50.2294923425
2019-03-12,50.4393064291
2019-03-13,50.1036038905
2019-03-14,49.8098641692
2019-03-15,49.499339321
2019-03-18,50.2294923425
2019-03-19,50.8169717851
2019-03-20,49.9273600577
2019-03-21,50.2043146521
2019-03-22,47.7620786836
2019-03-25,48.9034673149
2019-03-26,48.869897061
2019-03-27,49.4657690671
2019-03-28,50.6742982062
2019-03-29,50.8589346024
2019-04-01,51.3624884104
2019-04-02,50.9008974197
2019-04-03,51.8660422183
2019-04-04,54.0900715367
2019-04-05,53.4606292768
2019-04-08,53.1501044286
2019-04-09,51.2869553392
2019-04-10,51.3960586642
2019-04-11,50.959645364
2019-04-12,51.949967853
2019-04-15,52.8899349611
2019-04-16,53.3515259517
2019-04-17,52.9906457227
2019-04-18,52.1969681099
2019-04-22,50.3816416551
2019-04-23,50.8629142501
2019-04-24,52.1800813522
2019-04-25,51.0064516907
2019-04-26,50.1030101527
2019-04-29,49.6386243155
2019-04-30,48.3045704556
2019-05-01,47.3589120234
2019-05-02,47.1309407942
2019-05-03,46.6665549569
2019-05-06,45.8982074807
2019-05-07,45.7968869344
2019-05-08,47.2322613405
2019-05-09,48.0174955744
2019-05-10,48.6591923678
2019-05-13,47.3166951291
2019-05-14,47.8570713761
2019-05-15,47.1478275519
2019-05-16,46.8354225341
2019-05-17,46.6074513049
2019-05-20,46.7341019878
2019-05-21,47.4180156754
2019-05-22,45.7631134189
2019-05-23,44.6063705152
2019-05-24,37.4886021365
2019-05-28,36.0110108361
2019-05-29,35.056909025
2019-05-30,34.4152122316
2019-05-31,33.2246958124
2019-06-03,33.9761565309
2019-06-04,34.634740082
2019-06-05,34.5671930511
2019-06-06,34.4827592625
2019-06-07,35.6310587874
2019-06-10,34.8627113112
2019-06-11,35.3017670119
2019-06-12,35.6057286508
2019-06-13,36.3487459905
2019-06-14,36.4078496425
2019-06-17,35.8928035321
2019-06-18,35.4115309371
2019-06-19,35.1497861924
2019-06-20,35.2679934965
2019-06-21,35.6901624394
2019-06-24,35.8421432589
2019-06-25,35.3439839062
2019-06-26,34.6685135974
2019-06-27,34.7191738706
2019-06-28,35.3946441794
2019-07-01,35.656388924
2019-07-02,34.2885615487
2019-07-03,34.7867209015
2019-07-05,35.5128514834
2019-07-08,35.4621912102
2019-07-09,34.8204944169
2019-07-10,34.4574291259
2019-07-11,34.8458245535
2019-07-12,35.3524272851
2019-07-15,35.5550683777
2019-07-16,34.7867209015
2019-07-17,35.3355405273
2019-07-18,36.078557867
2019-07-19,35.8144645272
2019-07-22,36.027443027
2019-07-23,36.5811871265
2019-07-24,36.7771273463
2019-07-25,36.4022851867
2019-07-26,36.8367613263
2019-07-29,36.2404215268
2019-07-30,35.7974262472
2019-07-31,34.979588808
2019-08-01,33.5142967293
2019-08-02,33.5313350093
2019-08-05,32.8498038099
2019-08-06,33.9828494289
2019-08-07,34.3832490085
2019-08-08,34.5280743884
2019-08-09,34.8603208481
2019-08-12,33.4291053294
2019-08-13,34.1617513687
2019-08-14,32.3386554104
2019-08-15,31.5378562511
2019-08-16,33.0542631697
2019-08-19,33.7102369491
2019-08-20,33.4035479094
2019-08-21,33.872100609
2019-08-22,35.7207539873
2019-08-23,28.9650759735
2019-08-26,30.4048106322
2019-08-27,30.0896024525
2019-08-28,30.4388871921
2019-08-29,30.5325977321
2019-08-30,30.8307676318
2019-09-03,31.1033801115
2019-09-04,32.7134975701
2019-09-05,34.2384236287
2019-09-06,33.5654115693
2019-09-09,34.8943974081
2019-09-10,35.9763281871
2019-09-11,35.2351630078
2019-09-12,34.5195552484
2019-09-13,34.3406533086
2019-09-16,34.0850791088
2019-09-17,34.2810193286
2019-09-18,34.4769595484
2019-09-19,34.6814189083
2019-09-20,33.889138889
2019-09-23,34.3150958886
2019-09-24,33.897658029
2019-09-25,34.8518017081
2019-09-26,35.1414524678
2019-09-27,35.7889071072
2019-09-30,36.7686082063
2019-10-01,35.7037157073
2019-10-02,35.2522012877
2019-10-03,35.3118352677
2019-10-04,35.4566606475
2019-10-07,35.2947969877
2019-10-08,34.8006868681
2019-10-09,35.3288735477
2019-10-10,35.7718688273
2019-10-11,36.5982254065
2019-10-14,36.5385914266
2019-10-15,37.4501394057
2019-10-16,37.5012542457
2019-10-17,37.9612878053
2019-10-18,38.150320927
2019-10-21,38.811936853
2019-10-22,38.6314961459
2019-10-23,38.6830506336
2019-10-24,37.9097333175
2019-10-25,38.0987664392
2019-10-28,38.0987664392
2019-10-29,38.012842293
2019-10-30,37.7636622689
2019-10-31,37.3855960255
2019-11-01,38.0472119515
2019-11-04,38.2620223171
2019-11-05,39.4134058766
2019-11-06,39.6969555591
2019-11-07,39.9375431686
2019-11-08,40.0664293879
2019-11-11,39.6969555591
2019-11-12,38.9837851454
2019-11-13,39.336074145
2019-11-14,39.1212637794
2019-11-15,39.267334828
2019-11-18,38.5799416581
2019-11-19,37.557444318
2019-11-20,36.4060607585
2019-11-21,35.6241510277
2019-11-22,34.5844688583
2019-11-25,34.5157295414
2019-11-26,34.7305399069
2019-11-27,35.2374923697
2019-11-29,34.4126205659
2019-12-02,34.0345543225
2019-12-03,33.0550190554
2019-12-04,33.7080425668
2019-12-05,34.2321798588
