date,TE
2024-02-15,1.8
2024-02-16,1.82
2024-02-20,1.74
2024-02-21,1.69
2024-02-22,1.65
2024-02-23,1.61
2024-02-26,1.63
2024-02-27,1.68
2024-02-28,1.66
2024-02-29,1.54
2024-03-01,1.71
2024-03-04,1.65
2024-03-05,1.58
2024-03-06,1.67
2024-03-07,1.66
2024-03-08,1.75
2024-03-11,1.63
2024-03-12,1.56
2024-03-13,1.48
2024-03-14,1.47
2024-03-15,1.43
2024-03-18,1.42
2024-03-19,1.45
2024-03-20,1.55
2024-03-21,1.62
2024-03-22,1.51
2024-03-25,1.57
2024-03-26,1.51
2024-03-27,1.65
2024-03-28,1.68
2024-04-01,1.79
2024-04-02,1.76
2024-04-03,1.83
2024-04-04,1.91
2024-04-05,1.91
2024-04-08,2.1
2024-04-09,2.1
2024-04-10,2.01
2024-04-11,1.98
2024-04-12,1.86
2024-04-15,1.86
2024-04-16,1.74
2024-04-17,1.69
2024-04-18,1.65
2024-04-19,1.62
2024-04-22,1.6
2024-04-23,1.6
2024-04-24,1.55
2024-04-25,1.58
2024-04-26,1.67
2024-04-29,1.75
2024-04-30,1.65
2024-05-01,1.68
2024-05-02,1.78
2024-05-03,1.8
2024-05-06,1.79
2024-05-07,1.68
2024-05-08,1.85
2024-05-09,1.97
2024-05-10,1.87
2024-05-13,1.91
2024-05-14,1.97
2024-05-15,2.01
2024-05-16,1.98
2024-05-17,2.01
2024-05-20,1.93
2024-05-21,1.97
2024-05-22,2.49
2024-05-23,2.2
2024-05-24,2.58
2024-05-28,2.66
2024-05-29,2.57
2024-05-30,2.53
2024-05-31,2.4
2024-06-03,2.27
2024-06-04,2.22
2024-06-05,2.34
2024-06-06,2.14
2024-06-07,2.07
2024-06-10,1.95
2024-06-11,1.89
2024-06-12,1.88
2024-06-13,1.82
2024-06-14,1.76
2024-06-17,1.73
2024-06-18,1.71
2024-06-20,1.6
2024-06-21,1.68
2024-06-24,1.71
2024-06-25,1.58
2024-06-26,1.71
2024-06-27,1.71
2024-06-28,1.7
2024-07-01,1.59
2024-07-02,1.58
2024-07-03,1.64
2024-07-05,1.63
2024-07-08,1.58
2024-07-09,1.54
2024-07-10,1.57
2024-07-11,1.71
2024-07-12,1.84
2024-07-15,1.83
2024-07-16,1.95
2024-07-17,1.85
2024-07-18,1.77
2024-07-19,1.69
2024-07-22,1.75
2024-07-23,1.79
2024-07-24,1.7
2024-07-25,1.76
2024-07-26,1.79
2024-07-29,1.76
2024-07-30,1.72
2024-07-31,1.8
2024-08-01,1.67
2024-08-02,1.55
2024-08-05,1.47
2024-08-06,1.39
2024-08-07,1.26
2024-08-08,1.27
2024-08-09,1.18
2024-08-12,1.14
2024-08-13,1.29
2024-08-14,1.22
2024-08-15,1.23
2024-08-16,1.22
2024-08-19,1.29
2024-08-20,1.23
2024-08-21,1.29
2024-08-22,1.22
2024-08-23,1.33
2024-08-26,1.29
2024-08-27,1.27
2024-08-28,1.23
2024-08-29,1.27
2024-08-30,1.23
2024-09-03,1.13
2024-09-04,1.15
2024-09-05,1.1
2024-09-06,1.05
2024-09-09,1.0
2024-09-10,1.03
2024-09-11,1.06
2024-09-12,1.02
2024-09-13,1.01
2024-09-16,1.03
2024-09-17,1.08
2024-09-18,1.09
2024-09-19,1.12
2024-09-20,1.01
2024-09-23,0.9935
2024-09-24,1.01
2024-09-25,1.01
2024-09-26,1.05
2024-09-27,1.09
2024-09-30,0.9701
2024-10-01,0.9684
2024-10-02,1.02
2024-10-03,0.9631
2024-10-04,1.0
2024-10-07,1.03
2024-10-08,0.9651
2024-10-09,0.9503
2024-10-10,0.9631
2024-10-11,1.02
2024-10-14,1.01
2024-10-15,1.02
2024-10-16,1.07
2024-10-17,1.02
2024-10-18,1.05
2024-10-21,1.08
2024-10-22,1.04
2024-10-23,1.01
2024-10-24,1.01
2024-10-25,1.02
2024-10-28,1.05
2024-10-29,1.02
2024-10-30,1.0
2024-10-31,0.97
2024-11-01,0.9803
2024-11-04,1.03
2024-11-05,1.05
2024-11-06,1.75
2024-11-07,2.35
2024-11-08,2.05
2024-11-11,2.32
2024-11-12,2.14
2024-11-13,2.1
2024-11-14,2.3
2024-11-15,2.1
2024-11-18,2.16
2024-11-19,2.28
2024-11-20,2.2
2024-11-21,2.53
2024-11-22,2.45
2024-11-25,2.23
2024-11-26,2.15
2024-11-27,2.14
2024-11-29,2.07
2024-12-02,2.04
2024-12-03,1.96
2024-12-04,1.83
2024-12-05,1.72
2024-12-06,1.7
2024-12-09,1.8
2024-12-10,1.7
2024-12-11,1.66
2024-12-12,1.66
2024-12-13,1.71
2024-12-16,1.57
2024-12-17,1.76
2024-12-18,1.79
2024-12-19,1.81
2024-12-20,2.16
2024-12-23,2.56
2024-12-24,2.98
2024-12-26,3.03
2024-12-27,3.03
2024-12-30,2.7
2024-12-31,2.58
2025-01-02,2.73
2025-01-03,2.89
2025-01-06,2.82
2025-01-07,2.76
2025-01-08,2.6
2025-01-10,2.35
2025-01-13,2.22
2025-01-14,2.26
2025-01-15,2.31
2025-01-16,2.45
2025-01-17,2.49
2025-01-21,2.29
2025-01-22,2.1
2025-01-23,2.09
2025-01-24,1.99
2025-01-27,1.95
2025-01-28,1.87
2025-01-29,1.88
2025-01-30,1.87
2025-01-31,1.88
2025-02-03,1.87
2025-02-04,1.87
2025-02-05,1.87
2025-02-06,1.96
2025-02-07,1.85
2025-02-10,1.77
2025-02-11,1.71
2025-02-12,1.72
2025-02-13,1.9
2025-02-14,2.06
2025-02-18,2.07
2025-02-19,1.96
2025-02-20,1.94
2025-02-21,1.77
2025-02-24,1.68
2025-02-25,1.59
2025-02-26,1.61
2025-02-27,1.57
2025-02-28,1.53
2025-03-03,1.36
2025-03-04,1.35
2025-03-05,1.48
2025-03-06,1.38
2025-03-07,1.4
2025-03-10,1.35
2025-03-11,1.46
2025-03-12,1.51
2025-03-13,1.39
2025-03-14,1.52
2025-03-17,1.61
2025-03-18,1.65
2025-03-19,1.67
2025-03-20,1.57
2025-03-21,1.49
2025-03-24,1.55
2025-03-25,1.46
2025-03-26,1.4
2025-03-27,1.42
2025-03-28,1.3
2025-03-31,1.26
2025-04-01,1.22
2025-04-02,1.18
2025-04-03,1.1
2025-04-04,1.03
2025-04-07,1.04
2025-04-08,1.04
2025-04-09,1.18
2025-04-10,1.1
2025-04-11,1.15
2025-04-14,1.11
2025-04-15,1.09
2025-04-16,1.07
2025-04-17,1.05
2025-04-21,1.03
2025-04-22,1.14
2025-04-23,1.13
2025-04-24,1.23
2025-04-25,1.26
2025-04-28,1.23
2025-04-29,1.24
2025-04-30,1.21
2025-05-01,1.28
2025-05-02,1.33
2025-05-05,1.28
2025-05-06,1.25
2025-05-07,1.29
2025-05-08,1.36
2025-05-09,1.39
2025-05-12,1.46
2025-05-13,1.52
2025-05-14,1.55
2025-05-15,1.27
2025-05-16,1.18
2025-05-19,1.12
2025-05-20,1.09
2025-05-21,1.02
2025-05-22,0.9701
2025-05-23,1.05
2025-05-27,1.14
2025-05-28,1.18
2025-05-29,1.12
2025-05-30,1.09
2025-06-02,1.05
2025-06-03,1.14
2025-06-04,1.13
2025-06-05,1.07
2025-06-06,1.2
2025-06-09,1.32
2025-06-10,1.38
2025-06-11,1.42
2025-06-12,1.39
2025-06-13,1.33
2025-06-16,1.51
2025-06-17,1.29
2025-06-18,1.47
2025-06-20,1.36
2025-06-23,1.32
2025-06-24,1.37
2025-06-25,1.27
2025-06-26,1.3
2025-06-27,1.25
2025-06-30,1.23
2025-07-01,1.25
2025-07-02,1.41
2025-07-03,1.44
2025-07-07,1.4
2025-07-08,1.5
2025-07-09,1.48
2025-07-10,1.42
2025-07-11,1.38
2025-07-14,1.4
2025-07-15,1.36
2025-07-16,1.39
2025-07-17,1.5
2025-07-18,1.48
2025-07-21,1.53
2025-07-22,1.57
2025-07-23,1.57
2025-07-24,1.48
2025-07-25,1.42
2025-07-28,1.4
2025-07-29,1.34
2025-07-30,1.29
2025-07-31,1.19
2025-08-01,1.16
2025-08-04,1.24
2025-08-05,1.25
2025-08-06,1.25
2025-08-07,1.27
2025-08-08,1.28
2025-08-11,1.24
2025-08-12,1.25
2025-08-13,1.34
2025-08-14,1.26
2025-08-15,1.48
2025-08-18,1.55
2025-08-19,1.46
2025-08-20,1.33
2025-08-21,1.48
2025-08-22,1.59
2025-08-25,1.62
2025-08-26,1.61
2025-08-27,1.58
2025-08-28,1.64
2025-08-29,1.65
2025-09-02,1.89
2025-09-03,1.83
2025-09-04,1.85
2025-09-05,1.98
2025-09-08,1.98
2025-09-09,1.94
2025-09-10,1.87
2025-09-11,1.88
2025-09-12,1.86
2025-09-15,1.78
2025-09-16,1.75
2025-09-17,1.77
2025-09-18,1.86
2025-09-19,1.95
2025-09-22,2.03
2025-09-23,1.84
2025-09-24,2.2
2025-09-25,2.27
2025-09-26,2.2
2025-09-29,2.33
2025-09-30,2.18
2025-10-01,2.39
2025-10-02,2.36
2025-10-03,2.53
2025-10-06,2.8
2025-10-07,2.86
2025-10-08,2.93
2025-10-09,3.83
2025-10-10,3.64
2025-10-13,3.5
2025-10-14,4.01
2025-10-15,5.24
2025-10-16,4.69
2025-10-17,4.32
2025-10-20,4.76
2025-10-21,4.48
2025-10-22,4.11
2025-10-23,3.71
2025-10-24,3.47
2025-10-27,3.83
2025-10-28,3.7
2025-10-29,3.6
2025-10-30,3.64
2025-10-31,3.72
2025-11-03,3.42
2025-11-04,3.68
2025-11-05,4.09
2025-11-06,3.68
2025-11-07,3.81
2025-11-10,4.5
2025-11-11,4.41
2025-11-12,3.85
2025-11-13,3.49
2025-11-14,3.36
2025-11-17,3.18
2025-11-18,3.06
2025-11-19,2.89
2025-11-20,2.72
2025-11-21,2.72
2025-11-24,3.14
2025-11-25,3.29
2025-11-26,3.84
2025-11-28,4.12
2025-12-01,4.47
2025-12-02,4.74
2025-12-03,4.52
2025-12-04,5.11
2025-12-05,5.83
2025-12-08,6.02
2025-12-09,6.73
2025-12-10,6.15
2025-12-11,5.87
2025-12-12,5.35
2025-12-15,5.06
2025-12-16,5.44
2025-12-17,5.42
2025-12-18,6.02
2025-12-19,6.43
2025-12-22,7.3
2025-12-23,7.11
2025-12-24,7.05
2025-12-26,6.8
2025-12-29,6.42
2025-12-30,6.5
2025-12-31,6.68
