date,DO
2023-12-11,11.96
2023-12-12,11.61
2023-12-13,12.22
2023-12-14,12.98
2023-12-15,12.61
2023-12-18,12.7
2023-12-19,13.15
2023-12-20,12.93
2023-12-21,13.08
2023-12-22,13.15
2023-12-26,13.68
2023-12-27,13.47
2023-12-28,13.1
2023-12-29,13.0
2024-01-02,12.87
2024-01-03,12.79
2024-01-04,12.31
2024-01-05,12.47
2024-01-08,12.45
2024-01-09,12.05
2024-01-10,11.85
2024-01-11,12.11
2024-01-12,12.13
2024-01-16,11.81
2024-01-17,12.01
2024-01-18,12.37
2024-01-19,12.39
2024-01-22,12.58
2024-01-23,12.64
2024-01-24,12.79
2024-01-25,12.87
2024-01-26,12.76
2024-01-29,12.81
2024-01-30,12.56
2024-01-31,12.2
2024-02-01,11.99
2024-02-02,11.69
2024-02-05,11.55
2024-02-06,11.44
2024-02-07,11.34
2024-02-08,11.88
2024-02-09,12.01
2024-02-12,12.37
2024-02-13,12.07
2024-02-14,12.15
2024-02-15,12.26
2024-02-16,11.9
2024-02-20,11.53
2024-02-21,12.05
2024-02-22,12.34
2024-02-23,12.05
2024-02-26,12.12
2024-02-27,12.08
2024-02-28,11.18
2024-02-29,11.09
2024-03-01,11.85
2024-03-04,12.02
2024-03-05,11.75
2024-03-06,11.79
2024-03-07,12.2
2024-03-08,12.28
2024-03-11,12.62
2024-03-12,12.47
2024-03-13,12.73
2024-03-14,12.85
2024-03-15,13.04
2024-03-18,13.06
2024-03-19,13.24
2024-03-20,13.17
2024-03-21,13.17
2024-03-22,12.94
2024-03-25,13.3
2024-03-26,13.14
2024-03-27,13.44
2024-03-28,13.64
2024-04-01,13.7
2024-04-02,13.99
2024-04-03,14.38
2024-04-04,14.19
2024-04-05,14.58
2024-04-08,14.26
2024-04-09,14.17
2024-04-10,14.46
2024-04-11,14.2
2024-04-12,14.02
2024-04-15,13.76
2024-04-16,13.54
2024-04-17,13.01
2024-04-18,12.86
2024-04-19,12.94
2024-04-22,13.31
2024-04-23,13.58
2024-04-24,13.16
2024-04-25,13.01
2024-04-26,13.2
2024-04-29,13.05
2024-04-30,12.24
2024-05-01,12.29
2024-05-02,12.54
2024-05-03,12.98
2024-05-06,13.48
2024-05-07,13.71
2024-05-08,14.66
2024-05-09,14.54
2024-05-10,14.42
2024-05-13,14.45
2024-05-14,14.58
2024-05-15,14.62
2024-05-16,14.73
2024-05-17,14.83
2024-05-20,15.25
2024-05-21,15.28
2024-05-22,14.71
2024-05-23,14.47
2024-05-24,14.48
2024-05-28,15.14
2024-05-29,14.63
2024-05-30,14.81
2024-05-31,15.18
2024-06-03,14.08
2024-06-04,13.36
2024-06-05,13.37
2024-06-06,13.68
2024-06-07,13.93
2024-06-10,15.45
2024-06-11,15.26
2024-06-12,15.5
2024-06-13,15.32
2024-06-14,15.01
2024-06-17,15.14
2024-06-18,15.18
2024-06-20,15.22
2024-06-21,15.37
2024-06-24,15.41
2024-06-25,15.35
2024-06-26,15.38
2024-06-27,15.5
2024-06-28,15.49
2024-07-01,15.12
2024-07-02,15.39
2024-07-03,15.42
2024-07-05,15.35
2024-07-08,15.35
2024-07-09,15.38
2024-07-10,15.42
2024-07-11,15.68
2024-07-12,15.78
2024-07-15,16.3
2024-07-16,16.43
2024-07-17,16.28
2024-07-18,16.1
2024-07-19,15.96
2024-07-22,16.07
2024-07-23,16.24
2024-07-24,15.84
2024-07-25,16.26
2024-07-26,16.43
2024-07-29,16.2
2024-07-30,16.13
2024-07-31,16.42
2024-08-01,15.81
2024-08-02,15.16
2024-08-05,14.66
2024-08-06,14.75
2024-08-07,14.7
2024-08-08,14.85
2024-08-09,14.63
2024-08-12,14.66
2024-08-13,14.55
2024-08-14,14.4
2024-08-15,14.55
2024-08-16,14.42
2024-08-19,14.44
2024-08-20,14.13
2024-08-21,14.07
2024-08-22,13.97
2024-08-23,14.36
2024-08-26,14.45
2024-08-27,14.34
2024-08-28,14.21
2024-08-29,14.29
2024-08-30,14.34
2024-09-03,13.99
2024-09-04,13.99
