date,AABA
2016-07-26,38.76
2016-07-27,38.66
2016-07-28,38.52
2016-07-29,38.19
2016-08-01,38.8
2016-08-02,38.57
2016-08-03,38.39
2016-08-04,38.92
2016-08-05,38.99
2016-08-08,39.24
2016-08-09,39.24
2016-08-10,39.93
2016-08-11,41.27
2016-08-12,42.94
2016-08-15,42.67
2016-08-16,42.49
2016-08-17,42.7
2016-08-18,42.9
2016-08-19,43.02
2016-08-22,42.52
2016-08-23,42.6
2016-08-24,41.91
2016-08-25,42.03
2016-08-26,42.27
2016-08-29,42.26
2016-08-30,42.58
2016-08-31,42.75
2016-09-01,42.93
2016-09-02,43.28
2016-09-06,44.71
2016-09-07,44.35
2016-09-08,44.36
2016-09-09,42.92
2016-09-12,43.46
2016-09-13,43.04
2016-09-14,43.46
2016-09-15,43.99
2016-09-16,43.67
2016-09-19,43.19
2016-09-20,42.79
2016-09-21,44.14
2016-09-22,44.15
2016-09-23,42.8
2016-09-26,42.29
2016-09-27,43.37
2016-09-28,43.69
2016-09-29,42.57
2016-09-30,43.1
2016-10-03,43.13
2016-10-04,43.18
2016-10-05,43.71
2016-10-06,43.68
2016-10-07,43.22
2016-10-10,43.92
2016-10-11,42.68
2016-10-12,42.36
2016-10-13,41.62
2016-10-14,41.44
2016-10-17,41.79
2016-10-18,41.68
2016-10-19,42.73
2016-10-20,42.38
2016-10-21,42.17
2016-10-24,42.59
2016-10-25,42.55
2016-10-26,42.08
2016-10-27,41.87
2016-10-28,41.78
2016-10-31,41.55
2016-11-01,41.33
2016-11-02,40.68
2016-11-03,40.23
2016-11-04,40.28
2016-11-07,41.05
2016-11-08,41.16
2016-11-09,41.21
2016-11-10,40.16
2016-11-11,40.42
2016-11-14,39.3
2016-11-15,40.21
2016-11-16,40.98
2016-11-17,41.45
2016-11-18,41.19
2016-11-21,41.11
2016-11-22,41.01
2016-11-23,40.96
2016-11-25,40.87
2016-11-28,41.45
2016-11-29,41.6
2016-11-30,41.02
2016-12-01,39.63
2016-12-02,40.07
2016-12-05,40.2
2016-12-06,39.97
2016-12-07,40.52
2016-12-08,41.41
2016-12-09,41.76
2016-12-12,41.3
2016-12-13,41.47
2016-12-14,40.91
2016-12-15,38.41
2016-12-16,38.61
2016-12-19,38.42
2016-12-20,39.16
2016-12-21,39.15
2016-12-22,38.5
2016-12-23,38.66
2016-12-27,38.92
2016-12-28,38.73
2016-12-29,38.64
2016-12-30,38.67
