date,DFS
2017-03-24,56.2220646112
2017-03-27,55.8707289894
2017-03-28,56.790893713
2017-03-29,56.5984956345
2017-03-30,57.4350090195
2017-03-31,57.2091504056
2017-04-03,56.8410845161
2017-04-04,56.0882224696
2017-04-05,55.3102650214
2017-04-06,55.6532355093
2017-04-07,55.1931531475
2017-04-10,54.7330707857
2017-04-11,55.2349788168
2017-04-12,54.7665313211
2017-04-13,54.1809719516
2017-04-17,54.942199132
2017-04-18,54.4068305655
2017-04-19,54.3482746286
2017-04-20,55.7870776509
2017-04-21,55.4022814938
2017-04-24,55.9711105956
2017-04-25,56.2806205481
2017-04-26,54.5657681087
2017-04-27,53.8045409283
2017-04-28,52.3573727721
2017-05-01,51.8387344734
2017-05-02,51.805273938
2017-05-03,51.1444283637
2017-05-04,50.6508854665
2017-05-05,50.4417571203
2017-05-08,50.5505038603
2017-05-09,51.0273164898
2017-05-10,50.6994638798
2017-05-11,50.6406185395
2017-05-12,50.665837971
2017-05-15,51.1197877388
2017-05-16,50.5817731992
2017-05-17,49.4637117341
2017-05-18,49.8335967301
2017-05-19,50.5313343361
2017-05-22,50.1950752489
2017-05-23,50.2202946804
2017-05-24,49.7663449126
2017-05-25,49.6318412778
2017-05-26,50.2707335435
2017-05-30,49.4805246885
2017-05-31,49.3460210536
2017-06-01,49.6570607093
2017-06-02,49.5225570744
2017-06-05,49.6150283234
2017-06-06,49.3376145764
2017-06-07,49.9092550247
2017-06-08,50.2118882033
2017-06-09,50.9180322865
2017-06-12,51.0525359214
2017-06-13,51.5821439838
2017-06-14,50.9684711496
2017-06-15,51.0441294442
2017-06-16,51.3635755771
2017-06-19,51.3972014858
2017-06-20,51.0945683073
2017-06-21,50.7414962657
2017-06-22,50.6406185395
2017-06-23,50.4724889959
2017-06-26,50.9516581952
2017-06-27,51.3383561455
2017-06-28,52.0192807972
2017-06-29,51.7082411415
2017-06-30,52.2798815898
2017-07-03,52.3471334073
2017-07-05,51.7082411415
2017-07-06,51.4476403489
2017-07-07,51.590550461
2017-07-10,51.3635755771
2017-07-11,51.0777553529
2017-07-12,51.3972014858
2017-07-13,51.6325828469
2017-07-14,51.498079212
2017-07-17,51.3383561455
2017-07-18,51.313136714
2017-07-19,51.3972014858
2017-07-20,51.590550461
2017-07-21,52.565701814
2017-07-24,52.565701814
2017-07-25,53.6249179388
2017-07-26,53.0700904449
2017-07-27,50.8087480831
2017-07-28,50.6574314939
2017-07-31,51.2290719422
2017-08-01,50.9516581952
2017-08-02,51.0945683073
2017-08-03,50.8255610375
2017-08-04,51.313136714
2017-08-07,51.6073634153
2017-08-08,52.0865326147
2017-08-09,51.498079212
2017-08-10,50.522927859
2017-08-11,50.1362299086
2017-08-14,50.8591869462
2017-08-15,52.01087432
2017-08-16,51.8763706851
2017-08-17,50.3547983153
2017-08-18,49.9596938878
2017-08-21,49.8251902529
2017-08-22,50.3127659294
2017-08-23,50.1521033155
2017-08-24,50.2873981483
2017-08-25,50.4734285433
2017-08-28,49.9745288475
2017-08-29,49.4248935895
2017-08-30,49.8646017959
2017-08-31,49.8476899418
2017-09-01,50.3888692728
2017-09-05,49.4164376624
2017-09-06,49.7715865984
2017-09-07,49.1204802158
2017-09-08,48.7568753528
