date,UTX
2021-06-10,79.3718491254
2021-06-11,79.8755118507
2021-06-14,79.7945660555
2021-06-15,80.4061565077
2021-06-16,79.5337407156
2021-06-17,78.3645236747
2021-06-18,77.2762524289
2021-06-21,79.1469996944
2021-06-22,78.5893731057
2021-06-23,77.8878428811
2021-06-24,78.112692312
2021-06-25,77.9957706079
2021-06-28,76.5477402726
2021-06-29,75.9451437977
2021-06-30,76.7276198174
2021-07-01,77.546071746
2021-07-02,77.9777826535
2021-07-06,77.1233548159
2021-07-07,77.1953066338
2021-07-08,76.8445415215
2021-07-09,77.6899753819
2021-07-12,77.546071746
2021-07-13,76.7456077719
2021-07-14,76.3678607279
2021-07-15,76.4308185685
2021-07-16,75.126691869
2021-07-19,72.896185514
2021-07-20,76.2689269782
2021-07-21,77.8698549266
2021-07-22,77.1863126565
2021-07-23,77.1773186793
2021-07-26,77.3032343606
2021-07-27,79.3448671936
2021-07-28,78.4274815154
2021-07-29,78.8322104911
2021-07-30,78.2026320844
2021-08-02,77.8968368583
2021-08-03,79.1200177627
2021-08-04,77.1863126565
2021-08-05,78.1396742438
2021-08-06,78.7692526504
2021-08-09,78.3195537885
2021-08-10,78.8322104911
2021-08-11,79.7046262832
2021-08-12,79.1290117399
2021-08-13,78.4724514016
2021-08-16,78.3735176519
2021-08-17,77.8968368583
2021-08-18,76.8805174304
2021-08-19,75.4234931179
2021-08-20,76.0569237739
2021-08-23,76.8803836268
2021-08-24,77.3056870673
2021-08-25,77.5771573485
2021-08-26,76.6994034394
2021-08-27,77.2785400392
2021-08-30,76.7355994769
2021-08-31,76.6994034394
2021-09-01,76.1021688208
2021-09-02,76.5003252332
2021-09-03,75.694963399
2021-09-07,75.1067777898
2021-09-08,74.989140668
2021-09-09,75.7040124084
2021-09-10,75.1067777898
2021-09-13,75.6859143897
2021-09-14,74.8715035462
2021-09-15,76.7989425425
2021-09-16,76.0297767458
2021-09-17,75.4596891554
2021-09-20,75.5139832116
2021-09-21,75.2063168929
2021-09-22,77.1609029174
2021-09-23,78.5001563045
2021-09-24,78.8711656887
2021-09-27,79.0340478574
2021-09-28,78.5815973888
2021-09-29,78.7173325294
2021-09-30,77.785284564
2021-10-01,79.1607339886
2021-10-04,79.3507631854
2021-10-05,80.2828111508
2021-10-06,80.7805066663
2021-10-07,81.576819491
2021-10-08,82.0021229315
