date,KORS
2017-08-09,45.78
2017-08-10,45.16
2017-08-11,44.69
2017-08-14,45.02
2017-08-15,44.03
2017-08-16,44.03
2017-08-17,43.35
2017-08-18,41.96
2017-08-21,41.95
2017-08-22,41.8
2017-08-23,41.66
2017-08-24,41.79
2017-08-25,42.29
2017-08-28,42.46
2017-08-29,42.32
2017-08-30,42.07
2017-08-31,42.22
2017-09-01,42.81
2017-09-05,42.45
2017-09-06,42.65
2017-09-07,42.37
2017-09-08,42.15
2017-09-11,42.69
2017-09-12,42.57
2017-09-13,42.92
2017-09-14,44.42
2017-09-15,44.92
2017-09-18,44.65
2017-09-19,46.18
2017-09-20,46.11
2017-09-21,45.92
2017-09-22,46.16
2017-09-25,45.87
2017-09-26,47.03
2017-09-27,48.55
2017-09-28,47.71
2017-09-29,47.85
2017-10-02,48.17
2017-10-03,47.6
2017-10-04,47.53
2017-10-05,47.61
2017-10-06,47.48
2017-10-09,47.3
2017-10-10,47.56
2017-10-11,47.0
2017-10-12,47.65
2017-10-13,47.77
2017-10-16,48.62
2017-10-17,48.99
2017-10-18,49.13
2017-10-19,48.84
2017-10-20,49.95
2017-10-23,49.44
2017-10-24,49.8
2017-10-25,49.73
2017-10-26,49.76
2017-10-27,49.02
2017-10-30,48.8
2017-10-31,48.81
2017-11-01,48.48
2017-11-02,47.93
2017-11-03,47.62
2017-11-06,54.62
2017-11-07,54.64
2017-11-08,53.95
2017-11-09,54.53
2017-11-10,54.71
2017-11-13,54.09
2017-11-14,54.89
2017-11-15,55.18
2017-11-16,55.76
2017-11-17,56.29
2017-11-20,56.15
2017-11-21,56.33
2017-11-22,56.61
2017-11-24,56.61
2017-11-27,56.61
2017-11-28,57.87
2017-11-29,58.65
2017-11-30,58.44
2017-12-01,57.98
2017-12-04,58.79
2017-12-05,59.81
2017-12-06,59.85
2017-12-07,59.95
2017-12-08,61.81
2017-12-11,61.04
2017-12-12,61.12
2017-12-13,61.1
2017-12-14,61.41
2017-12-15,61.65
2017-12-18,63.19
2017-12-19,63.36
2017-12-20,63.72
2017-12-21,64.03
2017-12-22,63.4
2017-12-26,63.98
2017-12-27,63.59
2017-12-28,63.55
2017-12-29,62.95
