date,FLIR
2016-04-22,30.9679403331
2016-04-25,31.5350506184
2016-04-26,29.1085623485
2016-04-27,28.6623116322
2016-04-28,28.5879365128
2016-04-29,28.085904457
2016-05-02,28.4112956043
2016-05-03,28.9691089997
2016-05-04,28.2718422555
2016-05-05,28.3369204849
2016-05-06,28.2439515857
2016-05-09,28.4205924942
2016-05-10,28.5321551733
2016-05-11,28.4577800539
2016-05-12,28.2160609159
2016-05-13,28.1044982368
2016-05-16,28.3369204849
2016-05-17,27.5002003919
2016-05-18,27.5931692911
2016-05-19,27.7611926494
2016-05-20,27.9478852698
2016-05-23,28.0132276869
2016-05-24,28.5919748101
2016-05-25,28.545301655
2016-05-26,28.6013094411
2016-05-27,28.8346752166
2016-05-31,29.077375623
2016-06-01,28.9186868957
2016-06-02,29.1520526712
2016-06-03,29.030702468
2016-06-06,29.1613873022
2016-06-07,29.4694301258
2016-06-08,29.4320916018
2016-06-09,29.3200760295
2016-06-10,28.9093522647
2016-06-13,29.2640682434
2016-06-14,29.1520526712
2016-06-15,29.04937173
2016-06-16,29.1707219332
2016-06-17,28.5266323929
2016-06-20,28.7133250133
2016-06-21,28.8440098476
2016-06-22,29.0867102541
2016-06-23,29.4507608638
2016-06-24,27.8452043286
2016-06-27,27.1451070022
2016-06-28,27.7145194943
2016-06-29,28.1625817832
2016-06-30,28.8906830027
2016-07-01,28.9840293129
2016-07-05,28.9000176337
2016-07-06,29.2547336124
2016-07-07,29.3480799226
2016-07-08,29.6841266393
2016-07-11,29.8894885217
2016-07-12,30.4402317518
2016-07-13,29.9641655698
2016-07-14,29.9361616768
2016-07-15,29.8988231527
2016-07-18,30.4028932277
2016-07-19,30.4589010138
2016-07-20,30.6735975272
2016-07-21,30.6642628962
2016-07-22,31.0189788749
2016-07-25,30.1228542971
2016-07-26,30.561581955
2016-07-27,30.2815430244
2016-07-28,30.7109360513
2016-07-29,30.4122278587
2016-08-01,30.1135196661
2016-08-02,29.7494690564
2016-08-03,29.4974340189
2016-08-04,29.544107174
2016-08-05,29.6841266393
2016-08-08,29.3294106605
2016-08-09,29.4414262328
2016-08-10,29.4880993879
2016-08-11,29.2734028744
2016-08-12,28.8626791096
2016-08-15,28.9186868957
2016-08-16,28.5172977619
2016-08-17,28.7133250133
2016-08-18,28.4977876519
2016-08-19,28.9335479695
2016-08-22,28.7508097718
2016-08-23,28.6945826341
2016-08-24,29.3318235286
2016-08-25,29.1912556842
2016-08-26,29.1162861672
2016-08-29,29.2662252012
2016-08-30,28.9007488058
2016-08-31,28.8913776162
2016-09-01,28.9194911851
2016-09-02,29.097543788
2016-09-06,29.1443997361
2016-09-07,29.097543788
2016-09-08,29.0694302191
2016-09-09,28.7695521511
2016-09-12,29.1350285465
2016-09-13,28.8913776162
2016-09-14,28.5446436001
2016-09-15,29.0132030813
2016-09-16,29.0506878398
2016-09-19,29.3599370975
2016-09-20,29.1818844946
2016-09-21,29.4817625626
2016-09-22,29.5286185108
2016-09-23,29.5661032693
2016-09-26,29.4536489938
2016-09-27,29.7816406307
2016-09-28,29.7066711136
2016-09-29,29.3411947182
2016-09-30,29.4442778041
2016-10-03,29.6035880278
2016-10-04,28.8538928577
2016-10-05,28.9007488058
2016-10-06,28.7601809614
2016-10-07,28.4603028934
2016-10-10,28.5071588416
2016-10-11,27.9917434121
2016-10-12,27.645009396
2016-10-13,27.4013584657
2016-10-14,27.4388432242
2016-10-17,27.1577075354
2016-10-18,27.4669567931
2016-10-19,27.4575856035
2016-10-20,27.3826160865
2016-10-21,27.1483363458
2016-10-24,27.345131328
2016-10-25,27.5231839308
2016-10-26,30.2970560601
2016-10-27,30.3720255771
2016-10-28,30.6344188866
2016-10-31,30.849956248
2016-11-01,30.7656155414
2016-11-02,30.6625324555
2016-11-03,30.1471170261
2016-11-04,29.922208475
2016-11-07,30.1658594053
2016-11-08,30.2970560601
2016-11-09,31.3560004878
2016-11-10,32.0494685201
2016-11-11,32.5086568117
2016-11-14,33.2396096026
2016-11-15,33.0615569997
2016-11-16,33.1365265167
2016-11-17,33.2587668245
2016-11-18,32.9860769071
2016-11-21,33.3339916293
2016-11-22,33.2399606233
2016-11-23,33.3998133335
2016-11-25,33.5126505407
2016-11-28,33.1647358185
2016-11-29,33.1459296173
2016-11-30,33.7665342569
2016-12-01,33.4656350377
2016-12-02,33.4092164341
2016-12-05,33.5784722449
2016-12-06,33.7759373575
2016-12-07,34.1708675827
2016-12-08,34.4623637014
2016-12-09,34.5752009086
2016-12-12,34.5563947074
2016-12-13,34.4905730032
2016-12-14,34.0392241743
2016-12-15,34.3401233936
2016-12-16,34.0580303755
2016-12-19,34.0016117719
2016-12-20,34.1896737839
2016-12-21,34.0298210737
2016-12-22,33.9169838665
2016-12-23,34.3871388966
2016-12-27,34.5281854056
2016-12-28,34.1144489791
2016-12-29,34.1896737839
2016-12-30,34.0298210737
2017-01-03,33.9357900677
2017-01-04,34.4153481984
2017-01-05,34.236689287
2017-01-06,33.7759373575
2017-01-09,33.4938443395
2017-01-10,33.6348908485
2017-01-11,33.6536970497
2017-01-12,33.3716040317
2017-01-13,33.5126505407
2017-01-17,33.1459296173
2017-01-18,33.2869761263
2017-01-19,32.9484645047
2017-01-20,32.6193559836
2017-01-23,32.5347280782
2017-01-24,32.6287590842
2017-01-25,33.0989141143
2017-01-26,33.5314567419
2017-01-27,33.3810071323
2017-01-30,33.2775730257
2017-01-31,33.2211544221
2017-02-01,33.3057823275
2017-02-02,33.6254877479
2017-02-03,34.1708675827
2017-02-06,33.9263869671
2017-02-07,33.5314567419
2017-02-08,33.5784722449
2017-02-09,33.9357900677
2017-02-10,33.9922086713
2017-02-13,34.2272861864
2017-02-14,32.1115885512
2017-02-15,34.7256505182
2017-02-16,34.2272861864
2017-02-17,34.4341543996
2017-02-21,34.565797808
2017-02-22,34.6316195122
2017-02-23,34.3766975583
2017-02-24,34.6693857276
2017-02-27,34.5749701891
2017-02-28,34.6599441737
2017-03-01,34.9809570045
2017-03-02,34.5560870814
2017-03-03,34.4050222198
2017-03-06,34.4616715429
2017-03-07,34.4616715429
2017-03-08,34.2350742506
2017-03-09,34.4050222198
2017-03-10,34.1784249275
2017-03-13,34.3766975583
2017-03-14,34.3578144506
2017-03-15,34.6505026199
2017-03-16,34.5466455276
2017-03-17,34.6882688353
2017-03-20,34.5466455276
2017-03-21,33.9423860813
2017-03-22,34.0179185121
2017-03-23,34.272840466
2017-03-24,34.0462431736
2017-03-27,33.8290874352
2017-03-28,34.272840466
2017-03-29,34.1406587121
2017-03-30,34.5372039737
2017-03-31,34.2539573583
2017-04-03,33.6119316967
2017-04-04,33.8196458813
2017-04-05,33.3947759582
2017-04-06,33.7346718967
2017-04-07,33.7535550044
2017-04-10,33.5647239274
2017-04-11,33.6685810197
2017-04-12,33.3381266351
2017-04-13,33.0171138043
2017-04-17,33.1965033274
2017-04-18,33.4419837274
2017-04-19,33.838528989
2017-04-20,34.395580666
2017-04-21,34.3389313429
2017-04-24,35.1603465276
2017-04-25,35.4152684815
2017-04-26,34.6977103891
2017-04-27,34.6505026199
2017-04-28,34.6788272814
2017-05-01,34.9148661276
2017-05-02,35.1414634199
2017-05-03,34.9998401122
2017-05-04,34.8487752507
2017-05-05,34.8865414661
2017-05-08,34.8015674814
2017-05-09,35.0092816661
2017-05-10,35.3491776046
2017-05-11,35.3114113892
2017-05-12,35.3963853738
2017-05-15,35.3491776046
2017-05-16,35.7079566508
2017-05-17,35.2169958507
2017-05-18,35.26420362
2017-05-19,34.9998401122
2017-05-22,34.6977103891
2017-05-23,34.7449181583
2017-05-24,34.9148661276
2017-05-25,35.0001861914
2017-05-26,35.1234262837
2017-05-30,35.8059867944
2017-05-31,35.9197468796
2017-06-01,36.9151476245
2017-06-02,36.6781474471
2017-06-05,36.166227064
2017-06-06,35.5784666242
2017-06-07,35.4078264965
2017-06-08,35.4078264965
2017-06-09,34.9338261418
2017-06-12,34.2607456381
2017-06-13,34.0901055104
2017-06-14,34.1185455317
2017-06-15,33.8246653118
2017-06-16,33.5971451415
2017-06-19,33.8057052976
2017-06-20,33.7014252196
2017-06-21,33.4739050493
2017-06-22,33.4075449996
2017-06-23,33.2084648507
2017-06-26,33.34118495
2017-06-27,33.1515848081
2017-06-28,33.1515848081
2017-06-29,32.9335446449
2017-06-30,32.8577045882
2017-07-03,32.7818645314
2017-07-05,32.4974643186
2017-07-06,32.3268241909
2017-07-07,32.8956246166
2017-07-10,33.8815453543
2017-07-11,34.649425929
2017-07-12,35.3130264256
2017-07-13,35.7301467377
2017-07-14,35.7965067874
2017-07-17,36.166227064
2017-07-18,36.261027135
2017-07-19,36.2799871492
2017-07-20,36.4127072485
2017-07-21,36.1377870427
2017-07-24,36.2989471633
2017-07-25,36.763467511
2017-07-26,36.3747872201
2017-07-27,35.3035464185
2017-07-28,34.6020258935
2017-07-31,35.3793864752
2017-08-01,35.151866305
2017-08-02,35.360426461
2017-08-03,35.6543066809
2017-08-04,35.5974266384
2017-08-07,35.6448266738
2017-08-08,35.7491067519
2017-08-09,35.7017067164
2017-08-10,35.3414664468
2017-08-11,35.4647065391
2017-08-14,35.7491067519
2017-08-15,35.9197468796
2017-08-16,36.3273871846
2017-08-17,35.8344268157
2017-08-18,35.862866837
2017-08-21,35.4267865107
2017-08-22,35.9292268867
2017-08-23,35.7301467377
2017-08-24,35.6920751908
2017-08-25,36.1013443197
2017-08-28,35.6730394174
2017-08-29,35.8919508119
2017-08-30,36.6153102024
2017-08-31,36.1679695267
2017-09-01,36.4059166946
2017-09-05,36.3392914876
2017-09-06,36.3012199407
2017-09-07,36.091826433
2017-09-08,36.225076847
2017-09-11,37.100722425
2017-09-12,37.4433663469
2017-09-13,37.2530086125
2017-09-14,37.3481874797
2017-09-15,37.9192606827
2017-09-18,38.6997273936
2017-09-19,37.8526354757
2017-09-20,37.7955281554
2017-09-21,37.6051704211
2017-09-22,37.3196338195
2017-09-25,37.4052948
2017-09-26,37.1102403117
2017-09-27,37.1959012922
2017-09-28,37.1197581985
2017-09-29,37.034097218
2017-10-02,39.023335542
2017-10-03,39.0709249756
2017-10-04,39.0328534287
2017-10-05,39.089960749
2017-10-06,39.2993542568
2017-10-09,39.1280322959
2017-10-10,39.5087477646
2017-10-11,40.5271616433
2017-10-12,40.6223405105
2017-10-13,40.7175193777
2017-10-16,40.5461974168
2017-10-17,40.4510185496
2017-10-18,41.0316096394
2017-10-19,41.1648600534
2017-10-20,41.2314852604
2017-10-23,41.650272276
2017-10-24,41.7835226901
2017-10-25,44.2772090101
2017-10-26,45.4193554162
2017-10-27,44.8958716467
2017-10-30,44.4961204046
2017-10-31,44.5627456116
2017-11-01,44.3057626702
2017-11-02,44.4675667444
2017-11-03,44.7055139123
2017-11-06,44.7911748928
2017-11-07,44.9910505139
2017-11-08,44.7245496858
2017-11-09,44.1058870491
2017-11-10,44.4770846311
2017-11-13,44.8387643264
2017-11-14,44.819728553
2017-11-15,44.9244253068
2017-11-16,45.1909261349
2017-11-17,44.2867268968
2017-11-20,44.6198529319
2017-11-21,44.9053895334
2017-11-22,44.7245496858
2017-11-24,44.9441621202
2017-11-27,44.9537104869
2017-11-28,45.4024837224
2017-11-29,44.4571954178
2017-11-30,44.4762921512
2017-12-01,44.3330666505
2017-12-04,44.1611960497
2017-12-05,43.9606803487
2017-12-06,44.0752607493
2017-12-07,44.1039058494
2017-12-08,44.2948731837
2017-12-11,44.151647683
2017-12-12,44.7818398861
2017-12-13,45.2401614883
2017-12-14,45.0110006872
2017-12-15,45.2401614883
