ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
CTAS,cache,251,0.225458,0.225457,0.225472,0.0013,ok
JBHT,cache,251,0.906616,0.906612,0.906673,0.0013,ok
EXPE,cache,251,0.947919,0.947915,0.947969,0.0012,ok
ACN,cache,251,0.835522,0.835506,0.83553,0.0012,ok
SO,cache,251,0.652039,0.65203,0.652053,0.0012,ok
BLL,cache,251,0.493154,0.493144,0.493161,0.0012,ok
INTU,cache,251,0.922866,0.922862,0.922911,0.0012,ok
WEC,cache,251,0.717551,0.71754,0.717565,0.0012,ok
ES,cache,251,0.702336,0.702322,0.702352,0.0012,ok
CME,cache,251,0.674874,0.674869,0.674912,0.0011,ok
TSCO,cache,251,0.171066,0.171055,0.171076,0.0011,ok
CHRW,cache,251,0.787287,0.787227,0.787348,0.0011,ok
MNST,cache,251,0.166667,0.166661,0.166674,0.0011,ok
AME,cache,251,0.93302,0.93301,0.933049,0.0011,ok
DLTR,cache,251,1.000001,0.999937,1.000064,0.001,ok
AON,cache,251,0.90774,0.907724,0.907757,0.001,ok
TRIP,cache,251,0.889276,0.889217,0.889334,0.001,ok
WDC,cache,251,0.649505,0.649503,0.649558,0.001,ok
LRCX,cache,251,0.086729,0.086729,0.086735,0.001,ok
D,cache,251,0.642406,0.642397,0.642416,0.0009,ok
BCR,cache,251,0.993065,0.993055,0.993088,0.0009,ok
HP,cache,251,0.607362,0.607352,0.607371,0.0009,ok
GILD,cache,251,0.699067,0.699065,0.699102,0.0009,ok
NUE,cache,251,0.793848,0.793838,0.793859,0.0009,ok
TMK,cache,251,0.985389,0.985379,0.985401,0.0008,ok
HSIC,cache,251,0.392157,0.392143,0.392171,0.0008,ok
PKI,cache,251,0.990499,0.990483,0.990513,0.0008,ok
XYL,cache,251,0.881551,0.881539,0.881561,0.0007,ok
PXD,cache,251,0.777092,0.777088,0.7771,0.0007,ok
EOG,cache,251,0.726446,0.726436,0.726454,0.0007,ok
EQR,cache,251,0.589697,0.589692,0.589705,0.0006,ok
FFIV,cache,251,1.000001,1.0,1.000044,0.0006,ok
ALLE,cache,251,0.884037,0.884029,0.884045,0.0006,ok
WYNN,cache,251,0.878427,0.878426,0.878461,0.0006,ok
COST,cache,251,0.839079,0.83905,0.839109,0.0006,ok
EIX,cache,251,0.653708,0.653702,0.653714,0.0006,ok
PVH,cache,251,0.984904,0.984894,0.984914,0.0006,ok
ORLY,cache,251,0.066667,0.066667,0.066668,0.0005,ok
HON,cache,251,0.726354,0.726347,0.726359,0.0005,ok
PEP,cache,251,0.733206,0.733202,0.733214,0.0005,ok
CF,cache,251,0.748285,0.748277,0.748293,0.0005,ok
EQIX,cache,251,0.819534,0.819532,0.819553,0.0004,ok
ALXN,cache,251,1.0,1.0,1.000058,0.0004,ok
NFLX,cache,251,0.1,0.099999,0.100002,0.0004,ok
V,cache,251,0.930414,0.930407,0.930421,0.0004,ok
RF,cache,251,0.692686,0.692682,0.69269,0.0003,ok
MA,cache,251,0.940515,0.940509,0.94052,0.0003,ok
M,cache,251,0.637778,0.637774,0.63778,0.0003,ok
XRX,cache,251,1.371919,1.371912,1.371926,0.0003,ok
KEY,cache,251,0.657116,0.657113,0.657118,0.0002,ok
PGR,cache,251,0.736409,0.736408,0.736415,0.0002,ok
HST,cache,251,0.664848,0.664846,0.66485,0.0002,ok
NRG,cache,251,0.812336,0.812333,0.812341,0.0002,ok
PG,cache,251,0.755096,0.755092,0.755099,0.0002,ok
NAVI,cache,251,0.616502,0.6165,0.616505,0.0002,ok
SPG,cache,251,0.59353,0.593529,0.593532,0.0002,ok
GOOGL,cache,251,0.04959,0.04959,0.049591,0.0002,ok
F,cache,251,0.590876,0.590874,0.590879,0.0002,ok
CAH,cache,251,0.750494,0.75049,0.750496,0.0002,ok
CAG,cache,251,0.527037,0.527036,0.527038,0.0001,ok
GLW,cache,251,0.764876,0.764874,0.764878,0.0001,ok
BWA,cache,251,0.752577,0.752576,0.752578,0.0001,ok
C,cache,251,0.74052,0.740519,0.740521,0.0001,ok
FLS,cache,251,0.817525,0.817524,0.817526,0.0001,ok
DAL,cache,251,0.88174,0.881739,0.881742,0.0001,ok
EXC,cache,251,0.497148,0.497147,0.497148,0.0001,ok
TXT,cache,251,0.985735,0.985733,0.985736,0.0001,ok
TSN,cache,251,0.778622,0.778621,0.778624,0.0001,ok
FE,cache,251,0.64524,0.645239,0.645241,0.0001,ok
TER,cache,251,0.940125,0.940122,0.940128,0.0001,ok
UNM,cache,251,0.717423,0.717422,0.717425,0.0001,ok
XEL,cache,251,0.729064,0.729063,0.729065,0.0001,ok
USB,cache,251,0.689162,0.689161,0.689163,0.0001,ok
EMR,cache,251,0.767407,0.767406,0.767408,0.0001,ok
DVN,cache,251,0.69161,0.691609,0.691611,0.0001,ok
ZTS,cache,251,0.918605,0.918604,0.918606,0.0001,ok
GE,cache,251,4.228704,4.228695,4.228713,0.0001,ok
GIS,cache,251,0.687688,0.687688,0.687689,0.0001,ok
SYY,cache,251,0.767775,0.767773,0.767776,0.0001,ok
BBY,cache,251,0.684873,0.684872,0.684874,0.0001,ok
GM,cache,251,0.802635,0.802634,0.802637,0.0001,ok
GWW,cache,251,0.849727,0.849725,0.849729,0.0001,ok
HAL,cache,251,0.820045,0.820044,0.820046,0.0001,ok
HIG,cache,251,0.803436,0.803435,0.803438,0.0001,ok
HOG,cache,251,0.772718,0.772717,0.772719,0.0001,ok
FLR,cache,251,0.91191,0.911909,0.911911,0.0001,ok
FMC,cache,251,0.686773,0.686772,0.686774,0.0001,ok
PHM,cache,251,0.883496,0.883494,0.883499,0.0001,ok
KO,cache,251,0.725313,0.725312,0.725314,0.0001,ok
RHI,cache,251,0.754768,0.754768,0.754769,0.0001,ok
RIG,cache,251,1.0,0.999996,1.000003,0.0001,ok
KSS,cache,251,0.588796,0.588795,0.588797,0.0001,ok
KMI,cache,251,0.597995,0.597993,0.597997,0.0001,ok
KR,cache,251,0.813388,0.813387,0.81339,0.0001,ok
BIIB,cache,251,1.0,1.0,1.000018,0.0001,ok
BLK,cache,251,0.77522,0.775218,0.775221,0.0001,ok
CMS,cache,251,0.731947,0.731946,0.731948,0.0001,ok
RRC,cache,251,0.937929,0.937928,0.937931,0.0001,ok
