ticker,p_prof,p_ext,salto_pct,status
MON,98.3411,93.8297,-4.59,ok
MOS,28.35,23.2307,-18.06,ok
MPC,52.3,37.1994,-28.87,ok
MRK,53.25,36.4929,-31.47,ok
MRO,13.03,11.2895,-13.36,ok
MS,32.0403,23.4596,-26.78,ok
MSFT,56.31,47.8742,-14.98,ok
MSI,69.3,57.2855,-17.34,ok
MTB,122.64,87.853,-28.37,ok
MU,14.16,13.9759,-1.3,ok
MUR,21.95,15.7284,-28.34,ok
MXIM,38.41,,,dados_faltando
MYL,54.62,53.28,-2.45,ok
NAVI,11.33,7.0898,-37.42,ok
NBL,32.22,33.5,3.97,ok
NDAQ,59.02,15.9968,-72.9,ok
NEE,104.91,19.9099,-81.02,ok
NEM,17.77,14.4411,-18.73,ok
NFLX,116.71,10.996,-90.58,ok
NFX,31.85,32.27,1.32,ok
NI,19.82,14.0039,-29.34,ok
NKE,63.25,53.7913,-14.95,ok
NOC,190.08,159.0861,-16.31,ok
NOV,33.74,30.419,-9.84,ok
NRG,10.9274,9.2289,-15.54,ok
NSC,84.86,65.9388,-22.3,ok
NTAP,26.6796,19.9674,-25.16,ok
NTRS,72.83,53.5237,-26.51,ok
NUE,40.34,31.3971,-22.17,ok
NVDA,33.39,0.7895,-97.64,ok
NWL,43.75,28.5101,-34.83,ok
NWSA,13.52,11.6418,-13.89,ok
O,51.7329,30.5695,-40.91,ok
OI,17.52,16.7203,-4.56,ok
OKE,22.8168,13.2442,-41.95,ok
OMC,76.63,51.875,-32.3,ok
ORCL,36.7684,30.6714,-16.58,ok
ORLY,257.66,16.4073,-93.63,ok
OXY,67.02,50.1704,-25.14,ok
PAYX,53.2995,37.7192,-29.23,ok
PBCT,16.1562,11.9641,-25.95,ok
PBI,20.82,12.5541,-39.7,ok
PCAR,48.02,21.7304,-54.75,ok
PCG,53.92,49.4142,-8.36,ok
PDCO,45.2236,31.3068,-30.77,ok
PEG,38.99,27.1873,-30.27,ok
PEP,101.15,72.4195,-28.4,ok
PFE,32.75,19.3707,-40.85,ok
