date,SYMC
2015-04-22,9.3415305089
2015-04-23,9.4489044228
2015-04-24,9.4604087707
2015-04-27,9.521765293
2015-04-28,9.5677826846
2015-04-29,9.5466913801
2015-04-30,9.558195728
2015-05-01,9.6387261635
2015-05-04,9.7096696423
2015-05-05,9.5466913801
2015-05-06,9.563947902
2015-05-07,9.5792870325
2015-05-08,9.7902000777
2015-05-11,9.7537696426
2015-05-12,9.6406435548
2015-05-13,9.7096696423
2015-05-14,9.9320870353
2015-05-15,9.3875479006
2015-05-18,9.659817468
2015-05-19,9.6253044242
2015-05-20,9.5984609457
2015-05-21,9.611882685
2015-05-22,9.5351870322
2015-05-26,9.3338609436
2015-05-27,9.4872522492
2015-05-28,9.5140957277
2015-05-29,9.4431522489
2015-06-01,9.4699957273
2015-06-02,9.3415305089
2015-06-03,9.3261913784
2015-06-04,9.2188174645
2015-06-05,9.2034783339
2015-06-08,9.0424174631
2015-06-09,9.0462767962
2015-06-10,9.1755644552
2015-06-11,9.1852127879
2015-06-12,9.1659161224
2015-06-15,9.0501361293
2015-06-16,9.1311821245
2015-06-17,9.300992781
2015-06-18,9.4399287728
2015-06-19,9.2894147817
2015-06-22,9.1929314541
2015-06-23,9.3588827776
2015-06-24,9.353093778
2015-06-25,9.3222191131
2015-06-26,9.1659161224
2015-06-29,8.9768088003
2015-06-30,8.9729494672
2015-07-01,8.9575121348
2015-07-02,8.8880441389
2015-07-06,8.7510378137
2015-07-07,8.7954201444
2015-07-08,8.8069981437
2015-07-09,8.8726068065
2015-07-10,8.9999647989
2015-07-13,9.03855813
2015-07-14,9.0462767962
2015-07-15,8.9961054658
2015-07-16,9.0346987969
2015-07-17,9.0578547955
2015-07-20,8.9999647989
2015-07-21,8.891903472
2015-07-22,8.8610288072
2015-07-23,8.9613714679
2015-07-24,8.8957628051
2015-07-27,8.7684048127
2015-07-28,8.7877014782
2015-07-29,8.8147168099
2015-07-30,8.7954201444
2015-07-31,8.7761234789
2015-08-03,8.6757808182
2015-08-04,8.6526248195
2015-08-05,8.8378728085
2015-08-06,8.6256094878
2015-08-07,8.762615813
2015-08-10,8.8417321417
2015-08-11,8.2358168443
2015-08-12,8.3515968374
2015-08-13,8.1972235133
2015-08-14,8.336159505
2015-08-17,8.4365021657
2015-08-18,8.3554561705
2015-08-19,8.4365021657
2015-08-20,8.2396761774
2015-08-21,8.0930215194
2015-08-24,7.780415538
2015-08-25,7.7337563744
2015-08-26,8.0214878835
2015-08-27,8.134247529
2015-08-28,8.1031414199
2015-08-31,7.9670521926
2015-09-01,7.7493094289
2015-09-02,7.7531976925
2015-09-03,7.7570859562
2015-09-04,7.6404380471
2015-09-08,7.8115216471
2015-09-09,7.6365497834
2015-09-10,7.780415538
2015-09-11,7.7726390107
2015-09-14,7.7026502653
2015-09-15,7.7415329016
2015-09-16,7.7570859562
2015-09-17,7.8056892516
2015-09-18,7.8426277562
2015-09-21,7.8776221289
2015-09-22,7.7182033198
2015-09-23,7.7570859562
2015-09-24,7.7182033198
2015-09-25,7.7531976925
2015-09-28,7.7765272744
2015-09-29,7.523790138
2015-09-30,7.566561038
2015-10-01,7.5160136107
2015-10-02,7.6404380471
2015-10-05,7.9437226108
2015-10-06,8.1653536381
2015-10-07,8.1070296835
2015-10-08,8.1809066926
2015-10-09,8.1653536381
2015-10-12,8.1186944744
2015-10-13,8.0214878835
2015-10-14,8.0098230926
2015-10-15,8.0253761471
2015-10-16,8.0525939926
2015-10-19,8.0720353108
2015-10-20,8.0525939926
2015-10-21,7.9437226108
2015-10-22,8.0253761471
2015-10-23,8.0253761471
2015-10-26,7.9942700381
2015-10-27,7.9476108744
2015-10-28,8.0098230926
2015-10-29,7.9670521926
2015-10-30,8.0098230926
2015-11-02,8.048705729
2015-11-03,8.1070296835
2015-11-04,8.1264710017
2015-11-05,8.1186944744
2015-11-06,7.9981583017
2015-11-09,7.823186438
2015-11-10,7.7648624835
2015-11-11,7.7493094289
2015-11-12,7.7143150562
2015-11-13,7.6637676289
2015-11-16,7.7609742198
2015-11-17,7.7687507471
2015-11-18,7.7843038016
2015-11-19,7.8329070971
2015-11-20,7.8113612161
2015-11-23,7.7917740516
2015-11-24,7.7604345883
2015-11-25,7.7800217529
2015-11-27,7.6389941682
2015-11-30,7.6703336315
2015-12-01,7.733012558
2015-12-02,7.7016730947
2015-12-03,7.7212602593
2015-12-04,7.8505355452
2015-12-07,7.8897098743
2015-12-08,7.9132144717
2015-12-09,7.8387832465
2015-12-10,7.8113612161
2015-12-11,7.6977556618
2015-12-14,7.6546638998
2015-12-15,7.9053796059
2015-12-16,8.0189851602
2015-12-17,7.8975447401
2015-12-18,7.9171319046
2015-12-21,7.9954805627
2015-12-22,8.0405310412
2015-12-23,8.1717650435
2015-12-24,8.1717650435
2015-12-28,8.277535732
2015-12-29,8.3715541218
2015-12-30,8.3402146585
2015-12-31,8.2266091042
