date,AVY
2015-09-17,49.6911604568
2015-09-18,48.7598117868
2015-09-21,48.4054047708
2015-09-22,47.2185533683
2015-09-23,47.1938272974
2015-09-24,46.8311782577
2015-09-25,46.7570000451
2015-09-28,45.8833455404
2015-09-29,45.8174093514
2015-09-30,46.625127667
2015-10-01,47.9273674003
2015-10-02,49.0235565429
2015-10-05,48.9081682121
2015-10-06,48.3065004872
2015-10-07,48.4548569125
2015-10-08,48.7515697632
2015-10-09,49.1307028501
2015-10-12,49.0317985665
2015-10-13,48.8339899995
2015-10-14,48.3229845345
2015-10-15,48.9081682121
2015-10-16,49.3449954644
2015-10-19,49.6004981969
2015-10-20,50.086777591
2015-10-21,49.7900647404
2015-10-22,51.8011185058
2015-10-23,52.6747730104
2015-10-26,52.4027862306
2015-10-27,52.0483792146
2015-10-28,52.9632438374
2015-10-29,53.7215100112
2015-10-30,53.548427515
2015-11-02,54.1418532163
2015-11-03,53.6638158458
2015-11-04,53.12808431
2015-11-05,53.4330391842
2015-11-06,53.6473317986
2015-11-09,53.8616244129
2015-11-10,52.7571932467
2015-11-11,53.770962153
2015-11-12,51.8258445766
2015-11-13,51.4055013716
2015-11-16,52.2049776636
2015-11-17,52.4027862306
2015-11-18,53.8863504838
2015-11-19,54.3973559488
2015-11-20,54.3561458306
2015-11-23,54.1583372635
2015-11-24,54.4880182087
2015-11-25,54.5374703505
2015-11-27,54.5374703505
2015-11-30,54.6693427285
2015-12-01,54.851684381
2015-12-02,54.1306060279
2015-12-03,53.0448443697
2015-12-04,54.3378124512
2015-12-07,53.9482643754
2015-12-08,53.2354742791
2015-12-09,52.7298906062
2015-12-10,52.7961966617
2015-12-11,52.1662891348
2015-12-14,52.0668300516
2015-12-15,52.4646663844
2015-12-16,53.5089867579
2015-12-17,52.2740364749
2015-12-18,51.4369225247
2015-12-21,52.1331361071
2015-12-22,52.2740364749
2015-12-23,52.9951148281
2015-12-24,53.0945739113
2015-12-28,53.0365561128
2015-12-29,52.7050258354
2015-12-30,52.4978194121
2015-12-31,51.9342179407
