Date,BIIB
2015-04-14,423.57000732421875
2015-04-15,430.9599914550781
2015-04-16,428.6499938964844
2015-04-17,419.44000244140625
2015-04-20,422.9200134277344
2015-04-21,422.1099853515625
2015-04-22,423.57000732421875
2015-04-23,430.2799987792969
2015-04-24,401.7099914550781
2015-04-27,389.2699890136719
2015-04-28,374.67999267578125
2015-04-29,383.7799987792969
2015-04-30,373.92999267578125
2015-05-01,386.2200012207031
2015-05-04,386.2200012207031
2015-05-05,385.79998779296875
2015-05-06,383.55999755859375
2015-05-07,383.2900085449219
2015-05-08,398.42999267578125
2015-05-11,396.9100036621094
2015-05-12,395.29998779296875
2015-05-13,390.0400085449219
2015-05-14,394.3500061035156
2015-05-15,391.239990234375
2015-05-18,395.4200134277344
2015-05-19,395.1700134277344
2015-05-20,401.0
2015-05-21,401.1499938964844
2015-05-22,398.67999267578125
2015-05-26,392.8800048828125
2015-05-27,402.9200134277344
2015-05-28,400.1000061035156
2015-05-29,396.989990234375
2015-06-01,393.3500061035156
2015-06-02,387.6199951171875
2015-06-03,387.4800109863281
2015-06-04,384.3399963378906
2015-06-05,387.8599853515625
2015-06-08,386.3699951171875
2015-06-09,382.0
2015-06-10,388.5
2015-06-11,393.5400085449219
2015-06-12,388.7699890136719
2015-06-15,388.2799987792969
2015-06-16,388.2799987792969
2015-06-17,390.8599853515625
2015-06-18,401.54998779296875
2015-06-19,411.04998779296875
2015-06-22,417.57000732421875
2015-06-23,416.260009765625
2015-06-24,410.6499938964844
2015-06-25,411.2900085449219
2015-06-26,408.7300109863281
2015-06-29,396.2099914550781
2015-06-30,403.94000244140625
2015-07-01,405.4100036621094
2015-07-02,404.2799987792969
2015-07-06,404.6300048828125
2015-07-07,408.05999755859375
2015-07-08,397.67999267578125
2015-07-09,399.2900085449219
2015-07-10,388.2300109863281
2015-07-13,391.2300109863281
2015-07-14,400.20001220703125
2015-07-15,400.54998779296875
2015-07-16,403.7300109863281
2015-07-17,404.6600036621094
2015-07-20,408.92999267578125
2015-07-21,409.5
2015-07-22,391.739990234375
2015-07-23,385.04998779296875
2015-07-24,300.0299987792969
2015-07-27,309.42999267578125
2015-07-28,319.92999267578125
2015-07-29,313.3399963378906
2015-07-30,317.0
2015-07-31,318.7799987792969
2015-08-03,324.3800048828125
2015-08-04,330.3800048828125
2015-08-05,335.4100036621094
2015-08-06,316.6000061035156
2015-08-07,309.0
2015-08-10,314.94000244140625
2015-08-11,314.8500061035156
2015-08-12,316.7300109863281
2015-08-13,313.9100036621094
2015-08-14,312.6099853515625
2015-08-17,316.0799865722656
2015-08-18,312.1300048828125
2015-08-19,315.82000732421875
2015-08-20,309.8999938964844
2015-08-21,295.6400146484375
2015-08-24,278.3500061035156
2015-08-25,281.75
2015-08-26,298.25
2015-08-27,304.489990234375
2015-08-28,303.69000244140625
2015-08-31,297.29998779296875
2015-09-01,292.5
2015-09-02,304.2099914550781
2015-09-03,301.6300048828125
2015-09-04,302.260009765625
2015-09-08,308.739990234375
2015-09-09,303.4800109863281
2015-09-10,312.6199951171875
2015-09-11,315.3699951171875
2015-09-14,316.2300109863281
2015-09-15,319.8599853515625
2015-09-16,319.55999755859375
2015-09-17,325.29998779296875
2015-09-18,314.6700134277344
2015-09-21,297.1600036621094
2015-09-22,299.05999755859375
2015-09-23,298.3399963378906
2015-09-24,293.010009765625
2015-09-25,284.7900085449219
2015-09-28,272.2799987792969
2015-09-29,278.2300109863281
2015-09-30,291.80999755859375
2015-10-01,287.29998779296875
2015-10-02,290.3500061035156
2015-10-05,286.54998779296875
2015-10-06,275.989990234375
2015-10-07,279.239990234375
2015-10-08,279.8800048828125
2015-10-09,269.1600036621094
2015-10-12,264.6700134277344
2015-10-13,256.0400085449219
2015-10-14,256.7900085449219
2015-10-15,268.4100036621094
2015-10-16,272.3699951171875
2015-10-19,273.0199890136719
2015-10-20,265.80999755859375
2015-10-21,276.3399963378906
2015-10-22,276.8299865722656
2015-10-23,276.989990234375
2015-10-26,274.6000061035156
2015-10-27,290.6300048828125
2015-10-28,293.69000244140625
2015-10-29,293.7200012207031
2015-10-30,290.510009765625
2015-11-02,303.0799865722656
2015-11-03,299.1400146484375
2015-11-04,296.57000732421875
2015-11-05,293.0299987792969
2015-11-06,295.3500061035156
2015-11-09,293.3999938964844
2015-11-10,297.2200012207031
2015-11-11,293.8900146484375
2015-11-12,291.3299865722656
2015-11-13,284.8399963378906
2015-11-16,283.5299987792969
2015-11-17,279.489990234375
2015-11-18,291.9800109863281
2015-11-19,289.44000244140625
2015-11-20,290.1600036621094
2015-11-23,294.25
2015-11-24,289.1499938964844
2015-11-25,292.29998779296875
2015-11-27,293.2099914550781
2015-11-30,286.8599853515625
2015-12-01,290.0400085449219
2015-12-02,284.9599914550781
2015-12-03,275.44000244140625
2015-12-04,284.45001220703125
2015-12-07,281.6300048828125
2015-12-08,288.4599914550781
2015-12-09,284.6099853515625
2015-12-10,289.8800048828125
2015-12-11,283.4599914550781
2015-12-14,282.3900146484375
2015-12-15,289.1099853515625
2015-12-16,299.2900085449219
2015-12-17,297.1700134277344
2015-12-18,293.3699951171875
2015-12-21,297.55999755859375
2015-12-22,300.7699890136719
2015-12-23,300.19000244140625
2015-12-24,302.2900085449219
2015-12-28,303.8399963378906
2015-12-29,309.6700134277344
2015-12-30,308.3399963378906
2015-12-31,306.3500061035156
