date,AIV
2015-04-29,2.0653646534
2015-04-30,2.0335649367
2015-05-01,2.0626697622
2015-05-04,2.0831509357
2015-05-05,2.0173955892
2015-05-06,2.0373377844
2015-05-07,2.0696764794
2015-05-08,2.1074049569
2015-05-11,2.0535071319
2015-05-12,2.0540461102
2015-05-13,2.0254802629
2015-05-14,2.0591658252
2015-05-15,2.0836150237
2015-05-18,2.0542759856
2015-05-19,2.0586225097
2015-05-20,2.0624257184
2015-05-21,2.052646039
2015-05-22,2.0624257184
2015-05-26,2.0439529906
2015-05-27,2.0732920288
2015-05-28,2.077638553
2015-05-29,2.0607957718
2015-06-01,2.0977412272
2015-06-02,2.0678588736
2015-06-03,2.0227636853
2015-06-04,2.0211337388
2015-06-05,2.0146139525
2015-06-08,2.0113540594
2015-06-09,1.9994011179
2015-06-10,2.0070075352
2015-06-11,2.0374332044
2015-06-12,2.0200471077
2015-06-15,2.0059209042
2015-06-16,2.0417797286
2015-06-17,2.0586225097
2015-06-18,2.0901348099
2015-06-19,2.0727487133
2015-06-22,2.0673155581
2015-06-23,2.0309134181
2015-06-24,2.0200471077
2015-06-25,2.0173305301
2015-06-26,2.026566894
2015-06-29,2.0064642197
2015-06-30,2.0064642197
2015-07-01,2.05373267
2015-07-02,2.066228927
2015-07-06,2.0825283927
2015-07-07,2.1232770567
2015-07-08,2.0999144893
2015-07-09,2.0988278583
2015-07-10,2.1064342756
2015-07-13,2.1004578048
2015-07-14,2.1140406929
2015-07-15,2.1232770567
2015-07-16,2.1412064689
2015-07-17,2.143379731
2015-07-20,2.1564193035
2015-07-21,2.1634824053
2015-07-22,2.1727187692
2015-07-23,2.1618524587
2015-07-24,2.1738054002
2015-07-27,2.1727187692
2015-07-28,2.168372245
2015-07-29,2.1531594104
2015-07-30,2.1417497845
2015-07-31,2.1232770567
2015-08-03,2.1422931
2015-08-04,2.1390332069
2015-08-05,2.1194738481
2015-08-06,2.1265369499
2015-08-07,2.1368599448
2015-08-10,2.130883474
2015-08-11,2.169458876
2015-08-12,2.1884749193
2015-08-13,2.1682213995
2015-08-14,2.1808114253
2015-08-17,2.1977805905
2015-08-18,2.2081810466
2015-08-19,2.1884749193
2015-08-20,2.1589157283
2015-08-21,2.1074608402
2015-08-24,1.9930558232
2015-08-25,1.9454326821
2015-08-26,1.9952453929
2015-08-27,2.0341102551
2015-08-28,2.0483424582
2015-08-31,1.972254911
2015-09-01,1.9394113654
2015-09-02,1.9547383534
2015-09-03,1.9514539988
2015-09-04,1.9076626047
2015-09-08,1.9268213396
2015-09-09,1.9153260987
2015-09-10,1.9290109093
2015-09-11,1.9782762277
2015-09-14,1.9706127337
2015-09-15,1.9624018473
2015-09-16,1.9749918731
2015-09-17,1.9930558232
2015-09-18,1.9848449368
2015-09-21,2.001814102
2015-09-22,1.9875818989
2015-09-23,2.0029088869
2015-09-24,1.9804657974
2015-09-25,1.9985297474
2015-09-28,1.9640440246
2015-09-29,2.0061932414
2015-09-30,2.0264467612
2015-10-01,2.0549111673
2015-10-02,2.0740699022
2015-10-05,2.098155169
2015-10-06,2.0844703583
2015-10-07,2.116219119
2015-10-08,2.1348304615
2015-10-09,2.149610057
2015-10-12,2.1627474753
2015-10-13,2.1446835252
2015-10-14,2.1178612963
2015-10-15,2.1567261586
2015-10-16,2.1665792222
2015-10-19,2.2070862618
2015-10-20,2.2174867179
2015-10-21,2.2005175527
2015-10-22,2.2021597299
2015-10-23,2.1890223117
2015-10-26,2.1884749193
2015-10-27,2.2021597299
2015-10-28,2.179169248
2015-10-29,2.1873801344
2015-10-30,2.1452309176
2015-11-02,2.1901170966
2015-11-03,2.1715057541
2015-11-04,2.094323422
2015-11-05,2.0948708144
2015-11-06,2.0302785082
2015-11-09,1.9826553671
2015-11-10,1.9963401777
2015-11-11,2.0165936975
2015-11-12,2.0012667096
2015-11-13,1.9897714686
2015-11-16,2.0160463051
2015-11-17,2.0265321742
2015-11-18,2.0320510526
2015-11-19,2.0408812582
2015-11-20,2.0728907533
2015-11-23,2.0784096318
2015-11-24,2.0624048842
2015-11-25,2.0888955009
2015-11-27,2.1203531082
2015-11-30,2.1032445849
2015-12-01,2.1396691828
2015-12-02,2.1032445849
2015-12-03,2.0690275384
2015-12-04,2.1374616314
2015-12-07,2.1181455568
2015-12-08,2.1220087717
2015-12-09,2.1120747905
2015-12-10,2.0762020804
2015-12-11,2.0762020804
2015-12-14,2.0888955009
2015-12-15,2.1242163231
2015-12-16,2.1954098554
2015-12-17,2.1816126592
2015-12-18,2.1738862293
2015-12-21,2.1810607713
2015-12-22,2.1810607713
2015-12-23,2.1909947526
2015-12-24,2.1865796498
2015-12-28,2.1976174067
2015-12-29,2.2274193505
2015-12-30,2.2274193505
2015-12-31,2.2092070515
