Date,EXPD
2015-08-03,41.20295333862305
2015-08-04,41.728050231933594
2015-08-05,42.4807014465332
2015-08-06,41.96434783935547
2015-08-07,42.05186462402344
2015-08-10,42.63823318481445
2015-08-11,42.62946701049805
2015-08-12,42.445682525634766
2015-08-13,42.63823318481445
2015-08-14,43.128326416015625
2015-08-17,43.1020622253418
2015-08-18,43.460880279541016
2015-08-19,43.57465744018555
2015-08-20,43.32087326049805
2015-08-21,42.183135986328125
2015-08-24,40.90538787841797
2015-08-25,41.56177520751953
2015-08-26,42.83076858520508
2015-08-27,43.68842697143555
2015-08-28,43.460880279541016
2015-08-31,42.85702133178711
2015-09-01,42.025604248046875
2015-09-02,43.65342712402344
2015-09-03,42.9620361328125
2015-09-04,41.88558578491211
2015-09-08,42.760738372802734
2015-09-09,42.3056640625
2015-09-10,42.34942626953125
2015-09-11,42.90953063964844
2015-09-14,42.655738830566406
2015-09-15,43.14582061767578
2015-09-16,42.769500732421875
2015-09-17,42.61196517944336
2015-09-18,40.87913131713867
2015-09-21,41.4217414855957
2015-09-22,40.45906066894531
2015-09-23,40.2752685546875
2015-09-24,40.25776290893555
2015-09-25,40.97540283203125
2015-09-28,40.327781677246094
2015-09-29,40.72161102294922
2015-09-30,41.17669677734375
2015-10-01,41.798065185546875
2015-10-02,41.955589294433594
2015-10-05,42.66448211669922
2015-10-06,42.778255462646484
2015-10-07,43.11957931518555
2015-10-08,43.268348693847656
2015-10-09,43.73218536376953
2015-10-12,44.020992279052734
2015-10-13,43.55715560913086
2015-10-14,43.93347930908203
2015-10-15,44.39732360839844
2015-10-16,43.740936279296875
2015-10-19,43.749691009521484
2015-10-20,43.99473571777344
2015-10-21,43.915977478027344
2015-10-22,44.65986251831055
2015-10-23,45.05369186401367
2015-10-26,45.21122741699219
2015-10-27,44.16101837158203
2015-10-28,43.3033447265625
2015-10-29,43.854713439941406
2015-10-30,43.57465744018555
2015-11-02,44.45858383178711
2015-11-03,43.53965377807617
