Date,MO
2015-08-07,27.423006057739258
2015-08-10,27.531736373901367
2015-08-11,27.541608810424805
2015-08-12,27.546554565429688
2015-08-13,27.462539672851562
2015-08-14,27.556428909301758
2015-08-17,27.5119571685791
2015-08-18,27.279682159423828
2015-08-19,27.086944580078125
2015-08-20,27.047409057617188
2015-08-21,26.656993865966797
2015-08-24,25.767440795898438
2015-08-25,25.60930061340332
2015-08-26,26.296228408813477
2015-08-27,26.54332733154297
2015-08-28,26.77065658569336
2015-08-31,26.479084014892578
2015-09-01,25.713077545166016
2015-09-02,26.256694793701172
2015-09-03,26.484025955200195
2015-09-04,25.88604736328125
2015-09-08,26.434606552124023
2015-09-09,26.20232582092285
2015-09-10,26.325881958007812
2015-09-11,26.268442153930664
2015-09-14,26.19851303100586
2015-09-15,27.02766990661621
2015-09-16,27.652048110961914
2015-09-17,27.3173770904541
2015-09-18,26.997705459594727
2015-09-21,27.36733055114746
2015-09-22,27.0726261138916
2015-09-23,27.172531127929688
2015-09-24,27.27741813659668
2015-09-25,27.36733055114746
2015-09-28,27.287410736083984
2015-09-29,27.087617874145508
2015-09-30,27.172531127929688
2015-10-01,27.082611083984375
2015-10-02,27.40228843688965
2015-10-05,27.836856842041016
2015-10-06,27.67701530456543
2015-10-07,27.921770095825195
2015-10-08,28.156530380249023
2015-10-09,28.37630271911621
2015-10-12,28.700979232788086
2015-10-13,28.780902862548828
2015-10-14,28.745929718017578
2015-10-15,28.90576934814453
2015-10-16,29.330331802368164
2015-10-19,29.79987144470215
2015-10-20,29.8398380279541
2015-10-21,29.889780044555664
2015-10-22,30.66899299621582
2015-10-23,30.49417495727539
2015-10-26,30.66899299621582
2015-10-27,30.49916648864746
2015-10-28,30.688968658447266
2015-10-29,30.733922958374023
2015-10-30,30.204448699951172
2015-11-02,30.219451904296875
2015-11-03,28.895782470703125
2015-11-04,28.985698699951172
