date,APA
2015-05-13,47.706853848
2015-05-14,47.6535926076
2015-05-15,48.2546837486
2015-05-18,48.528598699
2015-05-19,47.3035901711
2015-05-20,46.8775002484
2015-05-21,47.3035901711
2015-05-22,47.5775051214
2015-05-26,46.725325276
2015-05-27,46.2383653643
2015-05-28,45.4927079995
2015-05-29,45.5307517426
2015-06-01,44.7927031265
2015-06-02,45.3481417758
2015-06-03,44.8535731154
2015-06-04,44.320960712
2015-06-05,45.1579230603
2015-06-08,44.2905257176
2015-06-09,44.5644406679
2015-06-10,44.8611818641
2015-06-11,44.2448732258
2015-06-12,44.2676994717
2015-06-15,44.1079157507
2015-06-16,44.9296606016
2015-06-17,43.8796532921
2015-06-18,43.5448683528
2015-06-19,43.019864698
2015-06-22,43.7731308114
2015-06-23,44.7774856292
2015-06-24,44.6709631486
2015-06-25,43.9785670241
2015-06-26,44.4959619303
2015-06-29,43.5296508556
2015-06-30,43.8492182976
2015-07-01,42.6698622615
2015-07-02,43.2024746649
2015-07-06,42.2285548415
2015-07-07,42.3807298139
2015-07-08,40.676370123
2015-07-09,40.957893822
2015-07-10,40.2807151948
2015-07-13,40.5241951506
2015-07-14,41.3839837447
2015-07-15,40.6915876203
2015-07-16,40.075278982
2015-07-17,38.5307030122
2015-07-20,37.1839545064
2015-07-21,36.3503364395
2015-07-22,36.1897311239
2015-07-23,36.2126747404
2015-07-24,34.4766077571
2015-07-27,34.0406790432
2015-07-28,35.5396619891
2015-07-29,35.7843938987
2015-07-30,35.5473098613
2015-07-31,35.0731417866
2015-08-03,34.6219173284
2015-08-04,34.6831003057
2015-08-05,33.987143938
2015-08-06,35.6390843274
2015-08-07,35.2643385909
2015-08-10,37.0539406794
2015-08-11,36.4727023943
2015-08-12,37.6351789646
2015-08-13,36.6333077099
2015-08-14,35.9449992143
2015-08-17,36.5950683491
2015-08-18,36.7633215369
2015-08-19,35.0349024257
2015-08-20,34.0789184041
2015-08-21,33.061751405
2015-08-24,30.9662344295
2015-08-25,29.750222754
2015-08-26,30.2320387009
2015-08-27,32.7252450294
2015-08-28,34.3083545692
2015-08-31,34.5989737118
2015-09-01,32.9852726833
2015-09-02,33.0541035328
2015-09-03,33.0541035328
2015-09-04,32.5034567364
2015-09-08,33.0693992772
2015-09-09,31.5780642034
2015-09-10,31.2339099556
2015-09-11,30.7444461365
2015-09-14,30.7750376252
2015-09-15,30.9203471965
2015-09-16,32.9164418337
2015-09-17,32.1134152555
2015-09-18,30.323813167
2015-09-21,30.0867291296
2015-09-22,29.5437302053
2015-09-23,28.5036195897
2015-09-24,28.9701397923
2015-09-25,29.2148717019
2015-09-28,27.6852972672
2015-09-29,28.3889015071
2015-09-30,29.9490674305
2015-10-01,30.3773482722
2015-10-02,32.5875833303
2015-10-05,33.635341818
2015-10-06,35.2719864631
2015-10-07,35.1266768918
2015-10-08,36.0597172969
2015-10-09,35.5396619891
2015-10-12,34.3771854188
2015-10-13,34.1018620206
2015-10-14,34.9431279596
2015-10-15,35.75380241
2015-10-16,35.57790135
2015-10-19,34.6678045614
2015-10-20,35.3102258239
2015-10-21,34.6643070589
2015-10-22,35.3486733695
2015-10-23,35.7485278431
2015-10-26,34.8949923321
2015-10-27,33.9414932027
2015-10-28,35.4101894423
2015-10-29,35.8177334251
2015-10-30,36.240656426
2015-11-02,36.8635066638
2015-11-03,38.3475819216
2015-11-04,37.9784854844
2015-11-05,37.8862113751
2015-11-06,36.6558899178
2015-11-09,41.4772121286
2015-11-10,40.9927730548
2015-11-11,37.9861749935
2015-11-12,37.6016995381
2015-11-13,37.6555261019
2015-11-16,38.8243314863
2015-11-17,38.2245497759
2015-11-18,38.5244406311
2015-11-19,38.093828121
2015-11-20,37.7554897203
2015-11-23,37.5632519926
2015-11-24,39.1472908688
2015-11-25,38.7166783588
2015-11-27,38.0015540117
2015-11-30,37.8170057932
2015-12-01,37.7939372658
2015-12-02,36.3867570991
2015-12-03,35.1871936782
2015-12-04,35.2102622055
2015-12-07,34.0030092756
2015-12-08,34.5028273676
2015-12-09,34.5643434405
2015-12-10,35.5178425699
2015-12-11,33.0033730915
2015-12-14,33.4416751107
2015-12-15,34.8104077319
2015-12-16,34.4490008038
2015-12-17,33.0264416189
2015-12-18,32.8265143821
2015-12-21,32.7034822363
2015-12-22,32.895719964
2015-12-23,35.1487461327
2015-12-24,35.2179517146
2015-12-28,34.5412749131
2015-12-29,34.9488188959
2015-12-30,34.456690313
2015-12-31,34.1952470033
