date,HBI
2015-10-29,24.4472457009
2015-10-30,24.6712489
2015-11-02,25.266016015
2015-11-03,25.5286404554
2015-11-04,25.2737402633
2015-11-05,25.3664312422
2015-11-06,25.3355342493
2015-11-09,24.6635246518
2015-11-10,24.7098701413
2015-11-11,24.3159334807
2015-11-12,24.2464152465
2015-11-13,23.1727447402
2015-11-16,23.7850012066
2015-11-17,23.4207473595
2015-11-18,24.0330038258
2015-11-19,23.8315016977
2015-11-20,24.3120067726
2015-11-23,24.498008737
2015-11-24,24.3972576729
2015-11-25,24.4360080822
2015-11-27,24.2190057903
2015-11-30,23.7695010428
2015-12-01,24.1492550536
2015-12-02,23.9090025162
2015-12-03,23.3819969502
2015-12-04,24.1415049718
2015-12-07,23.9090025162
2015-12-08,23.9865033347
2015-12-09,23.7307506336
2015-12-10,23.5834990784
2015-12-11,22.8627414661
2015-12-14,22.7697404838
2015-12-15,22.5837385194
2015-12-16,22.8627414661
2015-12-17,22.7464902383
2015-12-18,22.4674872916
2015-12-21,22.1497339356
2015-12-22,22.5449881101
2015-12-23,22.5992386831
2015-12-24,22.444237046
2015-12-28,22.3822363912
2015-12-29,22.7697404838
2015-12-30,22.5372380282
2015-12-31,22.8084908931
