Date,PEP
2015-09-14,66.40393829345703
2015-09-15,67.03012084960938
2015-09-16,67.76551055908203
2015-09-17,67.98397064208984
2015-09-18,67.75094604492188
2015-09-21,68.23149871826172
2015-09-22,67.25585174560547
2015-09-23,67.27767181396484
2015-09-24,67.32864379882812
2015-09-25,68.05677032470703
2015-09-28,67.32864379882812
2015-09-29,67.7436752319336
2015-09-30,68.6611099243164
2015-10-01,68.33345794677734
2015-10-02,68.55915069580078
2015-10-05,69.76056671142578
2015-10-06,70.67798614501953
2015-10-07,71.73370361328125
2015-10-08,72.0613784790039
2015-10-09,72.4254379272461
2015-10-12,72.1851806640625
2015-10-13,71.2968521118164
2015-10-14,70.98377990722656
2015-10-15,71.55899810791016
2015-10-16,72.59290313720703
2015-10-19,72.9424057006836
2015-10-20,73.00794219970703
2015-10-21,72.9933853149414
2015-10-22,75.05394744873047
2015-10-23,74.58065795898438
2015-10-26,74.66073608398438
2015-10-27,74.9520034790039
2015-10-28,74.80638122558594
2015-10-29,74.85006713867188
2015-10-30,74.40591430664062
2015-11-02,73.8307113647461
2015-11-03,73.481201171875
2015-11-04,73.26275634765625
