Date,VRTX
2015-08-10,139.6300048828125
2015-08-11,135.8699951171875
2015-08-12,137.63999938964844
2015-08-13,137.3699951171875
2015-08-14,136.8800048828125
2015-08-17,139.61000061035156
2015-08-18,139.75999450683594
2015-08-19,141.47999572753906
2015-08-20,132.91000366210938
2015-08-21,125.47000122070312
2015-08-24,119.2699966430664
2015-08-25,121.16999816894531
2015-08-26,130.11000061035156
2015-08-27,133.75
2015-08-28,134.0500030517578
2015-08-31,127.5199966430664
2015-09-01,124.04000091552734
2015-09-02,129.0
2015-09-03,126.52999877929688
2015-09-04,126.98999786376953
2015-09-08,133.11000061035156
2015-09-09,129.9499969482422
2015-09-10,132.0
2015-09-11,134.05999755859375
2015-09-14,134.85000610351562
2015-09-15,135.4499969482422
2015-09-16,133.66000366210938
2015-09-17,135.19000244140625
2015-09-18,124.16000366210938
2015-09-21,118.19000244140625
2015-09-22,114.41000366210938
2015-09-23,111.86000061035156
2015-09-24,111.11000061035156
2015-09-25,103.27999877929688
2015-09-28,98.5
2015-09-29,99.83000183105469
2015-09-30,104.13999938964844
2015-10-01,107.2300033569336
2015-10-02,115.18000030517578
2015-10-05,114.5199966430664
2015-10-06,109.45999908447266
2015-10-07,109.4000015258789
2015-10-08,109.02999877929688
2015-10-09,110.0
2015-10-12,113.25
2015-10-13,109.4000015258789
2015-10-14,113.30000305175781
2015-10-15,115.79000091552734
2015-10-16,114.31999969482422
2015-10-19,115.87999725341797
2015-10-20,110.25
2015-10-21,109.62000274658203
2015-10-22,109.48999786376953
2015-10-23,114.37000274658203
2015-10-26,114.7699966430664
2015-10-27,121.01000213623047
2015-10-28,120.0999984741211
2015-10-29,126.16999816894531
2015-10-30,124.73999786376953
2015-11-02,126.94000244140625
2015-11-03,128.36000061035156
2015-11-04,124.9000015258789
2015-11-05,121.91000366210938
2015-11-06,117.95999908447266
2015-11-09,118.8499984741211
2015-11-10,118.9000015258789
2015-11-11,118.19999694824219
2015-11-12,117.30000305175781
2015-11-13,123.05000305175781
2015-11-16,125.27999877929688
2015-11-17,128.25999450683594
2015-11-18,133.25999450683594
2015-11-19,130.0800018310547
2015-11-20,130.5500030517578
2015-11-23,132.2899932861328
2015-11-24,133.1300048828125
2015-11-25,131.97000122070312
2015-11-27,133.05999755859375
2015-11-30,129.36000061035156
2015-12-01,130.36000061035156
2015-12-02,130.41000366210938
2015-12-03,122.05999755859375
2015-12-04,125.16999816894531
2015-12-07,121.79000091552734
2015-12-08,123.29000091552734
2015-12-09,120.62999725341797
2015-12-10,121.87000274658203
2015-12-11,117.63999938964844
2015-12-14,115.69999694824219
2015-12-15,117.27999877929688
2015-12-16,118.52999877929688
2015-12-17,117.94000244140625
2015-12-18,116.51000213623047
2015-12-21,120.55999755859375
2015-12-22,122.73999786376953
2015-12-23,123.80000305175781
2015-12-24,124.83999633789062
2015-12-28,123.94999694824219
2015-12-29,127.87000274658203
2015-12-30,126.4000015258789
2015-12-31,125.83000183105469
