date,AVB
2015-06-15,112.9123787001
2015-06-16,114.1264157038
2015-06-17,115.5901974626
2015-06-18,116.7487356318
2015-06-19,115.0629585352
2015-06-22,114.4039098761
2015-06-23,112.8707545742
2015-06-24,112.6071351106
2015-06-25,112.0382720574
2015-06-26,113.1968102267
2015-06-29,111.2113918655
2015-06-30,111.7636737336
2015-07-01,113.9168739281
2015-07-02,114.6369376295
2015-07-06,115.3150558726
2015-07-07,117.0488014838
2015-07-08,116.5035105254
2015-07-09,116.5244832546
2015-07-10,116.9579196574
2015-07-13,116.9998651157
2015-07-14,117.5801106227
2015-07-15,117.8807197408
2015-07-16,118.7336107269
2015-07-17,118.2931834144
2015-07-20,118.4260106991
2015-07-21,117.873728831
2015-07-22,118.8664380116
2015-07-23,117.8457651921
2015-07-24,118.3351288727
2015-07-27,117.873728831
2015-07-28,118.7685652755
2015-07-29,119.2789016852
2015-07-30,119.7053471783
2015-07-31,120.4813381575
2015-08-03,121.6208564423
2015-08-04,120.6980563589
2015-08-05,120.5093017964
2015-08-06,120.7819472756
2015-08-07,121.5369655256
2015-08-10,121.4740473381
2015-08-11,122.4947201576
2015-08-12,122.8302838243
2015-08-13,123.0959383937
2015-08-14,123.8229930049
2015-08-17,124.8506567341
2015-08-18,125.6266477133
2015-08-19,124.5360657966
2015-08-20,124.0187384771
2015-08-21,121.250338227
2015-08-24,115.7345104559
2015-08-25,113.5883011711
2015-08-26,116.3916559699
2015-08-27,117.8947015602
2015-08-28,117.9436379283
2015-08-31,115.3919558795
2015-09-01,113.1269011295
2015-09-02,114.0427103031
2015-09-03,114.0427103031
2015-09-04,112.2250737752
2015-09-08,113.7910375531
2015-09-09,112.6445283586
2015-09-10,113.1548647683
2015-09-11,115.8883104698
2015-09-14,115.2451467754
2015-09-15,116.7761560046
2015-09-16,117.8527561019
2015-09-17,118.7406016366
2015-09-18,119.4257107894
2015-09-21,120.4673563381
2015-09-22,119.208992588
2015-09-23,119.8311835533
2015-09-24,118.3840652408
2015-09-25,119.2998744144
2015-09-28,117.7898379144
2015-09-29,121.712879036
2015-09-30,123.1285545575
2015-10-01,123.4314105148
2015-10-02,123.8187844137
2015-10-05,124.6921364767
2015-10-06,123.6567916923
2015-10-07,124.5090142699
2015-10-08,125.5302727307
2015-10-09,126.0303372183
2015-10-12,126.9107324431
2015-10-13,126.5867470004
2015-10-14,125.1781146407
2015-10-15,127.3192358274
2015-10-16,129.185673704
2015-10-19,130.4816154748
2015-10-20,130.0801552523
2015-10-21,129.7561698096
2015-10-22,130.1505868703
2015-10-23,128.7842134815
2015-10-26,128.1855447286
2015-10-27,126.0092077329
2015-10-28,124.7062228003
2015-10-29,125.3330642003
2015-10-30,123.1355977192
2015-11-02,126.8825597959
2015-11-03,125.1640283172
2015-11-04,125.4387116273
2015-11-05,124.959776625
2015-11-06,121.8114833012
2015-11-09,119.8816569684
2015-11-10,121.4874978585
2015-11-11,122.5087563192
2015-11-12,122.4242383776
2015-11-13,121.5931452854
2015-11-16,122.8468280855
2015-11-17,123.3680220586
2015-11-18,124.2413741216
2015-11-19,124.9456903014
2015-11-20,126.7909986926
2015-11-23,127.8333866387
2015-11-24,126.3895384701
2015-11-25,127.509401196
2015-11-27,128.4320553916
2015-11-30,128.0376383308
2015-12-01,130.2210184883
2015-12-02,127.3826242836
2015-12-03,124.1075540474
2015-12-04,128.2630195084
2015-12-07,126.0937256745
2015-12-08,126.3261500139
2015-12-09,124.7484817711
2015-12-10,122.3960657304
2015-12-11,123.1989861754
2015-12-14,122.7763964675
2015-12-15,124.5724027261
2015-12-16,127.4248832544
2015-12-17,126.0585098655
2015-12-18,125.5161864071
2015-12-21,126.74169656
2015-12-22,127.3544516364
2015-12-23,128.939163041
2015-12-24,128.6996955399
2015-12-28,129.5237454703
2015-12-29,131.55921923
2015-12-30,131.403225761
2015-12-31,130.5594429062
