date,AMZN
2015-07-27,26.5705
2015-07-28,26.3015
2015-07-29,26.45
2015-07-30,26.838
2015-07-31,26.8075
2015-08-03,26.7515
2015-08-04,26.595
2015-08-05,26.8505
2015-08-06,26.473
2015-08-07,26.131
2015-08-10,26.2
2015-08-11,26.373
2015-08-12,26.2955
2015-08-13,26.483
2015-08-14,26.576
2015-08-17,26.761
2015-08-18,26.751
2015-08-19,26.646
2015-08-20,25.789
2015-08-21,24.7235
2015-08-24,23.1685
2015-08-25,23.3185
2015-08-26,25.0385
2015-08-27,25.9185
2015-08-28,25.9005
2015-08-31,25.6445
2015-09-01,24.827
2015-09-02,25.5275
2015-09-03,25.236
2015-09-04,24.95
2015-09-08,25.877
2015-09-09,25.8445
2015-09-10,26.112
2015-09-11,26.472
2015-09-14,26.069
2015-09-15,26.1185
2015-09-16,26.3695
2015-09-17,26.9435
2015-09-18,27.013
2015-09-21,27.4195
2015-09-22,26.92
2015-09-23,26.8035
2015-09-24,26.6875
2015-09-25,26.2125
2015-09-28,25.203
2015-09-29,24.8035
2015-09-30,25.5835
2015-10-01,26.036
2015-10-02,26.627
2015-10-05,27.184
2015-10-06,26.874
2015-10-07,27.097
2015-10-08,26.658
2015-10-09,26.99
2015-10-12,27.5095
2015-10-13,27.445
2015-10-14,27.2415
2015-10-15,28.122
2015-10-16,28.538
2015-10-19,28.6575
2015-10-20,28.044
2015-10-21,27.7885
2015-10-22,28.1955
2015-10-23,29.9515
2015-10-26,30.4305
2015-10-27,30.5505
2015-10-28,30.855
2015-10-29,31.3275
2015-10-30,31.295
2015-11-02,31.4175
2015-11-03,31.2655
2015-11-04,32.0475
2015-11-05,32.7825
2015-11-06,32.9685
2015-11-09,32.7745
2015-11-10,32.984
2015-11-11,33.6625
2015-11-12,33.28
2015-11-13,32.1175
2015-11-16,32.3905
2015-11-17,32.165
2015-11-18,33.177
2015-11-19,33.0635
2015-11-20,33.4225
2015-11-23,33.9495
2015-11-24,33.5575
2015-11-25,33.767
2015-11-27,33.663
2015-11-30,33.24
2015-12-01,33.953
2015-12-02,33.8005
2015-12-03,33.3125
2015-12-04,33.632
2015-12-07,33.4915
2015-12-08,33.8665
2015-12-09,33.2395
2015-12-10,33.116
2015-12-11,32.0075
2015-12-14,32.8955
2015-12-15,32.932
2015-12-16,33.7885
2015-12-17,33.5325
2015-12-18,33.207
2015-12-21,33.2255
2015-12-22,33.1575
2015-12-23,33.185
2015-12-24,33.1395
2015-12-28,33.76
2015-12-29,34.6985
2015-12-30,34.4535
2015-12-31,33.7945
