Date,TRIP
2015-07-22,81.59103393554688
2015-07-23,83.03166198730469
2015-07-24,71.90682220458984
2015-07-27,71.67560577392578
2015-07-28,70.55512237548828
2015-07-29,70.8841552734375
2015-07-30,69.97709655761719
2015-07-31,70.59069061279297
2015-08-03,70.11937713623047
2015-08-04,69.71920776367188
2015-08-05,69.32791900634766
2015-08-06,67.69165802001953
2015-08-07,66.09095764160156
2015-08-10,66.9713363647461
2015-08-11,66.40220642089844
2015-08-12,65.36175537109375
2015-08-13,63.76105499267578
2015-08-14,64.46358489990234
2015-08-17,65.36175537109375
2015-08-18,64.2590560913086
2015-08-19,63.805519104003906
2015-08-20,62.58721160888672
2015-08-21,61.81354522705078
2015-08-24,58.932289123535156
2015-08-25,59.17239761352539
2015-08-26,60.808658599853516
2015-08-27,62.551639556884766
2015-08-28,62.78285217285156
2015-08-31,62.160362243652344
2015-09-01,60.63970184326172
2015-09-02,62.009185791015625
2015-09-03,61.77797317504883
2015-09-04,59.76820755004883
2015-09-08,60.11502456665039
2015-09-09,59.510318756103516
2015-09-10,60.01720428466797
2015-09-11,59.510318756103516
2015-09-14,60.28398895263672
2015-09-15,62.302642822265625
2015-09-16,62.160362243652344
2015-09-17,62.151466369628906
2015-09-18,61.03987503051758
2015-09-21,60.808658599853516
2015-09-22,59.759315490722656
2015-09-23,58.41651153564453
2015-09-24,58.21197509765625
2015-09-25,57.7050895690918
2015-09-28,55.91764831542969
2015-09-29,56.39785385131836
2015-09-30,56.042144775390625
2015-10-01,57.029239654541016
2015-10-02,59.012325286865234
2015-10-05,59.79488754272461
2015-10-06,59.43917465209961
2015-10-07,60.23063659667969
2015-10-08,61.87579345703125
2015-10-09,60.45295333862305
2015-10-12,60.00831604003906
2015-10-13,59.305789947509766
2015-10-14,74.45014953613281
2015-10-15,74.13001251220703
2015-10-16,73.98772430419922
2015-10-19,74.82364654541016
2015-10-20,74.92146301269531
2015-10-21,73.07176971435547
2015-10-22,74.307861328125
2015-10-23,73.720947265625
2015-10-26,74.38790130615234
2015-10-27,72.70716857910156
2015-10-28,72.29810333251953
2015-10-29,71.96907043457031
2015-10-30,74.50350189208984
2015-11-02,73.95215606689453
2015-11-03,73.14291381835938
2015-11-04,73.4719467163086
