date,ABC
2015-09-15,101.63490925831
2015-09-16,102.33776529998
2015-09-17,102.80954538275
2015-09-18,102.15483016585
2015-09-21,101.36532063959
2015-09-22,99.430059483763
2015-09-23,98.996792060817
2015-09-24,98.178398039696
2015-09-25,96.127598904415
2015-09-28,92.613318696071
2015-09-29,91.515707891273
2015-09-30,91.457938901546
2015-10-01,90.995786983737
2015-10-02,91.380913581911
2015-10-05,91.457938901546
2015-10-06,89.57081857049
2015-10-07,89.484165085901
2015-10-08,90.061854983163
2015-10-09,89.387883436357
2015-10-12,90.235161952342
2015-10-13,90.649173045379
2015-10-14,89.57081857049
2015-10-15,90.572147725744
2015-10-16,91.525336056227
2015-10-19,91.265375602459
2015-10-20,89.715241044806
2015-10-21,89.26271729195
2015-10-22,89.34937077654
2015-10-23,89.667100220034
2015-10-26,90.148508467752
2015-10-27,93.91312096491
2015-10-28,93.874608305093
2015-10-29,93.219893088196
2015-10-30,92.92141997461
2015-11-02,94.192337748587
2015-11-03,94.038287109317
2015-11-04,93.84572381023
2015-11-05,94.250106738313
2015-11-06,93.980518119591
2015-11-09,93.778326655549
2015-11-10,95.193666903841
2015-11-11,94.587092511716
2015-11-12,93.633904181234
2015-11-13,93.324721957129
2015-11-16,94.010720016861
2015-11-17,95.817503638974
2015-11-18,96.918965312347
2015-11-19,95.83682752798
2015-11-20,95.749870027451
2015-11-23,95.39237808083
2015-11-24,95.170153357254
2015-11-25,95.585616970895
