Date,L
2015-07-08,36.319190979003906
2015-07-09,36.499794006347656
2015-07-10,36.90850830078125
2015-07-13,37.23167037963867
2015-07-14,37.02256774902344
2015-07-15,36.9560432434082
2015-07-16,37.04158401489258
2015-07-17,36.66138458251953
2015-07-20,36.518798828125
2015-07-21,36.452274322509766
2015-07-22,36.22413635253906
2015-07-23,35.91996765136719
2015-07-24,35.948486328125
2015-07-27,35.89146423339844
2015-07-28,36.26217269897461
2015-07-29,36.40474319458008
2015-07-30,36.41424560546875
2015-07-31,36.22413635253906
2015-08-03,35.254615783691406
2015-08-04,35.65382766723633
2015-08-05,35.83443832397461
2015-08-06,36.09107208251953
2015-08-07,36.062557220458984
2015-08-10,37.11762619018555
2015-08-11,37.098602294921875
2015-08-12,36.880001068115234
2015-08-13,36.88950729370117
2015-08-14,37.060585021972656
2015-08-17,36.89900588989258
2015-08-18,36.85149002075195
2015-08-19,36.54732894897461
2015-08-20,35.91996765136719
2015-08-21,35.245121002197266
2015-08-24,34.32311248779297
2015-08-25,33.6102294921875
2015-08-26,34.01893997192383
2015-08-27,34.774044036865234
2015-08-28,34.783565521240234
2015-08-31,34.70737075805664
2015-09-01,34.01227951049805
2015-09-02,34.336029052734375
2015-09-03,34.73594665527344
2015-09-04,34.364593505859375
2015-09-08,34.859737396240234
2015-09-09,34.364593505859375
2015-09-10,34.50743103027344
2015-09-11,34.57407760620117
2015-09-14,34.37410354614258
2015-09-15,34.63121032714844
2015-09-16,34.81211853027344
2015-09-17,34.53599548339844
2015-09-18,34.09798049926758
2015-09-21,34.49789810180664
2015-09-22,34.16463851928711
2015-09-23,33.98371505737305
2015-09-24,34.01227951049805
2015-09-25,34.250328063964844
2015-09-28,33.70759201049805
2015-09-29,33.94563293457031
2015-09-30,34.412208557128906
2015-10-01,33.679012298583984
2015-10-02,33.850406646728516
2015-10-05,34.88829803466797
2015-10-06,34.9835205078125
2015-10-07,34.80259704589844
2015-10-08,35.02159881591797
2015-10-09,34.55501174926758
2015-10-12,34.59312057495117
2015-10-13,34.30746078491211
2015-10-14,33.93610382080078
2015-10-15,34.288414001464844
2015-10-16,34.450286865234375
2015-10-19,34.383636474609375
2015-10-20,34.68833923339844
2015-10-21,34.51694107055664
2015-10-22,34.84067916870117
2015-10-23,34.945438385009766
2015-10-26,34.86924743652344
2015-10-27,34.39317321777344
2015-10-28,35.0882453918457
2015-10-29,35.040645599365234
2015-10-30,34.716896057128906
2015-11-02,35.783355712890625
2015-11-03,35.48818588256836
2015-11-04,35.2501220703125
2015-11-05,35.459625244140625
2015-11-06,35.99284362792969
2015-11-09,35.83096694946289
2015-11-10,36.02141189575195
2015-11-11,35.73575210571289
2015-11-12,35.25965881347656
2015-11-13,35.192996978759766
2015-11-16,35.773841857910156
2015-11-17,35.697662353515625
2015-11-18,36.15470504760742
2015-11-19,36.049964904785156
2015-11-20,36.09758377075195
2015-11-23,35.95475387573242
2015-11-24,36.049964904785156
2015-11-25,36.02421188354492
2015-11-27,35.976531982421875
2015-11-30,36.138675689697266
2015-12-01,36.53926086425781
2015-12-02,36.48203659057617
2015-12-03,35.766700744628906
2015-12-04,36.63462448120117
2015-12-07,36.55833435058594
2015-12-08,36.262657165527344
2015-12-09,35.48056411743164
2015-12-10,36.05282974243164
2015-12-11,35.2135124206543
2015-12-14,35.070430755615234
2015-12-15,35.68085479736328
2015-12-16,36.01469039916992
2015-12-17,35.25166320800781
2015-12-18,34.984596252441406
2015-12-21,35.32795715332031
2015-12-22,36.05282974243164
2015-12-23,36.691864013671875
2015-12-24,36.691864013671875
2015-12-28,36.56787872314453
2015-12-29,37.00660705566406
2015-12-30,36.730018615722656
2015-12-31,36.625091552734375
