date,GAS
2015-12-15,62.0954899794
2015-12-16,62.2332394422
2015-12-17,62.0856507321
2015-12-18,61.8691872905
2015-12-21,61.8888657852
2015-12-22,61.7904733118
2015-12-23,62.1742039581
2015-12-24,62.2430786895
2015-12-28,62.4792206258
2015-12-29,62.6956840673
2015-12-30,62.7940765407
2015-12-31,62.7842372934
