date,IPG
2015-10-15,14.487660347
2015-10-16,14.4535556852
2015-10-19,14.5967952649
2015-10-20,14.5899743325
2015-10-21,14.8150651006
2015-10-22,15.1288279895
2015-10-23,15.2788885016
2015-10-26,15.4289490136
2015-10-27,15.3334559605
2015-10-28,15.4903374049
2015-10-29,15.5244420668
2015-10-30,15.640397917
2015-11-02,16.0087282648
2015-11-03,15.8791305499
2015-11-04,15.6881444436
2015-11-05,15.5244420668
2015-11-06,15.565367661
2015-11-09,15.4630536755
2015-11-10,15.7086072407
2015-11-11,15.7154281731
2015-11-12,15.5994723228
2015-11-13,15.3129931634
2015-11-16,15.5585467286
2015-11-17,15.4630536755
2015-11-18,15.769995632
2015-11-19,15.8927724146
2015-11-20,15.9268770764
2015-11-23,15.9268770764
2015-11-24,15.6676816465
2015-11-25,15.7972793615
2015-11-27,15.8723096175
2015-11-30,15.7694652787
2015-12-01,16.0025791133
2015-12-02,15.803746725
2015-12-03,15.7351838325
2015-12-04,16.0711420058
2015-12-07,16.1259923198
2015-12-08,16.1465611876
2015-12-09,15.8723096175
2015-12-10,15.968297667
2015-12-11,15.3512316344
2015-12-14,15.4060819484
2015-12-15,15.3512316344
2015-12-16,15.6529083614
2015-12-17,15.4197945269
2015-12-18,15.5500640227
2015-12-21,15.721471254
2015-12-22,15.968297667
2015-12-23,16.0848545843
2015-12-24,16.1465611876
2015-12-28,16.1122797413
2015-12-29,16.2151240801
2015-12-30,16.1465611876
2015-12-31,15.9614413778
