date,AXP
2015-05-01,66.4355154627
2015-05-04,66.9486631104
2015-05-05,66.5723548354
2015-05-06,66.5809072962
2015-05-07,67.0769500224
2015-05-08,67.5473353661
2015-05-11,68.1631125435
2015-05-12,67.6328599741
2015-05-13,68.2999519162
2015-05-14,69.061120927
2015-05-15,68.6078405048
2015-05-18,68.5650782009
2015-05-19,69.5828210356
2015-05-20,69.2407226037
2015-05-21,69.0696733878
2015-05-22,69.4887439668
2015-05-26,68.5821831225
2015-05-27,68.5137634361
2015-05-28,68.4966585145
2015-05-29,68.180217465
2015-06-01,67.9664059451
2015-06-02,68.4111339065
2015-06-03,68.9328340151
2015-06-04,67.8723288764
2015-06-05,67.8979862588
2015-06-08,67.4019435326
2015-06-09,67.7098321213
2015-06-10,68.5821831225
2015-06-11,68.6762601912
2015-06-12,68.0177207099
2015-06-15,67.7782518076
2015-06-16,67.8723288764
2015-06-17,68.6933651128
2015-06-18,69.0782258486
2015-06-19,68.5821831225
2015-06-22,69.4887439668
2015-06-23,69.5828210356
2015-06-24,69.0525684662
2015-06-25,68.3170568378
2015-06-26,68.3170568378
2015-06-29,66.5381449922
2015-06-30,66.7177466689
2015-07-01,67.3014840304
2015-07-02,67.1383809441
2015-07-06,66.6061498204
2015-07-07,66.5718123286
2015-07-08,65.1811439086
2015-07-09,65.5331032
2015-07-10,66.3657873775
2015-07-13,67.413080879
2015-07-14,67.7907932893
2015-07-15,67.4216652519
2015-07-16,67.7478714245
2015-07-17,68.0054026134
2015-07-20,68.0740775971
2015-07-21,67.7736245434
2015-07-22,67.8079620353
2015-07-23,66.1082561886
2015-07-24,65.1553907897
2015-07-27,64.3141222393
2015-07-28,64.4772253256
2015-07-29,64.9837033304
2015-07-30,65.3442469949
2015-07-31,65.2927407571
2015-08-03,65.2240657734
2015-08-04,65.0008720763
2015-08-05,64.8892752278
2015-08-06,64.382797223
2015-08-07,68.4346212616
2015-08-10,69.7566146979
2015-08-11,69.8252896816
2015-08-12,69.5334210008
2015-08-13,69.3273960497
2015-08-14,69.4561616442
2015-08-17,69.5334210008
2015-08-18,69.7394459519
2015-08-19,69.490499136
2015-08-20,67.6105214571
2015-08-21,66.1254249345
2015-08-24,64.0823441693
2015-08-25,63.1123100245
2015-08-26,64.9236127197
2015-08-27,65.99665934
2015-08-28,65.7992187619
2015-08-31,65.8593093726
2015-09-01,63.5243599267
2015-09-02,64.3312909852
2015-09-03,64.60599092
2015-09-04,63.5930349104
2015-09-08,64.8034314982
2015-09-09,64.4858096985
2015-09-10,64.6489127848
2015-09-11,64.8120158711
2015-09-14,64.5029784445
2015-09-15,65.6704531674
2015-09-16,66.3743717504
2015-09-17,66.1511780534
2015-09-18,65.1983126545
2015-09-21,65.8764781186
2015-09-22,64.9922877034
2015-09-23,64.9236127197
2015-09-24,64.1166816611
2015-09-25,64.4686409526
2015-09-28,62.9577913111
2015-09-29,62.75176636
2015-09-30,63.6359567752
2015-10-01,63.4299318241
2015-10-02,63.8763192182
2015-10-05,66.3572030045
2015-10-06,66.0224124589
2015-10-07,66.5031373449
2015-10-08,66.5031373449
2015-10-09,66.6323867696
2015-10-12,66.615153513
2015-10-13,66.0033729025
2015-10-14,65.6328578849
2015-10-15,66.124005699
2015-10-16,66.5289872298
2015-10-19,66.3480380352
2015-10-20,66.3049548936
2015-10-21,65.9258232477
2015-10-22,62.4705552929
2015-10-23,64.271430611
2015-10-26,63.9267654783
2015-10-27,63.7716661686
2015-10-28,64.1507978145
2015-10-29,63.9526153633
2015-10-30,63.1254190449
2015-11-02,63.7113497704
2015-11-03,63.7888994252
2015-11-04,63.8233659385
2015-11-05,63.7027331421
2015-11-06,64.0215483898
2015-11-09,63.263285098
2015-11-10,63.2202019564
2015-11-11,62.8238370538
2015-11-12,62.0224906204
2015-11-13,61.3503936117
2015-11-16,61.7467585143
2015-11-17,61.2728439569
2015-11-18,62.1689733018
2015-11-19,62.6773543724
2015-11-20,62.4016222663
2015-11-23,62.2465229566
2015-11-24,61.7209086293
2015-11-25,61.7726083992
2015-11-27,61.9104744523
2015-11-30,61.7295252577
2015-12-01,62.2120564434
2015-12-02,61.3503936117
2015-12-03,60.6782966031
2015-12-04,61.2642273286
2015-12-07,60.8420125411
2015-12-08,60.2388485589
2015-12-09,60.1957654174
2015-12-10,60.4111811253
2015-12-11,59.3341025857
2015-12-14,59.3082527008
2015-12-15,60.4456476385
2015-12-16,60.9281788242
2015-12-17,59.9458831962
2015-12-18,58.4810563824
2015-12-21,58.9377376832
2015-12-22,59.3254859574
2015-12-23,60.2905483288
2015-12-24,60.4542642669
2015-12-28,60.1095991342
2015-12-29,60.7903127712
2015-12-30,60.4542642669
2015-12-31,59.9286499396
