date,UTX
2015-06-19,108.60244502701
2015-06-22,108.97110159904
2015-06-23,108.92383793596
2015-06-24,107.73279362633
2015-06-25,107.09946054104
2015-06-26,107.3074206586
2015-06-29,105.42632686798
2015-06-30,104.85916291102
2015-07-01,104.75518285224
2015-07-02,103.5641385426
2015-07-06,103.37508389028
2015-07-07,104.06513337126
2015-07-08,102.72284533976
2015-07-09,102.95916365517
2015-07-10,104.1502079648
2015-07-13,105.47359053107
2015-07-14,105.40742140275
2015-07-15,105.16165035473
2015-07-16,105.17110308735
2015-07-17,104.67956099131
2015-07-20,104.43378994329
2015-07-21,97.089016700535
2015-07-22,95.992499717061
2015-07-23,95.604937679799
2015-07-24,93.875087611042
2015-07-27,93.459167375932
2015-07-28,93.553694702093
2015-07-29,93.922351274123
2015-07-30,95.217375642536
2015-07-31,94.820360872658
2015-08-03,93.97906766982
2015-08-04,93.61041109779
2015-08-05,93.459167375932
2015-08-06,93.563147434709
2015-08-07,92.910908884194
2015-08-10,94.10195319383
2015-08-11,93.213396327911
2015-08-12,93.893993076275
2015-08-13,93.599058048879
2015-08-14,93.903507109416
2015-08-17,94.531433296774
2015-08-18,94.579003462483
2015-08-19,93.437319485469
2015-08-20,91.163465564582
2015-08-21,88.490022251741
2015-08-24,86.454019159399
2015-08-25,84.484614299049
2015-08-26,87.110487446182
2015-08-27,88.737387113427
2015-08-28,88.708845014002
2015-08-31,87.158057611891
2015-09-01,85.359905348094
2015-09-02,86.806038385645
2015-09-03,87.443478606145
2015-09-04,86.273252529705
2015-09-08,88.309255622047
2015-09-09,87.386394407294
2015-09-10,86.958262915914
2015-09-11,87.8430679981
2015-09-14,87.36736634101
2015-09-15,88.176059158062
2015-09-16,89.374827333927
2015-09-17,88.775443245994
2015-09-18,86.644299822235
2015-09-21,87.10097341304
2015-09-22,83.913772310542
2015-09-23,82.734032200961
2015-09-24,82.600835736976
2015-09-25,83.057509327782
2015-09-28,82.610349770118
2015-09-29,83.704463581423
2015-09-30,84.665380928743
2015-10-01,84.065996840811
2015-10-02,85.407475513803
2015-10-05,87.776469766107
2015-10-06,88.052376727219
2015-10-07,88.96572390883
2015-10-08,89.745874626456
2015-10-09,90.735334073202
2015-10-12,90.792418272053
2015-10-13,89.698304460748
2015-10-14,87.690843467831
2015-10-15,88.651760815151
2015-10-16,88.480508218599
2015-10-19,87.57667507013
2015-10-20,90.973184901747
2015-10-21,93.208982690066
2015-10-22,94.940536721871
2015-10-23,95.730201472639
2015-10-26,95.35915418011
2015-10-27,94.074759705969
2015-10-28,94.493377164207
2015-10-29,94.236498269379
2015-10-30,93.627600148305
2015-11-02,94.5599753962
2015-11-03,95.140331417848
2015-11-04,95.454294511527
2015-11-05,95.901454069191
2015-11-06,95.901454069191
2015-11-09,94.816854291028
2015-11-10,94.493377164207
2015-11-11,94.091196191275
2015-11-12,95.010466986549
2015-11-13,92.386714925038
2015-11-16,93.679439480892
2015-11-17,93.41131883227
2015-11-18,93.564530631482
2015-11-19,94.129499141078
2015-11-20,94.052893241472
2015-11-23,93.928408654612
2015-11-24,93.229379820705
2015-11-25,93.143198183648
2015-11-27,92.693138523462
2015-11-30,91.974958214654
2015-12-01,92.597381148954
2015-12-02,91.208899218593
2015-12-03,90.6822336588
2015-12-04,91.66853461623
2015-12-07,91.840897890344
2015-12-08,90.232173998614
2015-12-09,90.165143836459
2015-12-10,89.887447450386
2015-12-11,89.341630415692
2015-12-14,89.083085504522
2015-12-15,89.303327465889
2015-12-16,91.093990369183
2015-12-17,89.887447450386
2015-12-18,88.422359620418
2015-12-21,89.638478276666
2015-12-22,90.845021195463
2015-12-23,92.214351650924
2015-12-24,92.214351650924
2015-12-28,92.013261164457
2015-12-29,93.143198183648
2015-12-30,92.78889589797
2015-12-31,91.994109689556
