Date,PVH
2015-10-08,100.0225830078125
2015-10-09,99.07747650146484
2015-10-12,98.90027618408203
2015-10-13,98.821533203125
2015-10-14,98.32929992675781
2015-10-15,97.06917572021484
2015-10-16,99.61894226074219
2015-10-19,98.62462615966797
2015-10-20,97.96501922607422
2015-10-21,94.24369812011719
2015-10-22,94.44062042236328
2015-10-23,86.80108642578125
2015-10-26,88.55345916748047
2015-10-27,88.10060119628906
2015-10-28,89.28197479248047
2015-10-29,89.58714294433594
2015-10-30,89.53792572021484
2015-11-02,90.74883270263672
2015-11-03,91.47736358642578
2015-11-04,90.65039825439453
2015-11-05,93.43646240234375
2015-11-06,92.77684020996094
2015-11-09,89.82341766357422
2015-11-10,91.48717498779297
2015-11-11,86.88970184326172
2015-11-12,87.9922866821289
2015-11-13,83.83782958984375
2015-11-16,85.34407806396484
2015-11-17,83.77877807617188
2015-11-18,88.21871948242188
2015-11-19,87.5687026977539
2015-11-20,89.63701629638672
2015-11-23,91.31139373779297
2015-11-24,91.20301818847656
2015-11-25,91.20301818847656
2015-11-27,91.66593170166016
2015-11-30,89.91278839111328
2015-12-01,90.82877349853516
2015-12-02,91.9712905883789
2015-12-03,81.76756286621094
2015-12-04,80.5856704711914
2015-12-07,79.26587677001953
2015-12-08,78.54692077636719
2015-12-09,77.38467407226562
2015-12-10,76.04521179199219
2015-12-11,75.02088165283203
2015-12-14,75.06031036376953
2015-12-15,75.19818878173828
2015-12-16,74.69587707519531
2015-12-17,72.97227478027344
2015-12-18,72.18433380126953
2015-12-21,71.79039001464844
2015-12-22,72.01689147949219
2015-12-23,72.75558471679688
2015-12-24,71.69188690185547
2015-12-28,71.8199234008789
2015-12-29,73.17912292480469
2015-12-30,72.04644775390625
2015-12-31,72.53892517089844
