date,SNI
2015-05-22,65.3083341449
2015-05-26,63.8761338347
2015-05-27,64.6686180064
2015-05-28,64.6686180064
2015-05-29,64.1991717423
2015-06-01,63.9500778063
2015-06-02,64.6398763983
2015-06-03,64.1895912063
2015-06-04,64.8410676544
2015-06-05,65.8470239345
2015-06-08,64.9177119424
2015-06-09,64.4578462143
2015-06-10,63.9404972703
2015-06-11,64.0842053103
2015-06-12,63.8830140543
2015-06-15,64.5344905023
2015-06-16,64.2758160303
2015-06-17,64.6877790784
2015-06-18,64.8410676544
2015-06-19,64.4291046063
2015-06-22,64.3428797823
2015-06-23,64.4291046063
2015-06-24,63.8638529823
2015-06-25,63.8542724463
2015-06-26,64.1991717423
2015-06-29,62.0435511421
2015-06-30,62.6279638382
2015-07-01,64.2374938863
2015-07-02,64.2758160303
2015-07-06,63.9788194143
2015-07-07,64.3812019263
2015-07-08,62.5800611581
2015-07-09,62.6758665182
2015-07-10,63.0782490302
2015-07-13,63.5285342222
2015-07-14,63.4423093982
2015-07-15,63.5285342222
2015-07-16,63.9692388783
2015-07-17,62.1393565021
2015-07-20,61.59326595
2015-07-21,60.673534494
2015-07-22,60.1178634059
2015-07-23,59.2268735578
2015-07-24,58.6328803258
2015-07-27,59.2843567738
2015-07-28,59.4472258858
2015-07-29,59.3322594538
2015-07-30,59.6005144619
2015-07-31,59.9549942939
2015-08-03,59.9645748299
2015-08-04,58.6041387178
2015-08-05,55.1264041494
2015-08-06,56.1323604295
2015-08-07,56.2952295415
2015-08-10,56.6880315176
2015-08-11,56.3335516855
2015-08-12,56.4485181175
2015-08-13,55.5287866615
2015-08-14,55.1072430774
2015-08-17,56.2090047175
2015-08-18,54.6186357414
2015-08-19,54.6761189574
2015-08-20,51.9552467331
2015-08-21,51.7348944051
2015-08-24,49.5505321969
2015-08-25,49.2247939728
2015-08-26,49.8187872049
2015-08-27,50.681035445
2015-08-28,51.1717764375
2015-08-31,51.0851750859
2015-09-01,49.8246443011
2015-09-02,50.8349934034
2015-09-03,51.7491187817
2015-09-04,50.873482893
2015-09-08,51.8260977609
2015-09-09,51.566293706
2015-09-10,51.3353567684
2015-09-11,51.1525316927
2015-09-14,50.632923583
2015-09-15,51.0755527135
2015-09-16,51.2198882995
2015-09-17,50.9312171274
2015-09-18,50.921594755
2015-09-21,50.5174551141
2015-09-22,49.1029663709
2015-09-23,47.5248972969
2015-09-24,47.957904055
2015-09-25,47.7077223725
2015-09-28,46.4471915878
2015-09-29,46.3221007466
2015-09-30,47.3324498488
2015-10-01,46.5915271738
2015-10-02,47.9194145654
2015-10-05,49.3627704258
2015-10-06,49.7091758323
2015-10-07,52.5573980635
2015-10-08,53.644726145
2015-10-09,53.9430196895
2015-10-12,53.0577614284
2015-10-13,53.1539851525
2015-10-14,53.1347404077
2015-10-15,54.3086698408
2015-10-16,53.9622644343
2015-10-19,53.8467959655
2015-10-20,54.4241383096
2015-10-21,53.9045301999
2015-10-22,54.5299844061
2015-10-23,54.8379003229
2015-10-26,54.982235909
2015-10-27,54.6358305025
2015-10-28,55.915606032
2015-10-29,57.0414236032
2015-10-30,57.8112133954
2015-11-02,57.5321645957
2015-11-03,58.9274085941
2015-11-04,57.3204724028
2015-11-05,56.0599416181
2015-11-06,56.8104866655
2015-11-09,56.1754100869
2015-11-10,56.4063470246
2015-11-11,55.7039138392
2015-11-12,55.2709070811
2015-11-13,54.6839423645
2015-11-16,54.5780962681
2015-11-17,53.6351037726
2015-11-18,54.5011172888
2015-11-19,54.5780962681
2015-11-20,55.5018440187
2015-11-23,56.2620114385
2015-11-24,55.6846690944
2015-11-25,56.0022073837
2015-11-27,55.7800147375
2015-11-30,54.8719230532
2015-12-01,54.9588680017
2015-12-02,55.3066477957
2015-12-03,54.5144827093
2015-12-04,57.0165651162
2015-12-07,56.7557302707
2015-12-08,55.0071707508
2015-12-09,54.3792350117
2015-12-10,55.1327578987
2015-12-11,52.7659231895
2015-12-14,51.5100517112
2015-12-15,51.7708865567
2015-12-16,53.1620057327
2015-12-17,52.4374644952
2015-12-18,52.0607030517
2015-12-21,51.9737581032
2015-12-22,52.852868138
2015-12-23,53.4035194785
2015-12-24,53.4711433273
2015-12-28,53.2682717808
2015-12-29,53.606391025
2015-12-30,52.794904839
2015-12-31,53.3358956297
