Date,GWW
2015-07-06,196.60350036621094
2015-07-07,199.21791076660156
2015-07-08,197.04061889648438
2015-07-09,198.14190673828125
2015-07-10,198.8144073486328
2015-07-13,200.07540893554688
2015-07-14,196.09909057617188
2015-07-15,194.00588989257812
2015-07-16,195.33409118652344
2015-07-17,196.1747589111328
2015-07-20,197.6374969482422
2015-07-21,193.29977416992188
2015-07-22,188.8947296142578
2015-07-23,190.1388397216797
2015-07-24,189.79420471191406
2015-07-27,189.8782958984375
2015-07-28,189.94554138183594
2015-07-29,190.79457092285156
2015-07-30,189.15530395507812
2015-07-31,192.26577758789062
2015-08-03,189.02084350585938
2015-08-04,190.0968780517578
2015-08-05,190.87020874023438
2015-08-06,191.03085327148438
2015-08-07,190.93783569335938
2015-08-10,195.1122283935547
2015-08-11,192.70391845703125
2015-08-12,194.69818115234375
2015-08-13,190.8533477783203
2015-08-14,189.94068908691406
2015-08-17,191.3603515625
2015-08-18,191.58851623535156
2015-08-19,190.63363647460938
2015-08-20,189.3154296875
2015-08-21,185.7748565673828
2015-08-24,180.12179565429688
2015-08-25,180.2569122314453
2015-08-26,183.93275451660156
2015-08-27,189.06195068359375
2015-08-28,188.63095092773438
2015-08-31,188.8084716796875
2015-09-01,184.83689880371094
2015-09-02,188.46194458007812
2015-09-03,186.4846649169922
2015-09-04,184.5496063232422
2015-09-08,190.3547821044922
2015-09-09,188.32681274414062
2015-09-10,188.10707092285156
2015-09-11,187.53250122070312
2015-09-14,184.32986450195312
2015-09-15,187.61697387695312
2015-09-16,187.95498657226562
2015-09-17,184.7777099609375
2015-09-18,181.04278564453125
2015-09-21,181.04278564453125
2015-09-22,179.69921875
2015-09-23,178.1951446533203
2015-09-24,180.29916381835938
2015-09-25,180.63722229003906
2015-09-28,178.94723510742188
2015-09-29,179.08238220214844
2015-09-30,181.6850128173828
2015-10-01,176.9952392578125
2015-10-02,181.80332946777344
2015-10-05,185.74951171875
2015-10-06,189.053466796875
2015-10-07,192.5264129638672
2015-10-08,195.56854248046875
2015-10-09,193.67567443847656
2015-10-12,190.2027130126953
2015-10-13,188.16627502441406
2015-10-14,187.12689208984375
2015-10-15,187.2790069580078
2015-10-16,175.4657440185547
2015-10-19,170.65771484375
2015-10-20,170.48019409179688
2015-10-21,170.41262817382812
2015-10-22,176.96141052246094
2015-10-23,175.63473510742188
2015-10-26,174.30810546875
2015-10-27,171.08018493652344
2015-10-28,175.16159057617188
2015-10-29,175.9980926513672
2015-10-30,177.45152282714844
2015-11-02,178.40640258789062
2015-11-03,178.3388214111328
2015-11-04,178.0007781982422
2015-11-05,178.25570678710938
2015-11-06,180.30352783203125
2015-11-09,177.38047790527344
2015-11-10,179.24142456054688
2015-11-11,179.44532775878906
2015-11-12,169.8009490966797
2015-11-13,167.40472412109375
2015-11-16,168.48385620117188
2015-11-17,164.21820068359375
2015-11-18,168.4583740234375
2015-11-19,168.50930786132812
2015-11-20,169.257080078125
2015-11-23,168.29693603515625
2015-11-24,168.6367950439453
2015-11-25,168.82371520996094
2015-11-27,169.64797973632812
2015-11-30,170.40420532226562
2015-12-01,171.3389434814453
2015-12-02,169.57150268554688
2015-12-03,168.92568969726562
2015-12-04,170.67613220214844
2015-12-07,168.61131286621094
2015-12-08,165.7477569580078
2015-12-09,164.09927368164062
2015-12-10,165.24642944335938
2015-12-11,162.15338134765625
2015-12-14,164.95748901367188
2015-12-15,165.3398895263672
2015-12-16,167.21775817871094
2015-12-17,165.56932067871094
2015-12-18,164.78753662109375
2015-12-21,166.86085510253906
2015-12-22,171.60235595703125
2015-12-23,174.70388793945312
2015-12-24,174.57640075683594
2015-12-28,173.65867614746094
2015-12-29,174.65286254882812
2015-12-30,173.93905639648438
2015-12-31,172.14614868164062
