date,CERN
2015-10-23,62.5246298787
2015-10-26,62.872902612
2015-10-27,64.3143647584
2015-10-28,65.2721147751
2015-10-29,65.1270011362
2015-10-30,64.1305541491
2015-11-02,64.0047889954
2015-11-03,63.9370692973
2015-11-04,59.6223571008
2015-11-05,59.28375861
2015-11-06,58.2099176822
2015-11-09,57.4456525173
2015-11-10,57.3682585766
2015-11-11,56.6136676543
2015-11-12,55.8203797617
2015-11-13,54.7078418635
2015-11-16,55.4043873302
2015-11-17,55.4914555135
2015-11-18,56.4201828025
2015-11-19,56.0138646136
2015-11-20,56.836175234
2015-11-23,56.9812888729
2015-11-24,57.2521676655
2015-11-25,57.571417671
2015-11-27,57.668160097
2015-11-30,57.6584858544
2015-12-01,58.2002434396
2015-12-02,58.3647055637
2015-12-03,57.3005388784
2015-12-04,58.1712207118
2015-12-07,58.0067585877
2015-12-08,58.2969858655
2015-12-09,58.0454555581
2015-12-10,58.1518722266
2015-12-11,58.0454555581
2015-12-14,57.9874101025
2015-12-15,58.451773747
2015-12-16,59.1628305776
2015-12-17,58.4130767766
2015-12-18,57.097379784
2015-12-21,57.7358797951
2015-12-22,58.4614479896
2015-12-23,58.7710237526
2015-12-24,58.712978297
2015-12-28,58.6452585989
2015-12-29,59.8351904378
2015-12-30,58.6549328415
2015-12-31,58.2099176822
