date,COL
2015-04-20,91.6247541572
2015-04-21,91.5675839695
2015-04-22,91.9963603772
2015-04-23,93.3303314236
2015-04-24,93.1778775898
2015-04-27,93.7305227375
2015-04-28,94.3308097084
2015-04-29,93.8448631129
2015-04-30,92.7395728174
2015-05-01,93.0635372144
2015-05-04,93.0063670267
2015-05-05,91.853434908
2015-05-06,91.5961690633
2015-05-07,91.2626763017
2015-05-08,92.6728742651
2015-05-11,92.3298531388
2015-05-12,91.9106050957
2015-05-13,92.6442891712
2015-05-14,94.0259020407
2015-05-15,93.9020333007
2015-05-18,94.5425786306
2015-05-19,94.3035691792
2015-05-20,94.1984050205
2015-05-21,94.0454389715
2015-05-22,93.4335747757
2015-05-26,92.4488558356
2015-05-27,92.4297350795
2015-05-28,92.1620444938
2015-05-29,91.0052387486
2015-06-01,90.8331519435
2015-06-02,90.106563211
2015-06-03,90.8905142119
2015-06-04,89.5042593933
2015-06-05,88.9879989781
2015-06-08,89.2461291857
2015-06-09,89.2461291857
2015-06-10,89.9249160279
2015-06-11,90.7088670288
2015-06-12,89.9822782962
2015-06-15,89.2461291857
2015-06-16,89.9249160279
2015-06-17,90.6419443824
2015-06-18,91.6457840786
2015-06-19,91.3302916026
2015-06-22,91.1008425292
2015-06-23,91.3111708465
2015-06-24,91.4258953832
2015-06-25,90.6897462727
2015-06-26,90.5654613579
2015-06-29,88.5577819654
2015-06-30,88.2900913797
2015-07-01,89.1887669173
2015-07-02,88.5673423434
2015-07-06,87.5252611349
2015-07-07,87.9554781476
2015-07-08,87.3149328176
2015-07-09,87.5539422691
2015-07-10,88.4812989409
2015-07-13,88.9306367097
2015-07-14,89.2078876734
2015-07-15,88.9019555755
2015-07-16,88.7394291485
2015-07-17,88.8063517949
2015-07-20,88.1371253308
2015-07-21,85.0013213272
2015-07-22,83.8636363381
2015-07-23,84.5233024243
2015-07-24,81.7029908967
2015-07-27,79.7717945287
2015-07-28,81.0050832984
2015-07-29,81.110247457
2015-07-30,81.3110153963
2015-07-31,80.8999191397
2015-08-03,81.4544210671
2015-08-04,81.1006870789
2015-08-05,81.1771701034
2015-08-06,81.4066191769
2015-08-07,81.8272758115
2015-08-10,84.0644042774
2015-08-11,82.9649608006
2015-08-12,82.8884777761
2015-08-13,83.5481438622
2015-08-14,83.797655893
2015-08-17,84.267890105
2015-08-18,83.7592694267
2015-08-19,83.9224119084
2015-08-20,81.6384171647
2015-08-21,80.2852942282
2015-08-24,77.4159058737
2015-08-25,76.4946306829
2015-08-26,79.1528934729
2015-08-27,80.1413449797
2015-08-28,80.0549754305
2015-08-31,78.548306629
2015-09-01,76.0531863207
2015-09-02,77.6942077542
2015-09-03,78.7882220433
2015-09-04,78.5579032456
2015-09-08,80.1317483631
2015-09-09,79.0761205404
2015-09-10,80.6115791916
2015-09-11,81.1873761859
2015-09-14,80.3620671608
2015-09-15,81.6480137812
2015-09-16,81.7151900972
2015-09-17,81.8399461126
2015-09-18,80.3044874614
2015-09-21,79.9206227986
2015-09-22,78.7690288101
2015-09-23,78.0684758005
2015-09-24,77.7325942205
2015-09-25,77.3007464748
2015-09-28,76.4178577504
2015-09-29,76.8017224132
2015-09-30,78.5387100124
2015-10-01,77.9917028679
2015-10-02,78.9225746752
2015-10-05,80.4580333265
2015-10-06,80.7843182899
2015-10-07,81.9742987446
2015-10-08,83.1162961165
2015-10-09,83.1066994999
2015-10-12,82.9147671685
2015-10-13,81.2257626521
2015-10-14,79.1912799392
2015-10-15,80.0549754305
2015-10-16,80.2565043785
2015-10-19,80.1509415963
2015-10-20,80.5731927254
2015-10-21,80.6883521242
2015-10-22,83.6441100279
2015-10-23,83.3466149142
2015-10-26,83.0011367177
2015-10-27,82.9627502514
2015-10-28,85.2755348449
2015-10-29,85.3235179277
2015-10-30,83.2218588988
2015-11-02,84.6229649181
2015-11-03,84.5557886021
2015-11-04,84.5461919855
2015-11-05,85.0356194306
2015-11-06,84.2103104055
2015-11-09,83.2506487485
2015-11-10,83.6057235616
2015-11-11,84.1143442398
2015-11-12,83.0299265674
2015-11-13,81.7005229398
2015-11-16,84.4363970719
2015-11-17,85.4189997532
2015-11-18,86.7002365827
2015-11-19,88.8773758569
2015-11-20,90.245312923
2015-11-23,90.4957802731
2015-11-24,90.5632137905
2015-11-25,90.5343137116
2015-11-27,90.0333790113
2015-11-30,89.281976961
2015-12-01,89.4746441534
2015-12-02,88.3475410778
2015-12-03,86.8158368982
2015-12-04,88.443874674
2015-12-07,88.3764411566
2015-12-08,87.605772387
2015-12-09,86.8254702578
2015-12-10,86.9121704944
2015-12-11,86.0451681285
2015-12-14,86.1511350844
2015-12-15,85.6213003052
2015-12-16,87.2493380811
2015-12-17,86.4497692326
2015-12-18,84.9469651318
2015-12-21,86.5942696269
2015-12-22,88.2319407623
2015-12-23,88.9544427339
2015-12-24,88.9448093742
2015-12-28,89.0218762512
2015-12-29,89.8696118978
2015-12-30,89.8503451786
2015-12-31,88.9159092954
