Date,PLD
2015-04-30,29.067819595336914
2015-05-01,29.22690200805664
2015-05-04,29.190746307373047
2015-05-05,28.56889533996582
2015-05-06,28.641202926635742
2015-05-07,29.089509963989258
2015-05-08,29.46550750732422
2015-05-11,29.241361618041992
2015-05-12,29.176286697387695
2015-05-13,28.858129501342773
2015-05-14,29.118432998657227
2015-05-15,29.451047897338867
2015-05-18,29.342586517333984
2015-05-19,29.320899963378906
2015-05-20,29.46550750732422
2015-05-21,29.161823272705078
2015-05-22,29.12566566467285
2015-05-26,28.887046813964844
2015-05-27,29.190746307373047
2015-05-28,29.111207962036133
2015-05-29,28.626745223999023
2015-06-01,29.00997543334961
2015-06-02,29.0461368560791
2015-06-03,28.887046813964844
2015-06-04,28.96659278869629
2015-06-05,28.90873908996582
2015-06-08,28.778596878051758
2015-06-09,28.508609771728516
2015-06-10,28.742107391357422
2015-06-11,28.931827545166016
2015-06-12,28.669139862060547
2015-06-15,28.479413986206055
2015-06-16,28.603471755981445
2015-06-17,28.749408721923828
2015-06-18,29.004791259765625
2015-06-19,28.676435470581055
2015-06-22,28.618059158325195
2015-06-23,28.311599731445312
2015-06-24,28.18025016784668
2015-06-25,27.808115005493164
2015-06-26,27.90298080444336
2015-06-29,27.11492156982422
2015-06-30,27.07114601135254
2015-07-01,27.581912994384766
2015-07-02,27.676773071289062
2015-07-06,27.6475830078125
2015-07-07,28.238632202148438
2015-07-08,27.881086349487305
2015-07-09,27.910274505615234
2015-07-10,28.14376449584961
2015-07-13,28.348081588745117
2015-07-14,28.377260208129883
2015-07-15,28.457530975341797
2015-07-16,28.82237434387207
2015-07-17,28.82237434387207
2015-07-20,28.931827545166016
2015-07-21,29.41341781616211
2015-07-22,29.28936767578125
2015-07-23,29.128826141357422
2015-07-24,29.085063934326172
2015-07-27,29.150726318359375
2015-07-28,29.44989776611328
2015-07-29,29.654211044311523
2015-07-30,29.33315086364746
2015-07-31,29.632312774658203
2015-08-03,29.654211044311523
2015-08-04,29.51556396484375
2015-08-05,29.537458419799805
2015-08-06,29.690690994262695
2015-08-07,29.741769790649414
2015-08-10,29.71987533569336
2015-08-11,30.019046783447266
2015-08-12,30.048229217529297
2015-08-13,30.099302291870117
2015-08-14,30.17228126525879
2015-08-17,30.6027889251709
2015-08-18,30.828990936279297
2015-08-19,30.72684669494629
2015-08-20,30.361997604370117
2015-08-21,29.668798446655273
2015-08-24,27.786226272583008
2015-08-25,26.59684944152832
2015-08-26,27.384906768798828
2015-08-27,28.253223419189453
2015-08-28,28.377260208129883
2015-08-31,27.72785186767578
2015-09-01,26.954383850097656
2015-09-02,27.319229125976562
2015-09-03,27.58922576904297
2015-09-04,26.764665603637695
2015-09-08,27.195180892944336
2015-09-09,26.633337020874023
2015-09-10,26.815746307373047
2015-09-11,27.16599464416504
2015-09-14,27.144105911254883
2015-09-15,27.53813362121582
2015-09-16,27.811012268066406
2015-09-17,28.165010452270508
2015-09-18,28.135520935058594
2015-09-21,28.511634826660156
2015-09-22,28.128131866455078
2015-09-23,28.349380493164062
2015-09-24,28.03226661682129
2015-09-25,28.511634826660156
2015-09-28,28.03963851928711
2015-09-29,28.57062530517578
2015-09-30,28.68862533569336
2015-10-01,28.968875885009766
2015-10-02,29.40400505065918
2015-10-05,29.89812660217285
2015-10-06,29.89812660217285
2015-10-07,30.052993774414062
2015-10-08,30.406999588012695
2015-10-09,30.539749145507812
2015-10-12,30.908506393432617
2015-10-13,30.458614349365234
2015-10-14,30.20049285888672
2015-10-15,30.606130599975586
2015-10-16,30.738882064819336
2015-10-19,31.19611930847168
2015-10-20,31.535371780395508
2015-10-21,31.557498931884766
2015-10-22,31.86724281311035
2015-10-23,31.7344913482666
2015-10-26,31.881980895996094
2015-10-27,31.800865173339844
2015-10-28,31.970483779907227
2015-10-29,31.830352783203125
2015-10-30,31.513242721557617
2015-11-02,32.2138557434082
2015-11-03,31.896730422973633
2015-11-04,31.837738037109375
2015-11-05,31.822996139526367
2015-11-06,30.878997802734375
2015-11-09,30.134124755859375
2015-11-10,30.34062385559082
2015-11-11,30.488121032714844
2015-11-12,30.28162956237793
2015-11-13,30.215261459350586
2015-11-16,30.827373504638672
2015-11-17,30.67987060546875
2015-11-18,31.17399787902832
2015-11-19,31.188739776611328
2015-11-20,31.786117553710938
2015-11-23,31.87461280822754
2015-11-24,31.963117599487305
2015-11-25,31.889368057250977
2015-11-27,32.15486145019531
2015-11-30,31.52798843383789
2015-12-01,32.20649719238281
2015-12-02,31.23299217224121
2015-12-03,30.59136199951172
2015-12-04,31.491111755371094
2015-12-07,31.46161651611328
2015-12-08,31.299375534057617
2015-12-09,31.070755004882812
2015-12-10,30.96748924255371
2015-12-11,30.83346176147461
2015-12-14,30.744123458862305
2015-12-15,30.945159912109375
2015-12-16,31.51103973388672
2015-12-17,31.272781372070312
2015-12-18,31.041959762573242
2015-12-21,31.198320388793945
2015-12-22,31.32489585876465
2015-12-23,31.563161849975586
2015-12-24,31.615285873413086
2015-12-28,31.95035171508789
2015-12-29,32.44178009033203
2015-12-30,32.196067810058594
2015-12-31,31.957799911499023
