,retorno_diario
1992-06-23,-0.004219429479087422
1992-06-24,0.0016627185289372348
1992-06-25,-0.0019162669447378156
1992-06-26,0.0010924967764008309
1992-06-29,1.301495922409468e-05
1992-06-30,0.0020348532129802087
1992-07-01,-0.0028651419704810444
1992-07-02,0.0
1992-07-06,-0.002998036150843797
1992-07-07,0.0013880038628632408
1992-07-08,0.0022830250575903545
1992-07-09,6.983557988009537e-05
1992-07-10,-0.0002715179489758801
1992-07-13,-0.0010813791226316704
1992-07-14,0.0012488402900142138
1992-07-15,0.0034380401111156087
1992-07-16,0.0007146901681179096
1992-07-17,-0.0006458301565472113
1992-07-20,-0.00014176231703350584
1992-07-21,-0.0007693786019486559
1992-07-22,0.0030981833247700876
1992-07-23,-0.002821650765079231
1992-07-24,-0.0020216268527294577
1992-07-27,0.0012247490220639369
1992-07-28,0.0035905230617305104
1992-07-29,-0.0010814621039775152
1992-07-30,0.001573815949460533
1992-07-31,-0.0018692213294712046
1992-08-03,0.0019452375446704418
1992-08-04,0.0004123860464334772
1992-08-05,0.0008058590861310222
1992-08-06,0.00016382833655811946
1992-08-07,0.0010385638736149893
1992-08-10,-3.457844276982813e-05
1992-08-11,0.0009801953465689516
1992-08-12,0.00010353832442540623
1992-08-13,-1.7213071229604805e-05
1992-08-14,-0.0009541120956301552
1992-08-17,0.001803366236479853
1992-08-18,0.0031517232122054094
1992-08-19,-0.0011424317011024866
1992-08-20,-0.0005515921008536484
1992-08-21,-0.0005877105880119082
1992-08-24,0.0014703583450596358
1992-08-25,-0.0018580354549615984
1992-08-26,-0.001195599519270446
1992-08-27,0.0007814674972626889
1992-08-28,-0.0019410588297248455
1992-08-31,0.0010183168890823436
1992-09-01,0.001010187472767854
1992-09-02,0.00156786517426159
1992-09-03,0.0010929759231239234
1992-09-04,-0.0001351067841625253
1992-09-08,0.005502908359873926
1992-09-09,-0.001957474848599994
1992-09-10,0.0005840979427352899
1992-09-11,0.0008698612661322159
1992-09-14,0.0019394703969923932
1992-09-15,-0.00014698603402296117
1992-09-16,0.0034167467062755086
1992-09-17,0.001617207901494133
1992-09-18,0.004328774511235251
1992-09-21,-0.000238904696953246
1992-09-22,0.0022159436994541757
1992-09-23,-0.003563856097653401
1992-09-24,0.0026880156859280134
1992-09-25,-0.0007283847726078374
1992-09-28,-0.004621695704156431
1992-09-29,0.002996911395004276
1992-09-30,-0.0002030553586502226
1992-10-01,0.0034178076757603593
1992-10-02,-0.002829072439278618
1992-10-05,0.0002712309642786626
1992-10-06,-0.0001608140147717929
1992-10-07,-0.0017038279070452245
1992-10-08,0.001443413513866565
1992-10-09,0.005586683083726207
1992-10-12,0.0006073700479428346
1992-10-13,-9.984535755205303e-05
1992-10-14,0.0022720419963440817
1992-10-15,0.00022720658529430394
1992-10-16,-0.001007155619548411
1992-10-19,0.0012413682741234723
1992-10-20,0.0025319743087719782
1992-10-21,0.0010314089128953042
1992-10-22,0.0016258002395550032
1992-10-23,-0.0016688162238973681
1992-10-26,0.0030857460191301422
1992-10-27,-0.0024556285115508334
1992-10-28,0.0016652820491466435
1992-10-29,-0.0001996039311226272
1992-10-30,-0.0003395445811829878
1992-11-02,-0.002095285462813917
1992-11-03,0.0023549842072636217
1992-11-04,-0.0006844584007234588
1992-11-05,0.0011288303342303462
1992-11-06,0.005897910239096954
1992-11-09,-0.002634239123500004
1992-11-10,0.00030877688465283935
1992-11-11,-0.0010230768179284755
1992-11-12,-0.003443532524715032
1992-11-13,-0.002860947764361521
1992-11-16,0.001271393652614744
1992-11-17,-2.4736881437215085e-05
1992-11-18,0.0025681011098812267
1992-11-19,-0.0012635996882945477
1992-11-20,2.0336490824013343e-05
1992-11-23,-0.002758055417275457
1992-11-24,-0.0017534391468334242
1992-11-25,-0.00250369542734441
1992-11-27,0.00021367998722989778
1992-11-30,-0.0022699924772850546
1992-12-01,0.0018263613117836587
1992-12-02,0.0005697163051052168
1992-12-03,0.0014989650209562499
1992-12-04,0.0014613620114278581
1992-12-07,-0.001534656693865405
1992-12-08,0.00258377428514322
1992-12-09,0.0005931530350763436
1992-12-10,0.005112012585095682
1992-12-11,-0.0012954776207002305
1992-12-14,0.0009402947320144073
1992-12-15,-0.0014140790470032639
1992-12-16,6.974877892990117e-05
1992-12-17,0.0007145508252402843
1992-12-18,-0.0017782105986695607
1992-12-21,0.0021104549742841593
1992-12-22,0.003636561007058603
1992-12-23,-0.0006563822756517346
1992-12-24,-0.0023096302106839104
1992-12-28,-0.00021126361253650527
1992-12-29,0.0034919593001402514
1992-12-30,-0.0011500907072702904
1992-12-31,0.002422590358479593
1993-01-04,-0.0025038677150011736
1993-01-05,0.0
1993-01-06,0.00022276772398232002
1993-01-07,5.549336274951467e-06
1993-01-08,2.379634105720285e-06
1993-01-11,0.0022267471404948725
1993-01-12,9.964993919464592e-06
1993-01-13,0.0004790787027175003
1993-01-14,-0.0003231619338937786
1993-01-15,0.00038331478614997416
1993-01-18,-1.7623770115715588e-06
1993-01-19,0.0004517214087993382
1993-01-20,0.0014034353079174998
1993-01-21,0.0004153820212576986
1993-01-22,0.0004844158055098857
1993-01-25,0.0007141303293309364
1993-01-26,8.395128056963852e-05
1993-01-27,-0.0008408390779191033
1993-01-28,0.001209734330554757
1993-01-29,0.00028594183994862243
1993-02-01,0.001901279229006969
1993-02-02,-0.0010393990688975841
1993-02-03,0.00037456892900932794
1993-02-04,-0.0009913686509387064
1993-02-05,0.0030776987288548495
1993-02-08,-0.0015763674519755299
