Date,DNB
2016-04-14,104.81821408939092
2016-04-15,104.65091433917783
2016-04-18,105.93026537021912
2016-04-19,106.92422270972044
2016-04-20,107.63278635768177
2016-04-21,107.2292987248149
2016-04-22,108.26262071142519
2016-04-25,108.26262071142519
2016-04-26,109.68958916912507
2016-04-27,110.17180609620988
2016-04-28,109.236895727372
2016-04-29,108.6562671825148
2016-05-02,109.63054219846164
2016-05-03,109.20737224204028
2016-05-04,108.77436112384169
2016-05-05,107.96738585810795
2016-05-06,109.3353073451444
2016-05-09,109.98482402244231
2016-05-10,117.66093020869006
2016-05-11,116.81459029584737
2016-05-12,116.4603084718667
2016-05-13,117.34601303181836
2016-05-16,118.54663476864172
2016-05-17,118.02505319444798
2016-05-18,117.43458348781353
2016-05-19,117.5723597526949
2016-05-20,118.33012920954242
2016-05-23,118.99194733906188
2016-05-24,121.49173665042802
2016-05-25,124.3966301584978
2016-05-26,123.54689940443657
2016-05-27,124.89065966667293
2016-05-31,125.38468917484806
2016-06-01,125.24636091255903
2016-06-02,125.57242038795461
2016-06-03,125.11791324043348
2016-06-06,126.81737474855593
2016-06-07,126.02692753547572
2016-06-08,126.82725533871945
2016-06-09,125.90836045351371
2016-06-10,124.24842130604526
2016-06-13,123.76427238803363
2016-06-14,124.06069009293871
2016-06-15,124.31758543718976
2016-06-16,124.10021245359272
2016-06-17,123.56666058476358
2016-06-20,125.84907691253268
2016-06-21,126.19489756825527
2016-06-22,125.26612209288602
2016-06-23,126.41227055185233
2016-06-24,120.23690169966319
2016-06-27,115.2867260277484
2016-06-28,116.69965042112926
2016-06-29,118.13233599483715
2016-06-30,120.38511055211575
2016-07-01,121.60042314222655
2016-07-05,120.68152825702082
2016-07-06,121.7585125848426
2016-07-07,121.63006491271706
2016-07-08,122.34146740448925
2016-07-11,122.32170622416224
2016-07-12,123.97176478146719
2016-07-13,124.76221199454739
2016-07-14,125.01910733879846
2016-07-15,126.00716635514873
2016-07-18,126.54071822397786
2016-07-19,126.48143468299683
2016-07-20,128.18089619111927
2016-07-21,127.90423966654122
2016-07-22,129.51477586319217
2016-07-25,129.63334294515417
2016-07-26,129.96928301071327
2016-07-27,129.62346235499066
2016-07-28,128.45755271569735
2016-07-29,127.70662786327117
2016-08-01,127.07427009280701
2016-08-02,136.71772609238556
2016-08-03,139.04954537097214
2016-08-04,138.22945638740146
2016-08-05,138.33814287919995
2016-08-08,138.29862051854596
2016-08-09,137.60697920710078
2016-08-10,137.3402032726862
2016-08-11,137.3105615021957
2016-08-12,137.3204420923592
2016-08-15,137.79471042020734
2016-08-16,136.40154720715347
2016-08-17,137.28091973170518
2016-08-18,137.07342733827164
2016-08-19,137.26115855137817
2016-08-22,137.75765820709418
2016-08-23,137.2321683636383
2016-08-24,136.58769968770184
2016-08-25,136.66701890935556
2016-08-26,136.617444395822
2016-08-29,137.20242365551815
2016-08-30,136.53812517416827
2016-08-31,136.47863575792798
2016-09-01,136.19110357943327
2016-09-02,137.1627640446913
2016-09-06,137.172678947398
2016-09-07,136.37948673086083
2016-09-08,136.07212474695268
2016-09-09,131.79880168035865
2016-09-12,133.801612027115
2016-09-13,133.51407984862027
2016-09-14,132.68122802125623
2016-09-15,134.20812303809032
2016-09-16,132.68122802125623
2016-09-19,132.32429152381454
2016-09-20,131.75914206953178
2016-09-21,132.68122802125623
2016-09-22,134.49565521658505
2016-09-23,134.01973988666273
2016-09-26,133.02824961599126
2016-09-27,133.90076105418217
2016-09-28,134.76335758966633
2016-09-29,133.57356926486057
2016-09-30,135.45740077913638
2016-10-03,134.36676148139776
2016-10-04,132.40361074546823
2016-10-05,131.9078656101325
2016-10-06,131.17416280983562
2016-10-07,129.3498207118001
2016-10-10,129.1515226576658
2016-10-11,126.47449892685285
2016-10-12,127.1883719217363
2016-10-13,125.16573176956649
2016-10-14,125.17564667227322
2016-10-17,124.22381601242861
2016-10-18,124.64024192611062
2016-10-19,124.15441169348159
2016-10-20,124.18415640160174
2016-10-21,124.18415640160174
2016-10-24,125.20539138039337
2016-10-25,124.71956114776434
2016-10-26,124.10483717994802
2016-10-27,122.88530414702211
2016-10-28,122.77624021724826
2016-10-31,123.78756029333314
2016-11-01,122.54819745499381
2016-11-02,117.93776769637148
2016-11-03,116.22248952810983
2016-11-04,115.30040357638536
2016-11-07,117.47176726915589
2016-11-08,117.71963983682376
2016-11-09,116.4009577768307
2016-11-10,114.61627528962204
2016-11-11,116.24231933352326
2016-11-14,115.08227571683763
2016-11-15,115.94487225232182
2016-11-16,117.24372450690144
2016-11-17,120.58504671906431
2016-11-18,120.83291928673218
2016-11-21,121.92603731014748
2016-11-22,122.98115690806368
2016-11-23,123.31959149607455
2016-11-25,122.7422619047619
2016-11-28,121.76677397461296
2016-11-29,122.53322877687283
2016-11-30,121.15958250788759
2016-12-01,120.34335791327317
2016-12-02,121.0401350062367
2016-12-05,122.12511647956563
2016-12-06,120.85100979528946
2016-12-07,123.2598677452491
2016-12-08,122.70244607087827
2016-12-09,122.79203169711644
2016-12-12,122.59295252769829
2016-12-13,123.1105583681855
2016-12-14,121.09985875706214
2016-12-15,121.54778688825299
2016-12-16,119.4773635263042
2016-12-19,119.89542978208233
2016-12-20,119.3380081077115
2016-12-21,119.07920518746789
2016-12-22,118.35256621909164
2016-12-23,122.70244607087827
2016-12-27,122.04548481179837
2016-12-28,121.09985875706214
2016-12-29,121.1794904248294
2016-12-30,120.76142416905128
