Date,PEAK
2020-01-31,25.661334991455078
2020-02-03,25.746898651123047
2020-02-04,25.98932647705078
2020-02-05,25.875246047973633
2020-02-06,25.89662742614746
2020-02-07,25.889509201049805
2020-02-10,26.310176849365234
2020-02-11,26.089147567749023
2020-02-12,26.203229904174805
2020-02-13,26.581117630004883
2020-02-14,26.869184494018555
2020-02-18,26.883590698242188
2020-02-19,26.51630210876465
2020-02-20,26.854778289794922
2020-02-21,26.753965377807617
2020-02-24,26.717952728271484
2020-02-25,25.68092155456543
2020-02-26,25.169605255126953
2020-02-27,23.59965705871582
2020-02-28,22.785873413085938
2020-03-02,23.642871856689453
2020-03-03,23.93092918395996
2020-03-04,24.895950317382812
2020-03-05,24.931955337524414
2020-03-06,24.2838077545166
2020-03-09,22.497814178466797
2020-03-10,23.117151260375977
2020-03-11,20.913461685180664
2020-03-12,18.090431213378906
2020-03-13,20.783828735351562
2020-03-16,16.037967681884766
2020-03-17,16.79414176940918
2020-03-18,15.015340805053711
2020-03-19,14.460820198059082
2020-03-20,15.094563484191895
2020-03-23,14.36720085144043
2020-03-24,15.238595962524414
2020-03-25,15.771512031555176
2020-03-26,17.51430320739746
2020-03-27,18.025615692138672
2020-03-30,17.535905838012695
2020-03-31,17.17582893371582
2020-04-01,15.332216262817383
2020-04-02,14.698474884033203
2020-04-03,14.612054824829102
2020-04-06,16.65011215209961
2020-04-07,17.211833953857422
2020-04-08,19.213882446289062
2020-04-09,20.41655158996582
2020-04-13,19.336307525634766
2020-04-14,19.689184188842773
2020-04-15,18.364091873168945
2020-04-16,17.8167667388916
2020-04-17,18.91141128540039
2020-04-20,18.284873962402344
2020-04-21,17.63673210144043
2020-04-22,17.917593002319336
2020-04-23,17.51430320739746
2020-04-24,17.449487686157227
2020-04-27,18.23446273803711
2020-04-28,19.09145164489746
2020-04-29,19.667583465576172
2020-04-30,18.824995040893555
2020-05-01,18.112035751342773
2020-05-04,18.097625732421875
2020-05-05,18.14804458618164
2020-05-06,17.305461883544922
2020-05-07,17.1518611907959
2020-05-08,17.73699188232422
2020-05-11,17.363971710205078
2020-05-12,16.047409057617188
2020-05-13,15.762152671813965
2020-05-14,16.259521484375
2020-05-15,16.047409057617188
2020-05-18,17.598026275634766
2020-05-19,17.60533905029297
2020-05-20,17.51025390625
2020-05-21,17.715049743652344
2020-05-22,17.956422805786133
2020-05-26,18.680532455444336
2020-05-27,18.819499969482422
2020-05-28,18.71710205078125
2020-05-29,18.02225112915039
2020-06-01,18.665903091430664
2020-06-02,19.075498580932617
2020-06-03,20.187253952026367
2020-06-04,20.318912506103516
2020-06-05,21.467248916625977
2020-06-08,21.81102180480957
2020-06-09,21.40142250061035
2020-06-10,20.596858978271484
2020-06-11,19.19252586364746
2020-06-12,20.09949493408203
2020-06-15,20.596858978271484
2020-06-16,20.88211441040039
2020-06-17,20.457881927490234
2020-06-18,20.479825973510742
2020-06-19,19.25103759765625
2020-06-22,19.653322219848633
2020-06-23,19.726465225219727
2020-06-24,19.009666442871094
2020-06-25,19.44852066040039
2020-06-26,19.375383377075195
2020-06-29,19.88006019592285
2020-06-30,20.158002853393555
2020-07-01,21.079599380493164
2020-07-02,20.823598861694336
2020-07-06,20.25309181213379
2020-07-07,19.784975051879883
2020-07-08,19.63869285583496
2020-07-09,19.646013259887695
2020-07-10,19.499719619750977
2020-07-13,19.258352279663086
2020-07-14,19.14864158630371
2020-07-15,19.63869285583496
2020-07-16,19.19252586364746
2020-07-17,19.828866958618164
2020-07-20,18.790241241455078
2020-07-21,18.921897888183594
2020-07-22,19.609432220458984
2020-07-23,19.441207885742188
2020-07-24,19.19252586364746
2020-07-27,19.353437423706055
2020-07-28,19.989776611328125
2020-07-29,20.406681060791016
2020-07-30,20.318912506103516
2020-07-31,19.960519790649414
2020-08-03,19.667949676513672
2020-08-04,19.975149154663086
2020-08-05,19.88006019592285
2020-08-06,20.516399383544922
2020-08-07,20.926000595092773
2020-08-10,21.23319435119629
2020-08-11,20.6407413482666
2020-08-12,20.947938919067383
2020-08-13,20.325504302978516
2020-08-14,20.0142879486084
2020-08-17,20.377376556396484
2020-08-18,20.51075553894043
2020-08-19,19.999465942382812
2020-08-20,20.31068229675293
2020-08-21,20.34032440185547
2020-08-24,20.703411102294922
2020-08-25,20.540393829345703
2020-08-26,20.229171752929688
2020-08-27,20.78491973876953
2020-08-28,21.088729858398438
2020-08-31,20.48111343383789
2020-09-01,20.347728729248047
2020-09-02,21.16282844543457
2020-09-03,21.05167579650879
2020-09-04,21.007219314575195
2020-09-08,20.56262969970703
2020-09-09,20.82196617126465
2020-09-10,20.69599723815918
2020-09-11,20.666358947753906
2020-09-14,21.31102752685547
2020-09-15,21.3332576751709
2020-09-16,21.251754760742188
2020-09-17,20.82196617126465
2020-09-18,19.71047592163086
2020-09-21,19.48076820373535
2020-09-22,19.71047592163086
2020-09-23,18.954666137695312
2020-09-24,19.25105857849121
2020-09-25,19.806808471679688
2020-09-28,20.25140380859375
2020-09-29,20.04392433166504
2020-09-30,20.118026733398438
2020-10-01,20.77751350402832
2020-10-02,21.118364334106445
2020-10-05,20.95534896850586
2020-10-06,20.933115005493164
2020-10-07,20.999814987182617
2020-10-08,21.51850128173828
2020-10-09,21.214698791503906
2020-10-12,21.12578010559082
2020-10-13,20.65154457092285
2020-10-14,20.38478660583496
2020-10-15,20.466293334960938
2020-10-16,20.02910804748535
2020-10-19,19.6660213470459
2020-10-20,20.07356834411621
2020-10-21,20.31068229675293
2020-10-22,21.09613800048828
2020-10-23,21.318437576293945
2020-10-26,20.703411102294922
2020-10-27,20.266225814819336
2020-10-28,19.695655822753906
2020-10-29,20.39219093322754
2020-10-30,19.984642028808594
2020-11-02,20.933115005493164
2020-11-03,21.14059829711914
2020-11-04,21.133190155029297
2020-11-05,21.236934661865234
2020-11-06,20.807147979736328
2020-11-09,21.57037925720215
2020-11-10,22.03571128845215
2020-11-11,21.8255558013916
2020-11-12,21.450292587280273
2020-11-13,22.298391342163086
2020-11-16,23.06393814086914
2020-11-17,23.12398338317871
2020-11-18,22.77873420715332
2020-11-19,22.96636962890625
2020-11-20,22.943851470947266
2020-11-23,22.89882469177246
2020-11-24,23.093961715698242
2020-11-25,22.89882469177246
2020-11-27,22.425989151000977
2020-11-30,21.660444259643555
2020-12-01,22.2608642578125
2020-12-02,22.14078140258789
2020-12-03,22.568586349487305
2020-12-04,22.9588623046875
2020-12-07,23.07144546508789
2020-12-08,23.176523208618164
2020-12-09,22.883811950683594
2020-12-10,22.170808792114258
2020-12-11,22.01319122314453
2020-12-14,21.675453186035156
2020-12-15,22.478527069091797
2020-12-16,22.801252365112305
2020-12-17,22.883811950683594
2020-12-18,22.388460159301758
2020-12-21,22.05071449279785
2020-12-22,22.26837158203125
2020-12-23,22.155792236328125
2020-12-24,22.335920333862305
2020-12-28,22.456008911132812
2020-12-29,22.335920333862305
2020-12-30,22.410974502563477
2020-12-31,22.688671112060547
2021-01-04,21.682950973510742
2021-01-05,21.83306121826172
2021-01-06,21.915620803833008
2021-01-07,21.330204010009766
2021-01-08,21.457796096801758
2021-01-11,21.36773109436035
2021-01-12,21.47280502319336
2021-01-13,22.095754623413086
2021-01-14,22.403467178344727
2021-01-15,22.48603057861328
2021-01-19,21.878097534179688
2021-01-20,22.636140823364258
2021-01-21,22.463512420654297
2021-01-22,22.651147842407227
2021-01-25,22.808748245239258
2021-01-26,22.613615036010742
2021-01-27,21.893102645874023
2021-01-28,22.523557662963867
2021-01-29,22.25336456298828
2021-02-01,22.801252365112305
2021-02-02,22.77123260498047
2021-02-03,22.92884063720703
2021-02-04,23.033920288085938
2021-02-05,22.891319274902344
2021-02-08,22.7111873626709
2021-02-09,22.456008911132812
2021-02-10,22.99639320373535
2021-02-11,23.416690826416016
2021-02-12,23.221555709838867
2021-02-16,22.62862777709961
2021-02-17,22.741212844848633
2021-02-18,22.688671112060547
