linha,ano,semestre,periodo,inicio_semestre,fim_semestre,dia_no_semestre,total_dias_sem,total_dias_ano
98,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,99.0,125.0,253.0
99,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,100.0,125.0,253.0
100,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,101.0,125.0,253.0
101,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,102.0,125.0,253.0
102,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,103.0,125.0,253.0
103,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,104.0,125.0,253.0
104,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,105.0,125.0,253.0
105,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,106.0,125.0,253.0
106,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,107.0,125.0,253.0
107,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,108.0,125.0,253.0
108,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,109.0,125.0,253.0
109,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,110.0,125.0,253.0
110,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,111.0,125.0,253.0
111,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,112.0,125.0,253.0
112,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,113.0,125.0,253.0
113,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,114.0,125.0,253.0
114,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,115.0,125.0,253.0
115,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,116.0,125.0,253.0
116,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,117.0,125.0,253.0
117,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,118.0,125.0,253.0
118,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,119.0,125.0,253.0
119,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,120.0,125.0,253.0
120,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,121.0,125.0,253.0
121,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,122.0,125.0,253.0
122,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,123.0,125.0,253.0
123,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,124.0,125.0,253.0
124,1990.0,2.0,1990/S2,1990-07-01,1990-12-31,125.0,125.0,253.0
125,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,1.0,128.0,254.0
126,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,2.0,128.0,254.0
127,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,3.0,128.0,254.0
128,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,4.0,128.0,254.0
129,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,5.0,128.0,254.0
130,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,6.0,128.0,254.0
131,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,7.0,128.0,254.0
132,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,8.0,128.0,254.0
133,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,9.0,128.0,254.0
134,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,10.0,128.0,254.0
135,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,11.0,128.0,254.0
136,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,12.0,128.0,254.0
137,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,13.0,128.0,254.0
138,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,14.0,128.0,254.0
139,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,15.0,128.0,254.0
140,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,16.0,128.0,254.0
141,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,17.0,128.0,254.0
142,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,18.0,128.0,254.0
143,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,19.0,128.0,254.0
144,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,20.0,128.0,254.0
145,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,21.0,128.0,254.0
146,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,22.0,128.0,254.0
147,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,23.0,128.0,254.0
148,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,24.0,128.0,254.0
149,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,25.0,128.0,254.0
150,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,26.0,128.0,254.0
151,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,27.0,128.0,254.0
152,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,28.0,128.0,254.0
153,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,29.0,128.0,254.0
154,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,30.0,128.0,254.0
155,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,31.0,128.0,254.0
156,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,32.0,128.0,254.0
157,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,33.0,128.0,254.0
158,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,34.0,128.0,254.0
159,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,35.0,128.0,254.0
160,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,36.0,128.0,254.0
161,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,37.0,128.0,254.0
162,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,38.0,128.0,254.0
163,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,39.0,128.0,254.0
164,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,40.0,128.0,254.0
165,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,41.0,128.0,254.0
166,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,42.0,128.0,254.0
167,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,43.0,128.0,254.0
168,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,44.0,128.0,254.0
169,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,45.0,128.0,254.0
170,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,46.0,128.0,254.0
171,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,47.0,128.0,254.0
172,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,48.0,128.0,254.0
173,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,49.0,128.0,254.0
174,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,50.0,128.0,254.0
175,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,51.0,128.0,254.0
176,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,52.0,128.0,254.0
177,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,53.0,128.0,254.0
178,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,54.0,128.0,254.0
179,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,55.0,128.0,254.0
180,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,56.0,128.0,254.0
181,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,57.0,128.0,254.0
182,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,58.0,128.0,254.0
183,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,59.0,128.0,254.0
184,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,60.0,128.0,254.0
185,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,61.0,128.0,254.0
186,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,62.0,128.0,254.0
187,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,63.0,128.0,254.0
188,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,64.0,128.0,254.0
189,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,65.0,128.0,254.0
190,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,66.0,128.0,254.0
191,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,67.0,128.0,254.0
192,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,68.0,128.0,254.0
193,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,69.0,128.0,254.0
194,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,70.0,128.0,254.0
195,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,71.0,128.0,254.0
196,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,72.0,128.0,254.0
197,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,73.0,128.0,254.0
198,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,74.0,128.0,254.0
199,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,75.0,128.0,254.0
200,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,76.0,128.0,254.0
201,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,77.0,128.0,254.0
202,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,78.0,128.0,254.0
203,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,79.0,128.0,254.0
204,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,80.0,128.0,254.0
205,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,81.0,128.0,254.0
206,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,82.0,128.0,254.0
207,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,83.0,128.0,254.0
208,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,84.0,128.0,254.0
209,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,85.0,128.0,254.0
210,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,86.0,128.0,254.0
211,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,87.0,128.0,254.0
212,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,88.0,128.0,254.0
213,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,89.0,128.0,254.0
214,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,90.0,128.0,254.0
215,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,91.0,128.0,254.0
216,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,92.0,128.0,254.0
217,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,93.0,128.0,254.0
218,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,94.0,128.0,254.0
219,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,95.0,128.0,254.0
220,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,96.0,128.0,254.0
221,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,97.0,128.0,254.0
222,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,98.0,128.0,254.0
223,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,99.0,128.0,254.0
224,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,100.0,128.0,254.0
225,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,101.0,128.0,254.0
226,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,102.0,128.0,254.0
227,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,103.0,128.0,254.0
228,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,104.0,128.0,254.0
229,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,105.0,128.0,254.0
230,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,106.0,128.0,254.0
231,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,107.0,128.0,254.0
232,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,108.0,128.0,254.0
233,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,109.0,128.0,254.0
234,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,110.0,128.0,254.0
235,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,111.0,128.0,254.0
236,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,112.0,128.0,254.0
237,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,113.0,128.0,254.0
238,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,114.0,128.0,254.0
239,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,115.0,128.0,254.0
240,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,116.0,128.0,254.0
241,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,117.0,128.0,254.0
242,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,118.0,128.0,254.0
243,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,119.0,128.0,254.0
244,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,120.0,128.0,254.0
245,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,121.0,128.0,254.0
246,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,122.0,128.0,254.0
247,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,123.0,128.0,254.0
248,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,124.0,128.0,254.0
249,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,125.0,128.0,254.0
250,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,126.0,128.0,254.0
251,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,127.0,128.0,254.0
252,1990.0,1.0,1990/S1,1990-01-01,1990-06-30,128.0,128.0,254.0
253,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,1.0,126.0,254.0
254,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,2.0,126.0,254.0
255,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,3.0,126.0,254.0
256,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,4.0,126.0,254.0
257,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,5.0,126.0,254.0
258,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,6.0,126.0,254.0
259,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,7.0,126.0,254.0
260,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,8.0,126.0,254.0
261,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,9.0,126.0,254.0
262,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,10.0,126.0,254.0
263,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,11.0,126.0,254.0
264,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,12.0,126.0,254.0
265,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,13.0,126.0,254.0
266,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,14.0,126.0,254.0
267,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,15.0,126.0,254.0
268,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,16.0,126.0,254.0
269,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,17.0,126.0,254.0
270,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,18.0,126.0,254.0
271,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,19.0,126.0,254.0
272,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,20.0,126.0,254.0
273,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,21.0,126.0,254.0
274,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,22.0,126.0,254.0
275,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,23.0,126.0,254.0
276,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,24.0,126.0,254.0
277,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,25.0,126.0,254.0
278,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,26.0,126.0,254.0
279,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,27.0,126.0,254.0
280,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,28.0,126.0,254.0
281,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,29.0,126.0,254.0
282,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,30.0,126.0,254.0
283,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,31.0,126.0,254.0
284,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,32.0,126.0,254.0
285,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,33.0,126.0,254.0
286,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,34.0,126.0,254.0
287,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,35.0,126.0,254.0
288,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,36.0,126.0,254.0
289,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,37.0,126.0,254.0
290,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,38.0,126.0,254.0
291,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,39.0,126.0,254.0
292,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,40.0,126.0,254.0
293,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,41.0,126.0,254.0
294,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,42.0,126.0,254.0
295,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,43.0,126.0,254.0
296,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,44.0,126.0,254.0
297,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,45.0,126.0,254.0
298,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,46.0,126.0,254.0
299,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,47.0,126.0,254.0
300,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,48.0,126.0,254.0
301,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,49.0,126.0,254.0
302,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,50.0,126.0,254.0
303,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,51.0,126.0,254.0
304,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,52.0,126.0,254.0
305,1991.0,2.0,1991/S2,1991-07-01,1991-12-31,53.0,126.0,254.0
