date,LLL
2017-03-22,169.12
2017-03-23,168.26
2017-03-24,166.92
2017-03-27,165.27
2017-03-28,166.7
2017-03-29,166.81
2017-03-30,166.66
2017-03-31,165.29
2017-04-03,164.88
2017-04-04,164.74
2017-04-05,162.41
2017-04-06,162.9
2017-04-07,165.8
2017-04-10,166.11
2017-04-11,167.26
2017-04-12,166.45
2017-04-13,166.29
2017-04-17,166.54
2017-04-18,166.11
2017-04-19,166.59
2017-04-20,168.14
2017-04-21,167.89
2017-04-24,170.15
2017-04-25,170.46
2017-04-26,171.76
2017-04-27,173.94
2017-04-28,171.77
2017-05-01,169.77
2017-05-02,169.21
2017-05-03,168.39
2017-05-04,167.99
2017-05-05,169.0
2017-05-08,166.0
2017-05-09,167.77
2017-05-10,168.53
2017-05-11,167.94
2017-05-12,165.32
2017-05-15,165.28
2017-05-16,163.69
2017-05-17,161.32
2017-05-18,160.69
2017-05-19,162.7
2017-05-22,165.47
2017-05-23,164.18
2017-05-24,164.83
2017-05-25,167.99
2017-05-26,167.14
2017-05-30,166.14
2017-05-31,168.59
2017-06-01,167.17
2017-06-02,168.44
2017-06-05,166.11
2017-06-06,163.67
2017-06-07,162.77
2017-06-08,164.32
2017-06-09,166.29
2017-06-12,166.93
2017-06-13,167.79
2017-06-14,168.37
2017-06-15,167.93
2017-06-16,166.95
2017-06-19,169.75
2017-06-20,170.26
2017-06-21,169.49
2017-06-22,168.84
2017-06-23,167.88
2017-06-26,166.41
2017-06-27,166.03
2017-06-28,168.04
2017-06-29,166.05
2017-06-30,167.08
2017-07-03,170.58
2017-07-05,171.33
2017-07-06,169.06
2017-07-07,171.51
2017-07-10,170.04
2017-07-11,169.66
2017-07-12,169.49
2017-07-13,168.99
2017-07-14,172.11
2017-07-17,171.98
2017-07-18,169.87
2017-07-19,171.96
2017-07-20,177.72
2017-07-21,176.62
2017-07-24,177.68
2017-07-25,177.31
2017-07-26,175.52
2017-07-27,176.02
2017-07-28,176.37
2017-07-31,174.97
2017-08-01,174.36
2017-08-02,174.97
2017-08-03,175.4
2017-08-04,176.0
2017-08-07,176.58
2017-08-08,178.18
