date,CHK
2017-01-30,6.46
2017-01-31,6.45
2017-02-01,6.4
2017-02-02,6.45
2017-02-03,6.57
2017-02-06,6.38
2017-02-07,6.17
2017-02-08,6.12
2017-02-09,6.31
2017-02-10,6.38
2017-02-13,6.33
2017-02-14,6.44
2017-02-15,6.32
2017-02-16,6.08
2017-02-17,6.1
2017-02-21,6.08
2017-02-22,5.92
2017-02-23,5.75
2017-02-24,5.66
2017-02-27,5.62
2017-02-28,5.45
2017-03-01,5.57
2017-03-02,5.36
2017-03-03,5.32
2017-03-06,5.35
2017-03-07,5.26
2017-03-08,4.94
2017-03-09,5.13
2017-03-10,5.15
2017-03-13,5.33
2017-03-14,5.24
2017-03-15,5.45
2017-03-16,5.45
2017-03-17,5.29
2017-03-20,5.18
2017-03-21,5.07
2017-03-22,5.0
2017-03-23,5.09
2017-03-24,5.22
2017-03-27,5.16
2017-03-28,5.39
2017-03-29,5.81
2017-03-30,5.85
2017-03-31,5.94
2017-04-03,5.92
2017-04-04,6.32
2017-04-05,6.11
2017-04-06,6.28
2017-04-07,6.2
2017-04-10,6.23
2017-04-11,6.18
2017-04-12,6.15
2017-04-13,5.89
2017-04-17,5.69
2017-04-18,5.66
2017-04-19,5.5
2017-04-20,5.56
2017-04-21,5.52
2017-04-24,5.38
2017-04-25,5.51
2017-04-26,5.47
2017-04-27,5.29
2017-04-28,5.26
2017-05-01,5.31
2017-05-02,5.32
2017-05-03,5.54
2017-05-04,5.13
2017-05-05,5.46
2017-05-08,5.55
2017-05-09,5.4
2017-05-10,5.75
2017-05-11,5.72
2017-05-12,5.63
2017-05-15,5.57
2017-05-16,5.54
2017-05-17,5.49
2017-05-18,5.57
2017-05-19,5.78
2017-05-22,5.73
2017-05-23,5.67
2017-05-24,5.55
2017-05-25,5.18
2017-05-26,5.29
2017-05-30,5.1
2017-05-31,5.06
2017-06-01,5.1
2017-06-02,4.96
2017-06-05,4.89
2017-06-06,5.04
2017-06-07,4.8
2017-06-08,4.74
2017-06-09,4.97
2017-06-12,5.06
2017-06-13,5.28
2017-06-14,5.02
2017-06-15,5.0
2017-06-16,5.1
2017-06-19,4.99
2017-06-20,4.91
2017-06-21,4.52
2017-06-22,4.5
2017-06-23,4.57
2017-06-26,4.67
2017-06-27,4.8
2017-06-28,4.86
2017-06-29,4.96
2017-06-30,4.97
2017-07-03,5.12
2017-07-05,4.78
2017-07-06,4.66
2017-07-07,4.54
2017-07-10,4.66
2017-07-11,4.72
2017-07-12,4.67
2017-07-13,4.78
2017-07-14,4.87
2017-07-17,4.85
2017-07-18,4.76
2017-07-19,4.96
2017-07-20,4.84
2017-07-21,4.69
2017-07-24,4.66
2017-07-25,4.85
2017-07-26,4.84
2017-07-27,5.06
2017-07-28,5.06
2017-07-31,4.96
2017-08-01,4.34
2017-08-02,4.62
2017-08-03,4.5
2017-08-04,4.53
2017-08-07,4.35
2017-08-08,4.4
2017-08-09,4.37
2017-08-10,4.14
2017-08-11,4.14
2017-08-14,4.07
2017-08-15,3.98
2017-08-16,4.0
2017-08-17,3.88
2017-08-18,3.96
2017-08-21,3.82
2017-08-22,3.85
2017-08-23,3.89
2017-08-24,3.86
2017-08-25,3.79
2017-08-28,3.65
2017-08-29,3.64
2017-08-30,3.61
2017-08-31,3.64
2017-09-01,3.76
2017-09-05,3.7
2017-09-06,3.76
2017-09-07,3.87
2017-09-08,3.64
2017-09-11,3.63
2017-09-12,3.74
2017-09-13,3.94
2017-09-14,4.1
2017-09-15,4.0
