Date,NOC
2021-01-26,293.1099853515625
2021-01-27,292.239990234375
2021-01-28,293.0299987792969
2021-01-29,286.6099853515625
2021-02-01,292.30999755859375
2021-02-02,300.0
2021-02-03,300.739990234375
2021-02-04,301.8500061035156
2021-02-05,298.7900085449219
2021-02-08,300.1300048828125
2021-02-09,303.7799987792969
2021-02-10,303.6300048828125
2021-02-11,299.6300048828125
2021-02-12,297.3599853515625
2021-02-16,290.8800048828125
2021-02-17,297.17999267578125
2021-02-18,297.8599853515625
2021-02-19,297.239990234375
2021-02-22,297.94000244140625
2021-02-23,298.67999267578125
2021-02-24,301.7300109863281
2021-02-25,301.8900146484375
2021-02-26,291.6600036621094
2021-03-01,293.4599914550781
2021-03-02,298.7799987792969
2021-03-03,299.1000061035156
2021-03-04,297.510009765625
2021-03-05,300.9100036621094
2021-03-08,305.6199951171875
2021-03-09,298.29998779296875
2021-03-10,300.0
2021-03-11,299.4100036621094
2021-03-12,301.7900085449219
2021-03-15,305.739990234375
2021-03-16,305.8399963378906
2021-03-17,310.57000732421875
2021-03-18,314.94000244140625
2021-03-19,308.6499938964844
2021-03-22,314.2099914550781
2021-03-23,314.1400146484375
2021-03-24,316.0299987792969
2021-03-25,321.19000244140625
2021-03-26,319.0199890136719
2021-03-29,323.1499938964844
2021-03-30,322.67999267578125
2021-03-31,323.6400146484375
2021-04-01,322.239990234375
2021-04-05,330.6499938964844
2021-04-06,331.1600036621094
2021-04-07,333.9700012207031
2021-04-08,336.1199951171875
2021-04-09,339.95001220703125
2021-04-12,340.69000244140625
2021-04-13,338.6099853515625
2021-04-14,341.82000732421875
2021-04-15,344.5899963378906
2021-04-16,346.42999267578125
2021-04-19,344.6400146484375
2021-04-20,345.1400146484375
2021-04-21,345.5199890136719
2021-04-22,343.42999267578125
2021-04-23,342.0400085449219
2021-04-26,337.79998779296875
2021-04-27,339.8699951171875
2021-04-28,338.3699951171875
2021-04-29,352.2200012207031
2021-04-30,354.44000244140625
2021-05-03,361.0
2021-05-04,368.1199951171875
2021-05-05,372.989990234375
2021-05-06,370.04998779296875
2021-05-07,370.6300048828125
2021-05-10,373.79998779296875
2021-05-11,368.29998779296875
2021-05-12,363.1499938964844
2021-05-13,370.05999755859375
2021-05-14,371.6099853515625
2021-05-17,372.8699951171875
2021-05-18,368.6199951171875
2021-05-19,370.8999938964844
2021-05-20,371.9599914550781
2021-05-21,370.4599914550781
2021-05-24,372.17999267578125
2021-05-25,369.989990234375
2021-05-26,366.7200012207031
2021-05-27,370.4599914550781
2021-05-28,365.8699951171875
2021-06-01,365.6199951171875
2021-06-02,367.2099914550781
2021-06-03,366.510009765625
2021-06-04,377.510009765625
2021-06-07,371.8399963378906
2021-06-08,371.1099853515625
2021-06-09,372.6000061035156
2021-06-10,372.510009765625
2021-06-11,375.05999755859375
2021-06-14,372.2300109863281
2021-06-15,375.0
2021-06-16,372.2099914550781
2021-06-17,368.70001220703125
2021-06-18,367.19000244140625
2021-06-21,373.2900085449219
2021-06-22,372.57000732421875
2021-06-23,370.2799987792969
2021-06-24,369.67999267578125
2021-06-25,373.30999755859375
2021-06-28,370.2099914550781
2021-06-29,360.30999755859375
2021-06-30,363.42999267578125
2021-07-01,367.6199951171875
2021-07-02,369.20001220703125
2021-07-06,367.6499938964844
2021-07-07,371.260009765625
2021-07-08,369.94000244140625
2021-07-09,371.82000732421875
2021-07-12,370.3299865722656
2021-07-13,367.3900146484375
2021-07-14,363.94000244140625
2021-07-15,364.1199951171875
2021-07-16,362.80999755859375
2021-07-19,355.0
2021-07-20,359.9700012207031
2021-07-21,361.4599914550781
2021-07-22,359.260009765625
2021-07-23,361.30999755859375
2021-07-26,358.260009765625
2021-07-27,362.20001220703125
2021-07-28,360.1099853515625
2021-07-29,365.6600036621094
2021-07-30,363.0199890136719
2021-08-02,361.8399963378906
2021-08-03,364.44000244140625
2021-08-04,357.25
2021-08-05,358.7200012207031
2021-08-06,362.1099853515625
2021-08-09,360.989990234375
2021-08-10,362.67999267578125
2021-08-11,366.1000061035156
2021-08-12,363.8599853515625
2021-08-13,363.1099853515625
2021-08-16,368.6199951171875
2021-08-17,368.6300048828125
2021-08-18,363.1600036621094
2021-08-19,361.0899963378906
2021-08-20,363.0
2021-08-23,362.9200134277344
2021-08-24,362.7699890136719
2021-08-25,362.6600036621094
2021-08-26,366.760009765625
2021-08-27,364.8399963378906
2021-08-30,367.6199951171875
2021-08-31,367.70001220703125
2021-09-01,364.9800109863281
2021-09-02,368.29998779296875
2021-09-03,365.92999267578125
2021-09-07,358.8800048828125
2021-09-08,360.3999938964844
2021-09-09,356.7799987792969
2021-09-10,354.1000061035156
2021-09-13,353.70001220703125
2021-09-14,351.7300109863281
2021-09-15,355.739990234375
2021-09-16,349.6600036621094
2021-09-17,350.239990234375
2021-09-20,348.80999755859375
2021-09-21,345.1400146484375
2021-09-22,348.5199890136719
2021-09-23,350.9100036621094
2021-09-24,355.70001220703125
2021-09-27,357.2099914550781
2021-09-28,358.29998779296875
2021-09-29,362.9800109863281
2021-09-30,360.1499938964844
2021-10-01,360.9200134277344
2021-10-04,365.6700134277344
2021-10-05,369.8800048828125
2021-10-06,377.32000732421875
2021-10-07,382.70001220703125
2021-10-08,389.7200012207031
2021-10-11,393.1600036621094
2021-10-12,390.07000732421875
2021-10-13,388.70001220703125
2021-10-14,389.94000244140625
2021-10-15,395.3599853515625
2021-10-18,393.8900146484375
2021-10-19,399.29998779296875
2021-10-20,400.8800048828125
2021-10-21,402.7699890136719
2021-10-22,406.2099914550781
2021-10-25,406.6199951171875
2021-10-26,396.57000732421875
2021-10-27,388.1499938964844
2021-10-28,358.6400146484375
2021-10-29,357.2200012207031
2021-11-01,354.8500061035156
2021-11-02,353.20001220703125
2021-11-03,354.1099853515625
2021-11-04,356.6600036621094
2021-11-05,364.3699951171875
2021-11-08,363.2699890136719
2021-11-09,364.5199890136719
2021-11-10,362.1000061035156
2021-11-11,359.94000244140625
2021-11-12,359.6499938964844
2021-11-15,360.0
2021-11-16,354.6000061035156
2021-11-17,353.9599914550781
2021-11-18,351.4200134277344
2021-11-19,353.1300048828125
2021-11-22,363.1499938964844
2021-11-23,364.2099914550781
2021-11-24,361.3699951171875
2021-11-26,353.9800109863281
2021-11-29,356.3900146484375
2021-11-30,348.79998779296875
2021-12-01,345.9800109863281
2021-12-02,352.57000732421875
2021-12-03,357.8399963378906
2021-12-06,363.9599914550781
2021-12-07,362.6700134277344
2021-12-08,364.0899963378906
2021-12-09,367.8599853515625
2021-12-10,371.05999755859375
2021-12-13,377.3299865722656
2021-12-14,376.2200012207031
2021-12-15,378.82000732421875
2021-12-16,378.7200012207031
2021-12-17,377.4599914550781
2021-12-20,369.95001220703125
2021-12-21,378.489990234375
2021-12-22,379.80999755859375
2021-12-23,381.1700134277344
2021-12-27,384.2099914550781
2021-12-28,385.3299865722656
2021-12-29,384.989990234375
2021-12-30,384.5299987792969
2021-12-31,387.07000732421875
2022-01-03,385.5299987792969
2022-01-04,396.989990234375
2022-01-05,394.989990234375
2022-01-06,397.2699890136719
2022-01-07,400.4200134277344
2022-01-10,402.2300109863281
2022-01-11,400.6000061035156
2022-01-12,395.5299987792969
2022-01-13,397.6099853515625
2022-01-14,403.45001220703125
2022-01-18,401.6300048828125
2022-01-19,401.6499938964844
2022-01-20,397.4100036621094
2022-01-21,398.80999755859375
2022-01-24,403.05999755859375
2022-01-25,403.17999267578125
2022-01-26,403.2300109863281
2022-01-27,373.989990234375
2022-01-28,380.20001220703125
2022-01-31,369.8999938964844
2022-02-01,370.5799865722656
2022-02-02,370.9800109863281
2022-02-03,373.80999755859375
2022-02-04,369.75
2022-02-07,373.1600036621094
2022-02-08,379.32000732421875
2022-02-09,384.3599853515625
2022-02-10,382.0199890136719
2022-02-11,399.32000732421875
2022-02-14,390.6000061035156
2022-02-15,384.7699890136719
2022-02-16,393.6600036621094
2022-02-17,398.1099853515625
2022-02-18,391.25
2022-02-22,390.7300109863281
