Date,DELL
2024-12-11,118.69000244140625
2024-12-12,119.18000030517578
2024-12-13,118.44999694824219
2024-12-16,119.2699966430664
2024-12-17,118.27999877929688
2024-12-18,112.66999816894531
2024-12-19,111.95999908447266
2024-12-20,115.7699966430664
2024-12-23,118.81999969482422
2024-12-24,118.94000244140625
2024-12-26,119.27999877929688
2024-12-27,117.33000183105469
2024-12-30,114.81999969482422
2024-12-31,115.23999786376953
2025-01-02,116.52999877929688
2025-01-03,119.91000366210938
2025-01-06,124.66000366210938
2025-01-07,121.2699966430664
2025-01-08,119.30999755859375
2025-01-10,114.7699966430664
2025-01-13,110.16999816894531
2025-01-14,109.05999755859375
2025-01-15,109.2300033569336
2025-01-16,110.11000061035156
2025-01-17,109.63999938964844
2025-01-21,111.55000305175781
2025-01-22,115.12000274658203
2025-01-23,114.22000122070312
2025-01-24,113.7300033569336
2025-01-27,103.83999633789062
2025-01-28,101.29000091552734
2025-01-29,103.0999984741211
2025-01-30,105.3499984741211
2025-01-31,103.5999984741211
2025-02-03,100.08999633789062
2025-02-04,101.66999816894531
2025-02-05,104.44999694824219
2025-02-06,105.91999816894531
2025-02-07,106.37000274658203
2025-02-10,112.30999755859375
2025-02-11,111.44000244140625
2025-02-12,112.91999816894531
2025-02-13,110.26000213623047
2025-02-14,114.37999725341797
2025-02-18,120.33999633789062
2025-02-19,120.95999908447266
2025-02-20,119.88999938964844
2025-02-21,117.5999984741211
2025-02-24,114.13999938964844
2025-02-25,110.6500015258789
2025-02-26,115.6500015258789
2025-02-27,107.83000183105469
2025-02-28,102.76000213623047
2025-03-03,95.55999755859375
2025-03-04,94.06999969482422
2025-03-05,97.25
2025-03-06,93.0199966430664
2025-03-07,91.45999908447266
2025-03-10,90.33999633789062
2025-03-11,91.56999969482422
2025-03-12,94.58000183105469
2025-03-13,92.44999694824219
2025-03-14,95.66999816894531
2025-03-17,97.66000366210938
2025-03-18,96.44000244140625
2025-03-19,98.72000122070312
2025-03-20,98.91999816894531
2025-03-21,97.56999969482422
2025-03-24,99.80999755859375
2025-03-25,98.86000061035156
2025-03-26,96.26000213623047
2025-03-27,97.0999984741211
2025-03-28,92.29000091552734
2025-03-31,91.1500015258789
2025-04-01,91.95999908447266
2025-04-02,95.33000183105469
2025-04-03,77.2300033569336
2025-04-04,71.62999725341797
2025-04-07,75.0
2025-04-08,72.58999633789062
2025-04-09,84.19000244140625
2025-04-10,78.94000244140625
2025-04-11,81.93000030517578
2025-04-14,85.19000244140625
2025-04-15,85.48999786376953
2025-04-16,83.36000061035156
2025-04-17,84.80000305175781
2025-04-21,82.38999938964844
2025-04-22,84.08000183105469
2025-04-23,89.16000366210938
2025-04-24,94.4000015258789
2025-04-25,94.88999938964844
2025-04-28,94.47000122070312
2025-04-29,93.77999877929688
2025-04-30,91.76000213623047
2025-05-01,91.94999694824219
2025-05-02,94.58999633789062
2025-05-05,94.36000061035156
2025-05-06,93.94999694824219
2025-05-07,95.79000091552734
2025-05-08,96.22000122070312
2025-05-09,95.91000366210938
2025-05-12,103.41999816894531
2025-05-13,107.8499984741211
2025-05-14,111.0199966430664
2025-05-15,110.87000274658203
2025-05-16,114.19000244140625
2025-05-19,114.27999877929688
2025-05-20,114.2300033569336
2025-05-21,111.93000030517578
2025-05-22,111.94999694824219
2025-05-23,112.11000061035156
2025-05-27,113.98999786376953
2025-05-28,113.7699966430664
2025-05-29,113.62999725341797
2025-05-30,111.2699966430664
2025-06-02,108.08000183105469
2025-06-03,111.9000015258789
2025-06-04,112.69999694824219
2025-06-05,111.81999969482422
2025-06-06,113.75
2025-06-09,114.22000122070312
2025-06-10,113.25
2025-06-11,111.23999786376953
2025-06-12,113.4000015258789
2025-06-13,109.55999755859375
2025-06-16,113.73999786376953
2025-06-17,115.93000030517578
2025-06-18,116.55999755859375
2025-06-20,119.37000274658203
2025-06-23,118.0199966430664
2025-06-24,120.58999633789062
2025-06-25,120.45999908447266
2025-06-26,125.9800033569336
2025-06-27,123.98999786376953
2025-06-30,122.5999984741211
2025-07-01,121.7300033569336
2025-07-02,123.4800033569336
2025-07-03,125.22000122070312
2025-07-07,124.7699966430664
2025-07-08,124.38999938964844
2025-07-09,126.62999725341797
2025-07-10,127.91000366210938
2025-07-11,126.83000183105469
2025-07-14,125.66999816894531
2025-07-15,125.69000244140625
2025-07-16,123.56999969482422
2025-07-17,123.87999725341797
2025-07-18,131.24000549316406
2025-07-21,128.9600067138672
2025-07-22,124.33000183105469
2025-07-23,127.22000122070312
2025-07-24,128.35000610351562
2025-07-25,131.22000122070312
2025-07-28,133.86000061035156
2025-07-29,133.50999450683594
2025-07-30,133.5399932861328
2025-07-31,132.69000244140625
2025-08-01,127.31999969482422
2025-08-04,130.22999572753906
