Date,UPS
2016-03-14,101.29000091552734
2016-03-15,101.41999816894531
2016-03-16,101.66999816894531
2016-03-17,103.75
2016-03-18,104.98999786376953
2016-03-21,105.1500015258789
2016-03-22,104.86000061035156
2016-03-23,104.87999725341797
2016-03-24,105.43000030517578
2016-03-28,105.05999755859375
2016-03-29,106.0999984741211
2016-03-30,105.7300033569336
2016-03-31,105.47000122070312
2016-04-01,104.94999694824219
2016-04-04,104.87999725341797
2016-04-05,103.91999816894531
2016-04-06,104.66999816894531
2016-04-07,103.98999786376953
2016-04-08,104.30999755859375
2016-04-11,103.86000061035156
2016-04-12,105.2300033569336
2016-04-13,105.54000091552734
2016-04-14,105.08000183105469
2016-04-15,105.54000091552734
2016-04-18,106.18000030517578
2016-04-19,106.83999633789062
2016-04-20,106.16999816894531
2016-04-21,104.98999786376953
2016-04-22,105.5199966430664
2016-04-25,105.06999969482422
2016-04-26,106.2300033569336
2016-04-27,106.45999908447266
2016-04-28,104.91000366210938
2016-04-29,105.06999969482422
2016-05-02,104.76000213623047
2016-05-03,104.37999725341797
2016-05-04,103.11000061035156
2016-05-05,102.13999938964844
2016-05-06,102.11000061035156
2016-05-09,102.69000244140625
2016-05-10,103.6500015258789
2016-05-11,102.44999694824219
2016-05-12,101.79000091552734
2016-05-13,100.66000366210938
2016-05-16,101.6500015258789
2016-05-17,101.08999633789062
2016-05-18,101.30000305175781
2016-05-19,101.29000091552734
2016-05-20,101.51000213623047
2016-05-23,101.08999633789062
2016-05-24,101.9800033569336
2016-05-25,102.30000305175781
2016-05-26,102.44999694824219
2016-05-27,102.9800033569336
2016-05-31,103.08999633789062
2016-06-01,102.88999938964844
2016-06-02,103.05000305175781
2016-06-03,103.12000274658203
2016-06-06,103.11000061035156
2016-06-07,103.87000274658203
2016-06-08,104.69000244140625
2016-06-09,104.97000122070312
2016-06-10,104.5199966430664
2016-06-13,103.63999938964844
2016-06-14,103.7300033569336
2016-06-15,103.88999938964844
2016-06-16,104.20999908447266
2016-06-17,105.0199966430664
2016-06-20,106.0999984741211
2016-06-21,106.66999816894531
2016-06-22,105.94999694824219
2016-06-23,107.22000122070312
2016-06-24,104.41000366210938
2016-06-27,103.7699966430664
2016-06-28,104.69000244140625
2016-06-29,106.33999633789062
2016-06-30,107.72000122070312
2016-07-01,108.36000061035156
2016-07-05,108.44999694824219
2016-07-06,107.72000122070312
