Date,LLY
2018-11-21,101.93495178222656
2018-11-23,102.51625061035156
2018-11-26,102.07118225097656
2018-11-27,103.7424087524414
2018-11-28,104.93225860595703
2018-11-29,106.26737976074219
2018-11-30,107.75695037841797
2018-12-03,107.64793395996094
2018-12-04,105.8313980102539
2018-12-06,105.21379089355469
2018-12-07,103.16111755371094
2018-12-10,103.62432861328125
2018-12-11,103.99671173095703
2018-12-12,103.85139465332031
2018-12-13,104.32368469238281
2018-12-14,101.66246032714844
2018-12-17,98.41996002197266
2018-12-18,96.7305908203125
2018-12-19,99.10115814208984
2018-12-20,99.2646255493164
2018-12-21,99.3826904296875
2018-12-24,96.95765686035156
2018-12-26,100.8995132446289
2018-12-27,102.53438568115234
2018-12-28,103.72423553466797
2018-12-31,105.10481262207031
2019-01-02,104.34187316894531
2019-01-03,101.09932708740234
2019-01-04,104.14205169677734
2019-01-07,104.70518493652344
2019-01-08,105.66792297363281
2019-01-09,106.4581298828125
2019-01-10,105.30462646484375
2019-01-11,105.52262115478516
2019-01-14,104.16020965576172
2019-01-15,106.34912872314453
2019-01-16,106.08573150634766
2019-01-17,108.229248046875
2019-01-18,105.89498901367188
2019-01-22,106.34912872314453
2019-01-23,107.89317321777344
2019-01-24,104.4417724609375
2019-01-25,104.42359924316406
2019-01-28,104.47809600830078
2019-01-29,105.09571075439453
2019-01-30,106.21289825439453
2019-01-31,108.86502838134766
2019-02-01,109.80054473876953
2019-02-04,109.14659118652344
2019-02-05,109.38275909423828
2019-02-06,108.32915496826172
2019-02-07,106.72152709960938
2019-02-08,108.62889099121094
2019-02-11,107.18475341796875
2019-02-12,108.52898406982422
2019-02-13,108.67430114746094
2019-02-14,110.267822265625
2019-02-15,111.84764099121094
2019-02-19,111.52799987792969
2019-02-20,112.01201629638672
2019-02-21,112.06681060791016
2019-02-22,113.23570251464844
2019-02-25,113.13520812988281
2019-02-26,113.84750366210938
2019-02-27,114.76985168457031
2019-02-28,115.326904296875
2019-03-01,117.655517578125
2019-03-04,116.39532470703125
2019-03-05,117.33592224121094
2019-03-06,115.68302917480469
2019-03-07,115.37256622314453
2019-03-08,115.7012939453125
2019-03-11,112.77909851074219
2019-03-12,112.77909851074219
2019-03-13,113.5187759399414
2019-03-14,112.39556121826172
2019-03-15,113.18089294433594
2019-03-18,114.36803436279297
2019-03-19,115.60087585449219
2019-03-20,117.03455352783203
2019-03-21,117.17153930664062
2019-03-22,117.16241455078125
2019-03-25,118.59613800048828
2019-03-26,119.64627838134766
2019-03-27,117.59161376953125
2019-03-28,117.75596618652344
2019-03-29,118.49567413330078
2019-04-01,117.8473129272461
2019-04-02,118.09388732910156
2019-04-03,116.02092742919922
2019-04-04,114.7059097290039
2019-04-05,115.96612548828125
2019-04-08,116.12137603759766
2019-04-09,116.19441223144531
2019-04-10,116.14876556396484
2019-04-11,114.28587341308594
2019-04-12,112.37728881835938
2019-04-15,113.30876159667969
2019-04-16,109.54639434814453
2019-04-17,106.38674926757812
2019-04-18,105.19960021972656
2019-04-22,105.4461669921875
2019-04-23,107.29080963134766
2019-04-24,107.75651550292969
2019-04-25,107.96656036376953
2019-04-26,109.46420288085938
2019-04-29,109.21764373779297
2019-04-30,106.87989807128906
2019-05-01,107.92091369628906
2019-05-02,108.17658233642578
2019-05-03,106.76116180419922
2019-05-06,106.52374267578125
2019-05-07,104.96216583251953
2019-05-08,106.15845489501953
2019-05-09,105.7475357055664
2019-05-10,106.13105773925781
2019-05-13,104.4416732788086
2019-05-14,104.96216583251953
2019-05-15,105.5831527709961
2019-05-16,107.19479370117188
2019-05-17,106.53360748291016
2019-05-20,106.73562622070312
2019-05-21,107.05706787109375
2019-05-22,108.34268951416016
2019-05-23,107.26823425292969
2019-05-24,107.2498779296875
2019-05-28,106.30399322509766
2019-05-29,106.05608367919922
2019-05-30,106.43258666992188
2019-05-31,106.46932983398438
2019-06-03,107.23152160644531
2019-06-04,107.95699310302734
2019-06-05,107.46110534667969
