Date,OXY
2017-11-30,56.818328857421875
2017-12-01,56.60878372192383
2017-12-04,56.463706970214844
2017-12-05,56.41535568237305
2017-12-06,55.8270263671875
2017-12-07,55.939857482910156
2017-12-08,56.1273078918457
2017-12-11,56.640724182128906
2017-12-12,57.072662353515625
2017-12-13,57.02377700805664
2017-12-14,57.49645233154297
2017-12-15,57.55351638793945
2017-12-18,57.838748931884766
2017-12-19,57.781707763671875
2017-12-20,58.580360412597656
2017-12-21,59.1508674621582
2017-12-22,59.48500442504883
2017-12-26,59.9332275390625
2017-12-27,59.75393295288086
2017-12-28,60.063621520996094
2017-12-29,60.03102493286133
2018-01-02,60.29179763793945
2018-01-03,61.12309265136719
2018-01-04,61.09048843383789
2018-01-05,60.75636672973633
2018-01-08,61.2779426574707
2018-01-09,61.033447265625
2018-01-10,60.511844635009766
2018-01-11,61.79136657714844
2018-01-12,62.36998748779297
2018-01-16,61.343135833740234
2018-01-17,61.823970794677734
2018-01-18,61.44093704223633
2018-01-19,61.57133865356445
2018-01-22,63.266475677490234
2018-01-23,63.09531784057617
2018-01-24,63.209434509277344
2018-01-25,62.54115295410156
2018-01-26,62.89973449707031
2018-01-29,62.13365173339844
2018-01-30,60.927494049072266
2018-01-31,61.09865951538086
2018-02-01,62.01958465576172
2018-02-02,59.9658317565918
2018-02-05,57.78985595703125
2018-02-06,58.0424919128418
2018-02-07,56.9422721862793
2018-02-08,55.801307678222656
2018-02-09,55.56496810913086
2018-02-12,56.9422721862793
2018-02-13,56.82004165649414
2018-02-14,56.92597198486328
2018-02-15,56.58369827270508
2018-02-16,55.54867172241211
2018-02-20,55.41011047363281
2018-02-21,54.774436950683594
2018-02-22,55.35306930541992
2018-02-23,55.67906951904297
2018-02-26,54.82333755493164
2018-02-27,54.3995475769043
2018-02-28,53.46232986450195
2018-03-01,53.486778259277344
2018-03-02,53.494930267333984
2018-03-05,53.723121643066406
2018-03-06,53.511234283447266
2018-03-07,53.12820816040039
2018-03-08,51.92410659790039
2018-03-09,52.50965118408203
2018-03-12,52.69108963012695
2018-03-13,52.946754455566406
2018-03-14,52.81480407714844
2018-03-15,52.707584381103516
2018-03-16,53.152923583984375
2018-03-19,52.493160247802734
2018-03-20,52.707584381103516
2018-03-21,54.464229583740234
2018-03-22,53.75498580932617
2018-03-23,54.01063537597656
2018-03-26,55.4208984375
2018-03-27,54.28279495239258
2018-03-28,52.08080291748047
2018-03-29,53.57353973388672
2018-04-02,53.33435821533203
2018-04-03,54.9508171081543
2018-04-04,54.94256591796875
2018-04-05,55.8909912109375
2018-04-06,55.69306564331055
2018-04-09,56.847652435302734
2018-04-10,58.15072250366211
2018-04-11,59.115631103515625
2018-04-12,59.19810104370117
2018-04-13,60.72383117675781
