Date,MLM
2019-05-03,221.44000244140625
2019-05-06,220.80999755859375
2019-05-07,220.24000549316406
2019-05-08,216.13999938964844
2019-05-09,216.94000244140625
2019-05-10,215.8699951171875
2019-05-13,212.49000549316406
2019-05-14,215.67999267578125
2019-05-15,217.30999755859375
2019-05-16,219.61000061035156
2019-05-17,217.52999877929688
2019-05-20,217.7100067138672
2019-05-21,220.32000732421875
2019-05-22,215.41000366210938
2019-05-23,212.72999572753906
2019-05-24,212.1199951171875
2019-05-28,208.55999755859375
2019-05-29,210.3800048828125
2019-05-30,212.55999755859375
2019-05-31,210.5
2019-06-03,216.25
2019-06-04,223.66000366210938
2019-06-05,225.85000610351562
2019-06-06,229.38999938964844
2019-06-07,230.6300048828125
2019-06-10,229.52000427246094
2019-06-11,220.94000244140625
2019-06-12,219.52000427246094
2019-06-13,222.57000732421875
2019-06-14,223.97999572753906
2019-06-17,224.42999267578125
2019-06-18,221.35000610351562
2019-06-19,222.22000122070312
2019-06-20,224.00999450683594
2019-06-21,224.92999267578125
2019-06-24,224.94000244140625
2019-06-25,224.64999389648438
2019-06-26,224.16000366210938
2019-06-27,226.72000122070312
2019-06-28,230.11000061035156
2019-07-01,228.08999633789062
2019-07-02,226.7100067138672
2019-07-03,231.02000427246094
2019-07-05,230.83999633789062
2019-07-08,229.0
2019-07-09,228.94000244140625
2019-07-10,226.00999450683594
2019-07-11,225.0
2019-07-12,226.5
2019-07-15,224.99000549316406
2019-07-16,230.1300048828125
2019-07-17,228.4199981689453
2019-07-18,225.52999877929688
2019-07-19,224.32000732421875
2019-07-22,221.05999755859375
2019-07-23,223.52999877929688
2019-07-24,226.75
2019-07-25,221.8800048828125
2019-07-26,223.82000732421875
2019-07-29,223.99000549316406
2019-07-30,246.33999633789062
2019-07-31,247.75
2019-08-01,244.49000549316406
2019-08-02,246.0500030517578
2019-08-05,245.97999572753906
2019-08-06,247.1699981689453
2019-08-07,245.0800018310547
2019-08-08,250.97999572753906
2019-08-09,249.41000366210938
2019-08-12,248.5
2019-08-13,251.42999267578125
2019-08-14,248.83999633789062
2019-08-15,250.0800018310547
2019-08-16,254.83999633789062
2019-08-19,255.3800048828125
2019-08-20,252.7100067138672
2019-08-21,253.25
2019-08-22,255.11000061035156
2019-08-23,252.3300018310547
2019-08-26,250.75999450683594
2019-08-27,250.2100067138672
2019-08-28,252.1699981689453
2019-08-29,253.25999450683594
2019-08-30,253.77000427246094
2019-09-03,261.0400085449219
2019-09-04,260.70001220703125
2019-09-05,255.72000122070312
2019-09-06,258.0299987792969
2019-09-09,253.10000610351562
2019-09-10,256.82000732421875
2019-09-11,258.4599914550781
2019-09-12,261.2699890136719
2019-09-13,264.0400085449219
2019-09-16,263.19000244140625
2019-09-17,267.2699890136719
2019-09-18,268.239990234375
2019-09-19,268.69000244140625
2019-09-20,266.4100036621094
2019-09-23,266.8500061035156
2019-09-24,268.17999267578125
2019-09-25,270.6099853515625
2019-09-26,273.5899963378906
2019-09-27,270.7200012207031
2019-09-30,274.1000061035156
2019-10-01,268.0400085449219
2019-10-02,261.0199890136719
2019-10-03,259.7900085449219
2019-10-04,261.92999267578125
2019-10-07,262.1099853515625
2019-10-08,262.95001220703125
2019-10-09,266.1000061035156
2019-10-10,267.8699951171875
2019-10-11,265.42999267578125
2019-10-14,265.7200012207031
2019-10-15,265.8299865722656
2019-10-16,266.6499938964844
2019-10-17,267.0199890136719
2019-10-18,265.7799987792969
2019-10-21,268.6099853515625
2019-10-22,267.7099914550781
2019-10-23,264.05999755859375
2019-10-24,264.8999938964844
2019-10-25,268.3299865722656
2019-10-28,269.04998779296875
2019-10-29,268.1600036621094
2019-10-30,266.8500061035156
2019-10-31,261.9100036621094
2019-11-01,263.3500061035156
2019-11-04,260.8599853515625
2019-11-05,253.3000030517578
2019-11-06,256.6000061035156
2019-11-07,257.54998779296875
2019-11-08,256.8999938964844
2019-11-11,256.0199890136719
2019-11-12,255.24000549316406
2019-11-13,257.3900146484375
2019-11-14,261.44000244140625
2019-11-15,260.42999267578125
2019-11-18,260.70001220703125
2019-11-19,261.6600036621094
2019-11-20,263.0799865722656
2019-11-21,260.4800109863281
2019-11-22,259.3299865722656
2019-11-25,261.75
2019-11-26,269.05999755859375
2019-11-27,271.8900146484375
2019-11-29,268.3999938964844
2019-12-02,268.010009765625
2019-12-03,270.6499938964844
2019-12-04,269.5299987792969
2019-12-05,272.69000244140625
2019-12-06,273.32000732421875
2019-12-09,270.8399963378906
2019-12-10,268.8399963378906
2019-12-11,272.2300109863281
2019-12-12,275.0299987792969
2019-12-13,276.29998779296875
2019-12-16,274.5899963378906
2019-12-17,274.2200012207031
2019-12-18,274.5400085449219
2019-12-19,272.9599914550781
2019-12-20,273.239990234375
2019-12-23,271.1000061035156
2019-12-24,274.5400085449219
2019-12-26,278.69000244140625
2019-12-27,278.7099914550781
2019-12-30,277.95001220703125
2019-12-31,279.6400146484375
2020-01-02,276.6099853515625
2020-01-03,275.7900085449219
2020-01-06,276.6400146484375
2020-01-07,276.0199890136719
2020-01-08,276.9599914550781
2020-01-09,277.6099853515625
2020-01-10,276.8699951171875
2020-01-13,272.1499938964844
2020-01-14,260.75
2020-01-15,262.19000244140625
2020-01-16,263.010009765625
2020-01-17,266.739990234375
2020-01-21,267.760009765625
2020-01-22,265.2300109863281
2020-01-23,267.8699951171875
2020-01-24,263.8900146484375
2020-01-27,259.5400085449219
2020-01-28,265.54998779296875
2020-01-29,260.6499938964844
2020-01-30,266.70001220703125
2020-01-31,263.79998779296875
2020-02-03,272.3699951171875
2020-02-04,272.42999267578125
2020-02-05,277.20001220703125
2020-02-06,274.17999267578125
2020-02-07,274.1000061035156
2020-02-10,276.7900085449219
2020-02-11,262.760009765625
2020-02-12,260.0
2020-02-13,262.67999267578125
2020-02-14,263.4800109863281
2020-02-18,257.20001220703125
2020-02-19,258.6700134277344
2020-02-20,258.0799865722656
2020-02-21,251.4199981689453
2020-02-24,249.47999572753906
2020-02-25,239.1300048828125
2020-02-26,234.69000244140625
2020-02-27,230.97999572753906
2020-02-28,227.52999877929688
2020-03-02,236.89999389648438
2020-03-03,238.94000244140625
2020-03-04,252.75
2020-03-05,243.6199951171875
2020-03-06,238.75
2020-03-09,213.22000122070312
2020-03-10,217.3699951171875
2020-03-11,206.50999450683594
2020-03-12,185.72000122070312
2020-03-13,198.25
2020-03-16,171.38999938964844
2020-03-17,172.66000366210938
2020-03-18,149.82000732421875
2020-03-19,168.24000549316406
2020-03-20,153.6199951171875
2020-03-23,144.1199951171875
2020-03-24,160.4199981689453
2020-03-25,182.07000732421875
2020-03-26,194.9199981689453
2020-03-27,181.22000122070312
2020-03-30,179.52000427246094
2020-03-31,189.22999572753906
2020-04-01,186.1199951171875
2020-04-02,180.35000610351562
2020-04-03,169.50999450683594
2020-04-06,176.9600067138672
2020-04-07,185.4199981689453
2020-04-08,196.77000427246094
2020-04-09,208.19000244140625
2020-04-13,197.57000732421875
2020-04-14,203.19000244140625
2020-04-15,194.14999389648438
2020-04-16,187.44000244140625
2020-04-17,198.8699951171875
2020-04-20,188.63999938964844
2020-04-21,179.25
2020-04-22,177.0500030517578
2020-04-23,177.74000549316406
2020-04-24,177.35000610351562
2020-04-27,182.00999450683594
2020-04-28,189.1199951171875
2020-04-29,197.83999633789062
2020-04-30,190.22999572753906
2020-05-01,186.58999633789062
2020-05-04,190.64999389648438
2020-05-05,181.50999450683594
2020-05-06,174.49000549316406
2020-05-07,179.69000244140625
2020-05-08,176.58999633789062
2020-05-11,170.52999877929688
2020-05-12,169.44000244140625
2020-05-13,160.6300048828125
2020-05-14,169.00999450683594
2020-05-15,168.07000732421875
2020-05-18,180.8699951171875
2020-05-19,174.85000610351562
2020-05-20,179.10000610351562
2020-05-21,178.6300048828125
2020-05-22,179.69000244140625
2020-05-26,188.99000549316406
2020-05-27,202.3699951171875
2020-05-28,197.4499969482422
2020-05-29,192.08999633789062
2020-06-01,195.9600067138672
2020-06-02,204.77999877929688
2020-06-03,209.9199981689453
2020-06-04,211.5
2020-06-05,225.42999267578125
2020-06-08,222.14999389648438
2020-06-09,208.85000610351562
2020-06-10,204.58999633789062
2020-06-11,188.88999938964844
2020-06-12,197.0500030517578
2020-06-15,199.19000244140625
2020-06-16,214.1300048828125
2020-06-17,210.72999572753906
2020-06-18,212.00999450683594
2020-06-19,211.02000427246094
2020-06-22,209.74000549316406
2020-06-23,211.9600067138672
2020-06-24,206.49000549316406
2020-06-25,205.8300018310547
2020-06-26,202.7899932861328
2020-06-29,206.5
2020-06-30,206.57000732421875
2020-07-01,208.97000122070312
2020-07-02,213.49000549316406
2020-07-06,216.33999633789062
2020-07-07,212.57000732421875
2020-07-08,208.88999938964844
2020-07-09,206.7100067138672
2020-07-10,210.14999389648438
2020-07-13,210.41000366210938
2020-07-14,214.77000427246094
2020-07-15,222.0399932861328
2020-07-16,223.08999633789062
2020-07-17,223.5500030517578
2020-07-20,221.44000244140625
2020-07-21,225.69000244140625
2020-07-22,224.3300018310547
2020-07-23,223.42999267578125
2020-07-24,223.64999389648438
2020-07-27,228.0
2020-07-28,212.39999389648438
2020-07-29,214.1300048828125
2020-07-30,209.1999969482422
2020-07-31,207.17999267578125
2020-08-03,208.0800018310547
2020-08-04,212.27999877929688
2020-08-05,216.85000610351562
2020-08-06,213.0800018310547
2020-08-07,220.0
2020-08-10,223.41000366210938
2020-08-11,225.5500030517578
2020-08-12,221.1199951171875
2020-08-13,219.6300048828125
2020-08-14,219.3300018310547
2020-08-17,216.4199981689453
2020-08-18,214.88999938964844
2020-08-19,212.19000244140625
2020-08-20,209.19000244140625
2020-08-21,209.66000366210938
2020-08-24,212.0399932861328
2020-08-25,211.3000030517578
2020-08-26,208.47000122070312
2020-08-27,209.0800018310547
2020-08-28,207.32000732421875
2020-08-31,202.8699951171875
2020-09-01,207.86000061035156
2020-09-02,212.57000732421875
2020-09-03,211.0399932861328
2020-09-04,215.11000061035156
2020-09-08,206.92999267578125
2020-09-09,203.4499969482422
2020-09-10,207.3300018310547
2020-09-11,209.9199981689453
2020-09-14,216.47999572753906
2020-09-15,218.10000610351562
2020-09-16,224.9499969482422
2020-09-17,226.97999572753906
2020-09-18,225.22000122070312
2020-09-21,218.30999755859375
2020-09-22,221.47000122070312
2020-09-23,220.0
2020-09-24,220.9199981689453
2020-09-25,226.07000732421875
2020-09-28,231.8800048828125
2020-09-29,231.05999755859375
2020-09-30,235.36000061035156
2020-10-01,234.8699951171875
2020-10-02,240.5500030517578
2020-10-05,249.17999267578125
2020-10-06,249.63999938964844
2020-10-07,264.760009765625
2020-10-08,275.82000732421875
2020-10-09,273.1000061035156
2020-10-12,270.1700134277344
2020-10-13,261.0199890136719
2020-10-14,259.8299865722656
2020-10-15,256.8599853515625
2020-10-16,258.9700012207031
2020-10-19,256.70001220703125
2020-10-20,257.0899963378906
2020-10-21,256.2300109863281
2020-10-22,259.1000061035156
2020-10-23,262.4100036621094
2020-10-26,254.25
2020-10-27,255.52999877929688
2020-10-28,247.4499969482422
2020-10-29,263.6000061035156
2020-10-30,266.3500061035156
2020-11-02,270.989990234375
2020-11-03,276.1600036621094
2020-11-04,253.75999450683594
2020-11-05,260.2099914550781
2020-11-06,256.17999267578125
2020-11-09,261.42999267578125
2020-11-10,266.0199890136719
2020-11-11,265.989990234375
2020-11-12,260.57000732421875
2020-11-13,264.1400146484375
2020-11-16,271.2099914550781
2020-11-17,269.3299865722656
2020-11-18,269.3599853515625
2020-11-19,269.54998779296875
2020-11-20,265.6000061035156
2020-11-23,266.8900146484375
2020-11-24,274.9200134277344
2020-11-25,272.67999267578125
2020-11-27,271.010009765625
2020-11-30,265.6300048828125
2020-12-01,275.4700012207031
2020-12-02,273.4599914550781
2020-12-03,281.1499938964844
2020-12-04,284.94000244140625
2020-12-07,284.94000244140625
2020-12-08,282.8299865722656
2020-12-09,277.17999267578125
2020-12-10,266.739990234375
2020-12-11,267.20001220703125
2020-12-14,259.70001220703125
2020-12-15,266.55999755859375
2020-12-16,262.2300109863281
2020-12-17,265.7300109863281
2020-12-18,276.3500061035156
2020-12-21,275.6700134277344
2020-12-22,273.29998779296875
2020-12-23,273.7900085449219
2020-12-24,275.04998779296875
2020-12-28,278.69000244140625
2020-12-29,274.0799865722656
2020-12-30,280.94000244140625
2020-12-31,283.9700012207031
2021-01-04,277.79998779296875
2021-01-05,280.8699951171875
2021-01-06,302.6600036621094
2021-01-07,307.82000732421875
2021-01-08,310.42999267578125
2021-01-11,310.05999755859375
2021-01-12,314.80999755859375
2021-01-13,305.0299987792969
2021-01-14,302.8299865722656
2021-01-15,303.5799865722656
2021-01-19,307.0
2021-01-20,310.0
2021-01-21,310.0
2021-01-22,309.6000061035156
2021-01-25,308.0
2021-01-26,293.0899963378906
2021-01-27,284.989990234375
2021-01-28,288.8999938964844
2021-01-29,287.4100036621094
2021-02-01,295.8599853515625
2021-02-02,294.6400146484375
2021-02-03,294.8800048828125
2021-02-04,295.19000244140625
2021-02-05,297.6000061035156
2021-02-08,300.9100036621094
2021-02-09,305.9200134277344
2021-02-10,316.0
2021-02-11,318.55999755859375
2021-02-12,330.8299865722656
