Date,MS
2016-04-25,20.63738441467285
2016-04-26,20.65237808227539
2016-04-27,20.750362396240234
2016-04-28,20.52423858642578
2016-04-29,20.39611053466797
2016-05-02,20.546850204467773
2016-05-03,20.267976760864258
2016-05-04,19.808197021484375
2016-05-05,19.72528648376465
2016-05-06,19.785587310791016
2016-05-09,19.67252540588379
2016-05-10,20.072002410888672
2016-05-11,19.868492126464844
2016-05-12,19.770511627197266
2016-05-13,19.514236450195312
2016-05-16,19.755430221557617
2016-05-17,19.71774673461914
2016-05-18,20.53177833557129
2016-05-19,20.056930541992188
2016-05-20,20.17752456665039
2016-05-23,20.222749710083008
2016-05-24,20.659914016723633
2016-05-25,20.93879508972168
2016-05-26,20.667449951171875
2016-05-27,20.750362396240234
2016-05-31,20.629764556884766
2016-06-01,20.72021484375
2016-06-02,20.561927795410156
2016-06-03,20.004167556762695
2016-06-06,20.237823486328125
2016-06-07,19.989089965820312
2016-06-08,20.004167556762695
2016-06-09,19.657447814941406
2016-06-10,19.25042724609375
2016-06-13,19.039382934570312
2016-06-14,18.541919708251953
2016-06-15,18.632362365722656
2016-06-16,18.896169662475586
2016-06-17,19.07707405090332
2016-06-20,19.521772384643555
2016-06-21,19.747894287109375
2016-06-22,19.891101837158203
2016-06-23,20.56946563720703
2016-06-24,18.481613159179688
2016-06-27,17.795719146728516
2016-06-28,18.549455642700195
2016-06-29,19.01677131652832
2016-06-30,19.582067489624023
2016-07-01,19.536853790283203
2016-07-05,18.84341049194336
2016-07-06,18.95647430419922
2016-07-07,19.363487243652344
2016-07-08,19.87603187561035
2016-07-11,19.943866729736328
2016-07-12,20.629764556884766
2016-07-13,20.471485137939453
2016-07-14,21.104618072509766
2016-07-15,21.112154006958008
2016-07-18,21.26290512084961
2016-07-19,21.24782943725586
2016-07-20,21.69253158569336
2016-07-21,21.760372161865234
2016-07-22,21.79805564880371
2016-07-25,21.956344604492188
2016-07-26,22.031719207763672
2016-07-27,22.024124145507812
2016-07-28,21.902698516845703
2016-07-29,21.804039001464844
2016-08-01,21.629478454589844
2016-08-02,21.250019073486328
2016-08-03,21.568767547607422
2016-08-04,21.46251678466797
2016-08-05,22.016542434692383
2016-08-08,22.100025177001953
2016-08-09,22.266986846923828
2016-08-10,22.09242820739746
2016-08-11,22.297338485717773
2016-08-12,22.13796615600586
2016-08-15,22.50984764099121
2016-08-16,22.95760726928711
2016-08-17,23.04867935180664
2016-08-18,23.185287475585938
2016-08-19,23.185287475585938
2016-08-22,23.22323989868164
2016-08-23,23.314306259155273
2016-08-24,23.4585018157959
2016-08-25,23.504037857055664
2016-08-26,23.648237228393555
2016-08-29,23.837966918945312
2016-08-30,24.429927825927734
2016-08-31,24.331274032592773
2016-09-01,24.217430114746094
2016-09-02,24.202253341674805
2016-09-06,24.096004486083984
2016-09-07,24.05046844482422
2016-09-08,24.316099166870117
2016-09-09,23.97457504272461
2016-09-12,24.46787452697754
2016-09-13,23.875905990600586
2016-09-14,23.951805114746094
2016-09-15,24.247785568237305
2016-09-16,23.97457504272461
2016-09-19,23.982160568237305
2016-09-20,24.058053970336914
2016-09-21,24.22501564025879
2016-09-22,24.46787452697754
2016-09-23,24.217430114746094
2016-09-26,23.54957389831543
2016-09-27,23.79243278503418
2016-09-28,24.111181259155273
2016-09-29,23.557167053222656
2016-09-30,24.331274032592773
2016-10-03,24.247785568237305
2016-10-04,24.316099166870117
2016-10-05,24.71073341369629
2016-10-06,24.581714630126953
2016-10-07,24.521007537841797
2016-10-10,24.71073341369629
2016-10-11,24.422346115112305
2016-10-12,24.217430114746094
2016-10-13,24.080825805664062
2016-10-14,24.338857650756836
2016-10-17,24.126354217529297
2016-10-18,24.52859115600586
2016-10-19,24.991533279418945
2016-10-20,24.96877098083496
2016-10-21,25.37859535217285
2016-10-24,25.333059310913086
2016-10-25,25.310291290283203
2016-10-26,25.492433547973633
2016-10-27,25.820728302001953
2016-10-28,25.59168243408203
2016-10-31,25.629859924316406
2016-11-01,25.46953010559082
2016-11-02,25.133596420288086
2016-11-03,25.04962158203125
2016-11-04,25.026714324951172
2016-11-07,25.95815658569336
2016-11-08,26.03449058532715
2016-11-09,27.88211441040039
2016-11-10,29.027324676513672
2016-11-11,29.386150360107422
2016-11-14,30.042747497558594
2016-11-15,30.538999557495117
2016-11-16,29.92058563232422
2016-11-17,30.516103744506836
2016-11-18,30.867300033569336
2016-11-21,30.966550827026367
2016-11-22,30.95128059387207
2016-11-23,31.333017349243164
2016-11-25,31.378822326660156
2016-11-28,30.87493133544922
2016-11-29,30.99707794189453
2016-11-30,31.57732391357422
2016-12-01,32.1881103515625
2016-12-02,31.9361572265625
2016-12-05,32.13467025756836
2016-12-06,32.455326080322266
2016-12-07,32.5545768737793
2016-12-08,33.272247314453125
2016-12-09,33.38676071166992
2016-12-12,32.81415939331055
2016-12-13,32.493507385253906
2016-12-14,32.7225456237793
2016-12-15,32.83705520629883
2016-12-16,32.608028411865234
2016-12-19,32.69963836669922
2016-12-20,33.2111701965332
2016-12-21,33.11191940307617
2016-12-22,32.66909408569336
2016-12-23,32.875244140625
2016-12-27,32.92104721069336
