Date,HIG
2018-09-07,42.01055908203125
2018-09-10,41.83264923095703
2018-09-11,41.7479362487793
2018-09-12,41.46837615966797
2018-09-13,41.81570816040039
2018-09-14,42.22234344482422
2018-09-17,42.112213134765625
2018-09-18,42.442604064941406
2018-09-19,42.84923553466797
2018-09-20,43.0017204284668
2018-09-21,43.13726806640625
2018-09-24,42.84923553466797
2018-09-25,42.50190353393555
2018-09-26,42.154571533203125
2018-09-27,42.044437408447266
2018-09-28,42.32400131225586
2018-10-01,41.858070373535156
2018-10-02,41.925846099853516
2018-10-03,41.68016815185547
2018-10-04,42.01055908203125
2018-10-05,42.02750015258789
2018-10-08,42.425662994384766
2018-10-09,42.90007019042969
2018-10-10,41.23963928222656
2018-10-11,39.6639289855957
2018-10-12,39.638519287109375
2018-10-15,39.34200668334961
2018-10-16,39.486026763916016
2018-10-17,39.613101959228516
2018-10-18,39.41824722290039
2018-10-19,39.51144027709961
2018-10-22,38.918426513671875
2018-10-23,38.977725982666016
2018-10-24,38.037384033203125
2018-10-25,38.57956314086914
2018-10-26,38.21529006958008
2018-10-29,37.74935531616211
2018-10-30,38.240699768066406
2018-10-31,38.4779052734375
2018-11-01,38.799835205078125
2018-11-02,38.02891540527344
2018-11-05,38.537200927734375
2018-11-06,39.08786392211914
2018-11-07,39.76559066772461
2018-11-08,39.358943939208984
2018-11-09,39.469085693359375
2018-11-12,38.55415725708008
2018-11-13,38.393184661865234
2018-11-14,37.33424377441406
2018-11-15,37.257999420166016
2018-11-16,37.147857666015625
2018-11-19,37.13092041015625
2018-11-20,37.33424377441406
2018-11-21,37.571441650390625
2018-11-23,37.359657287597656
2018-11-26,37.952667236328125
2018-11-27,37.376590728759766
2018-11-28,38.04585266113281
2018-11-29,37.512142181396484
2018-11-30,37.6912727355957
2018-12-03,37.32449722290039
2018-12-04,36.52274703979492
2018-12-06,36.121864318847656
2018-12-07,35.507747650146484
2018-12-10,35.456573486328125
2018-12-11,35.26039123535156
2018-12-12,35.30303955078125
2018-12-13,35.24333953857422
2018-12-14,35.20068359375
2018-12-17,35.64421844482422
2018-12-18,36.062156677246094
2018-12-19,36.39479446411133
2018-12-20,36.249794006347656
2018-12-21,35.98538589477539
2018-12-24,34.76567840576172
2018-12-26,36.54832458496094
2018-12-27,37.418312072753906
2018-12-28,37.333030700683594
2018-12-31,37.91303253173828
2019-01-02,37.03450012207031
2019-01-03,36.52274703979492
2019-01-04,37.64861297607422
2019-01-07,37.51214599609375
2019-01-08,37.0089111328125
2019-01-09,37.333030700683594
2019-01-10,37.71684265136719
2019-01-11,37.92155075073242
2019-01-14,37.981266021728516
2019-01-15,38.28831481933594
2019-01-16,38.66360855102539
2019-01-17,39.32890701293945
2019-01-18,39.81507110595703
2019-01-22,39.41419219970703
2019-01-23,39.66154098510742
2019-01-24,39.806549072265625
2019-01-25,39.8833122253418
2019-01-28,39.79802703857422
2019-01-29,39.31184768676758
2019-01-30,39.77242660522461
2019-01-31,40.01976776123047
2019-02-01,40.10506820678711
2019-02-04,40.22447967529297
2019-02-05,41.22241973876953
2019-02-06,40.86418914794922
2019-02-07,41.11154556274414
2019-02-08,40.84712600708008
2019-02-11,41.14564895629883
2019-02-12,41.58918380737305
2019-02-13,41.572120666503906
2019-02-14,41.14564895629883
2019-02-15,41.56358337402344
2019-02-19,41.89624786376953
2019-02-20,41.853599548339844
2019-02-21,41.648895263671875
2019-02-22,41.700069427490234
2019-02-25,41.938880920410156
2019-02-26,41.80241775512695
2019-02-27,41.86211395263672
2019-02-28,42.10093688964844
2019-03-01,42.39271926879883
2019-03-04,42.11809539794922
2019-03-05,41.98080062866211
2019-03-06,41.60321044921875
2019-03-07,41.225624084472656
2019-03-08,41.28569793701172
2019-03-11,41.36294174194336
2019-03-12,41.56031036376953
2019-03-13,41.7061882019043
2019-03-14,41.886409759521484
2019-03-15,41.894981384277344
2019-03-18,42.34122848510742
2019-03-19,42.22967529296875
2019-03-20,41.388675689697266
2019-03-21,42.00655746459961
2019-03-22,41.64612579345703
2019-03-25,41.54314422607422
2019-03-26,42.126686096191406
2019-03-27,42.23824691772461
2019-03-28,42.35838317871094
2019-03-29,42.667327880859375
2019-04-01,42.787471771240234
2019-04-02,42.487117767333984
2019-04-03,42.667327880859375
2019-04-04,42.907615661621094
2019-04-05,42.8475341796875
2019-04-08,42.81320571899414
2019-04-09,42.641578674316406
2019-04-10,42.89044952392578
2019-04-11,43.39675521850586
2019-04-12,43.825828552246094
2019-04-15,43.55121612548828
2019-04-16,44.12618637084961
2019-04-17,43.405338287353516
2019-04-18,43.71426010131836
2019-04-22,43.67136001586914
2019-04-23,43.86015701293945
2019-04-24,43.971717834472656
2019-04-25,43.74000930786133
2019-04-26,44.24633026123047
2019-04-29,44.42653274536133
2019-04-30,44.88994216918945
2019-05-01,44.10902786254883
2019-05-02,44.744056701660156
2019-05-03,45.24178695678711
2019-05-06,45.095890045166016
2019-05-07,44.881351470947266
2019-05-08,45.06157684326172
2019-05-09,45.06157684326172
2019-05-10,45.49064636230469
2019-05-13,44.5895881652832
2019-05-14,45.24178695678711
2019-05-15,45.43056869506836
2019-05-16,45.996944427490234
2019-05-17,45.979793548583984
2019-05-20,45.602195739746094
2019-05-21,46.02269744873047
2019-05-22,46.52042770385742
2019-05-23,45.756675720214844
2019-05-24,45.68803024291992
2019-05-28,45.01865768432617
2019-05-29,45.645111083984375
2019-05-30,45.542137145996094
2019-05-31,45.447200775146484
2019-06-03,46.111732482910156
2019-06-04,46.51734924316406
2019-06-05,47.42354202270508
2019-06-06,47.45805740356445
2019-06-07,47.44080352783203
2019-06-10,47.319976806640625
2019-06-11,47.19915008544922
2019-06-12,47.16462707519531
2019-06-13,47.04380798339844
2019-06-14,47.42354202270508
2019-06-17,47.061058044433594
2019-06-18,47.449432373046875
2019-06-19,47.68245315551758
2019-06-20,48.010398864746094
2019-06-21,48.08807373046875
2019-06-24,48.06218338012695
2019-06-25,48.35560989379883
2019-06-26,47.36312484741211
2019-06-27,47.8119010925293
2019-06-28,48.08807373046875
2019-07-01,48.23479461669922
2019-07-02,48.57136917114258
2019-07-03,49.33083724975586
2019-07-05,49.14961242675781
2019-07-08,49.287681579589844
2019-07-09,49.26179504394531
2019-07-10,49.3394660949707
2019-07-11,49.07193374633789
2019-07-12,49.61564254760742
2019-07-15,49.814125061035156
2019-07-16,50.098934173583984
2019-07-17,49.762351989746094
2019-07-18,49.969482421875
2019-07-19,49.287681579589844
2019-07-22,49.227272033691406
2019-07-23,49.10645294189453
2019-07-24,49.650150299072266
2019-07-25,49.73646545410156
2019-07-26,50.17660903930664
2019-07-29,49.84002685546875
2019-07-30,49.857295989990234
2019-07-31,49.73646545410156
2019-08-01,49.10645294189453
2019-08-02,49.60700225830078
2019-08-05,48.813026428222656
2019-08-06,49.72783279418945
2019-08-07,50.064414978027344
2019-08-08,50.65990447998047
2019-08-09,50.57359313964844
2019-08-12,50.0298957824707
2019-08-13,50.832515716552734
2019-08-14,49.40851593017578
2019-08-15,49.960853576660156
2019-08-16,50.46140670776367
2019-08-19,51.022377014160156
2019-08-20,50.52181625366211
2019-08-21,50.81526184082031
2019-08-22,51.33306884765625
2019-08-23,50.14208221435547
2019-08-26,50.5477180480957
2019-08-27,50.53044509887695
2019-08-28,50.40963363647461
2019-08-29,50.62539291381836
2019-08-30,50.55598068237305
2019-09-03,51.05044937133789
2019-09-04,51.79647445678711
2019-09-05,52.03935241699219
2019-09-06,52.32561492919922
2019-09-09,52.30826950073242
2019-09-10,51.44080352783203
2019-09-11,51.215267181396484
2019-09-12,51.9873046875
2019-09-13,52.32561492919922
2019-09-16,52.07404708862305
2019-09-17,52.6812858581543
2019-09-18,52.75935363769531
2019-09-19,52.603214263916016
2019-09-20,52.42971420288086
2019-09-23,52.212852478027344
2019-09-24,52.52513885498047
2019-09-25,52.35163879394531
2019-09-26,52.577186584472656
2019-09-27,52.43839645385742
2019-09-30,52.577186584472656
2019-10-01,51.5709228515625
2019-10-02,50.37382888793945
2019-10-03,50.49525451660156
2019-10-04,51.62296676635742
2019-10-07,51.12851333618164
2019-10-08,50.156951904296875
2019-10-09,50.38249206542969
2019-10-10,50.62538528442383
2019-10-11,50.86826705932617
2019-10-14,51.328041076660156
2019-10-15,51.60562515258789
2019-10-16,51.093814849853516
2019-10-17,50.859596252441406
2019-10-18,51.18056869506836
2019-10-21,51.83982849121094
2019-10-22,49.879364013671875
2019-10-23,50.20032501220703
2019-10-24,49.87068557739258
2019-10-25,49.27214050292969
2019-10-28,48.977195739746094
2019-10-29,49.28081130981445
2019-10-30,49.39357376098633
2019-10-31,49.51502227783203
2019-11-01,49.896705627441406
2019-11-04,49.9053840637207
2019-11-05,52.38634490966797
2019-11-06,52.984901428222656
2019-11-07,52.91550064086914
2019-11-08,52.993568420410156
2019-11-11,53.21910858154297
2019-11-12,53.479366302490234
2019-11-13,53.3405647277832
2019-11-14,53.45332336425781
2019-11-15,53.7829704284668
2019-11-18,53.80899429321289
2019-11-19,53.913082122802734
2019-11-20,53.69622039794922
2019-11-21,53.461997985839844
2019-11-22,53.42729568481445
2019-11-25,53.65283966064453
2019-11-26,54.29477310180664
2019-11-27,54.23404312133789
2019-11-29,53.92025375366211
2019-12-02,53.5628776550293
2019-12-03,52.560482025146484
2019-12-04,52.996307373046875
2019-12-05,52.75224685668945
2019-12-06,53.031166076660156
2019-12-09,53.20551300048828
2019-12-10,53.318809509277344
2019-12-11,53.10090255737305
2019-12-12,53.41469192504883
2019-12-13,53.231651306152344
2019-12-16,53.22293472290039
2019-12-17,53.07475280761719
2019-12-18,53.09218978881836
2019-12-19,52.9788703918457
2019-12-20,53.09218978881836
2019-12-23,52.38615417480469
2019-12-24,52.351280212402344
2019-12-26,52.534332275390625
2019-12-27,52.787105560302734
2019-12-30,52.900428771972656
2019-12-31,52.970157623291016
2020-01-02,53.12706756591797
2020-01-03,52.85684585571289
2020-01-06,52.717369079589844
2020-01-07,52.24668884277344
2020-01-08,52.52560806274414
2020-01-09,52.83940505981445
2020-01-10,52.08978271484375
2020-01-13,51.8631706237793
2020-01-14,52.08978271484375
2020-01-15,51.95032501220703
2020-01-16,52.534332275390625
2020-01-17,53.362396240234375
2020-01-21,52.72609329223633
2020-01-22,52.21182632446289
2020-01-23,51.26171875
2020-01-24,51.409908294677734
2020-01-27,50.634132385253906
2020-01-28,51.14841079711914
2020-01-29,51.00894546508789
2020-01-30,51.88059997558594
2020-01-31,51.67139434814453
2020-02-03,52.421016693115234
2020-02-04,50.311622619628906
2020-02-05,51.78471755981445
2020-02-06,51.96775817871094
2020-02-07,52.13336944580078
2020-02-10,51.42734146118164
2020-02-11,51.84572219848633
2020-02-12,51.34017562866211
2020-02-13,51.63652420043945
2020-02-14,51.51449203491211
2020-02-18,51.01765823364258
2020-02-19,50.634132385253906
2020-02-20,50.62541961669922
2020-02-21,50.599266052246094
2020-02-24,49.32666015625
2020-02-25,48.17608642578125
2020-02-26,47.461334228515625
2020-02-27,45.29090881347656
2020-02-28,43.81294250488281
2020-03-02,46.59347152709961
2020-03-03,45.242679595947266
2020-03-04,47.27762985229492
2020-03-05,45.34793472290039
2020-03-06,44.698856353759766
2020-03-09,40.8920783996582
2020-03-10,42.365665435791016
2020-03-11,39.58515167236328
2020-03-12,35.24333190917969
2020-03-13,37.29582595825195
2020-03-16,29.384061813354492
2020-03-17,29.217405319213867
2020-03-18,23.024816513061523
2020-03-19,29.401594161987305
2020-03-20,27.428043365478516
2020-03-23,26.936843872070312
2020-03-24,30.375228881835938
2020-03-25,29.12968635559082
2020-03-26,30.64712905883789
2020-03-27,30.81378746032715
2020-03-30,31.436559677124023
2020-03-31,30.91027069091797
2020-04-01,29.348979949951172
2020-04-02,29.182315826416016
2020-04-03,28.199928283691406
2020-04-06,29.778770446777344
2020-04-07,32.38386535644531
