Date,AEP
2017-09-28,52.24186706542969
2017-09-29,52.04920959472656
2017-10-02,52.19000244140625
2017-10-03,52.08626937866211
2017-10-04,52.997711181640625
2017-10-05,52.975486755371094
2017-10-06,53.00514221191406
2017-10-09,53.16073989868164
2017-10-10,53.64239501953125
2017-10-11,53.91658020019531
2017-10-12,54.34636688232422
2017-10-13,54.212982177734375
2017-10-16,54.18335723876953
2017-10-17,54.24261474609375
2017-10-18,54.101837158203125
2017-10-19,54.70947265625
2017-10-20,54.82064437866211
2017-10-23,54.776161193847656
2017-10-24,54.813209533691406
2017-10-25,54.52421188354492
2017-10-26,54.65761184692383
2017-10-27,54.850257873535156
2017-10-30,54.9614143371582
2017-10-31,55.13927459716797
2017-11-01,54.84285354614258
2017-11-02,54.62797164916992
2017-11-03,54.89472961425781
2017-11-06,54.6353645324707
2017-11-07,55.717262268066406
2017-11-08,55.96178436279297
2017-11-09,56.40262222290039
2017-11-10,55.87214279174805
2017-11-13,56.880794525146484
2017-11-14,57.822200775146484
2017-11-15,57.22447967529297
2017-11-16,57.351524353027344
2017-11-17,57.067588806152344
2017-11-20,57.112422943115234
2017-11-21,57.358970642089844
2017-11-22,57.22447967529297
2017-11-24,57.13484191894531
2017-11-27,57.336544036865234
2017-11-28,57.54574203491211
2017-11-29,57.63542175292969
2017-11-30,58.00151443481445
2017-12-01,57.71015548706055
2017-12-04,57.822200775146484
2017-12-05,56.98538589477539
2017-12-06,57.3291015625
2017-12-07,57.23945236206055
2017-12-08,57.4785270690918
2017-12-11,57.59058380126953
2017-12-12,56.798606872558594
2017-12-13,57.16471481323242
2017-12-14,57.00033187866211
2017-12-15,57.18711853027344
2017-12-18,56.41009521484375
2017-12-19,55.670413970947266
2017-12-20,55.662925720214844
2017-12-21,55.0951042175293
2017-12-22,55.027854919433594
2017-12-26,54.53472900390625
2017-12-27,54.72152328491211
2017-12-28,55.027854919433594
2017-12-29,54.96806716918945
2018-01-02,54.10138702392578
2018-01-03,53.64561462402344
2018-01-04,53.01053237915039
2018-01-05,52.898468017578125
2018-01-08,53.361690521240234
2018-01-09,52.734107971191406
2018-01-10,51.92717361450195
2018-01-11,51.351871490478516
2018-01-12,50.402976989746094
2018-01-16,50.432857513427734
2018-01-17,50.99322509765625
2018-01-18,50.65700149536133
2018-01-19,50.62712478637695
2018-01-22,50.903560638427734
2018-01-23,51.38174819946289
2018-01-24,51.165077209472656
2018-01-25,52.07661437988281
2018-01-26,51.3668098449707
2018-01-29,50.73170471191406
2018-01-30,51.06793212890625
2018-01-31,51.389225006103516
2018-02-01,50.68688201904297
2018-02-02,50.619651794433594
2018-02-05,49.67076873779297
2018-02-06,48.49774169921875
2018-02-07,48.1540412902832
2018-02-08,47.81455993652344
2018-02-09,48.825462341308594
2018-02-12,48.885826110839844
2018-02-13,49.47425079345703
2018-02-14,49.263023376464844
2018-02-15,50.304115295410156
2018-02-16,50.741668701171875
2018-02-20,50.07024002075195
2018-02-21,49.47425079345703
2018-02-22,49.5496940612793
2018-02-23,50.82465744018555
2018-02-26,50.52289962768555
2018-02-27,49.75339126586914
2018-02-28,49.47425079345703
2018-03-01,49.50444030761719
2018-03-02,49.1724967956543
2018-03-05,50.1607666015625
2018-03-06,49.41389846801758
2018-03-07,48.976348876953125
2018-03-08,49.263023376464844
2018-03-09,49.52707290649414
2018-03-12,49.69303512573242
2018-03-13,49.8212890625
2018-03-14,50.236202239990234
2018-03-15,50.53797912597656
2018-03-16,51.15659713745117
2018-03-19,50.88500213623047
2018-03-20,50.88500213623047
2018-03-21,50.477630615234375
2018-03-22,50.81711959838867
2018-03-23,50.085330963134766
2018-03-26,50.779380798339844
2018-03-27,51.62433624267578
2018-03-28,51.7978515625
2018-03-29,51.745033264160156
2018-04-02,51.51116180419922
2018-04-03,51.63941955566406
2018-04-04,51.80537414550781
2018-04-05,52.00907516479492
2018-04-06,51.69977951049805
2018-04-09,51.835567474365234
2018-04-10,51.201866149902344
2018-04-11,51.14150619506836
2018-04-12,50.2739372253418
2018-04-13,50.80201721191406
2018-04-16,51.50361251831055
2018-04-17,51.948734283447266
2018-04-18,51.85066604614258
2018-04-19,51.69222640991211
2018-04-20,51.6469612121582
2018-04-23,51.63187789916992
2018-04-24,51.963829040527344
2018-04-25,52.12224197387695
2018-04-26,52.63523864746094
2018-04-27,53.22367858886719
2018-04-30,52.793670654296875
2018-05-01,52.386268615722656
2018-05-02,52.19768524169922
2018-05-03,52.23539352416992
2018-05-04,52.34856414794922
2018-05-07,51.88837814331055
2018-05-08,50.734134674072266
2018-05-09,50.46001052856445
2018-05-10,51.031089782714844
2018-05-11,51.13767623901367
2018-05-14,51.099613189697266
2018-05-15,50.871177673339844
2018-05-16,50.3686408996582
2018-05-17,49.66051483154297
2018-05-18,49.439697265625
2018-05-21,49.5615234375
2018-05-22,49.828025817871094
2018-05-23,50.612300872802734
2018-05-24,50.89402389526367
2018-05-25,51.18337631225586
2018-05-29,51.48794174194336
2018-05-30,51.77729415893555
2018-05-31,51.739219665527344
2018-06-01,50.77219772338867
2018-06-04,50.29249572753906
2018-06-05,49.71381378173828
2018-06-06,48.586891174316406
2018-06-07,48.84577941894531
2018-06-08,48.81532669067383
2018-06-11,47.91683578491211
2018-06-12,48.404144287109375
2018-06-13,48.32039260864258
2018-06-14,49.20364761352539
2018-06-15,49.53107452392578
2018-06-18,49.84326171875
2018-06-19,50.9168701171875
2018-06-20,50.9397087097168
2018-06-21,51.373741149902344
2018-06-22,51.282352447509766
2018-06-25,52.56156921386719
