Date,CI
2021-06-11,221.85765075683594
2021-06-14,219.78443908691406
2021-06-15,219.31663513183594
2021-06-16,217.39939880371094
2021-06-17,217.12417602539062
2021-06-18,212.7943572998047
2021-06-21,216.9315185546875
2021-06-22,216.50038146972656
2021-06-23,213.67498779296875
2021-06-24,215.36288452148438
2021-06-25,217.5003204345703
2021-06-28,220.19728088378906
2021-06-29,217.12417602539062
2021-06-30,217.47276306152344
2021-07-01,218.60110473632812
2021-07-02,218.35340881347656
2021-07-06,215.79405212402344
2021-07-07,216.42701721191406
2021-07-08,212.28065490722656
2021-07-09,215.48214721679688
2021-07-12,215.7756805419922
2021-07-13,216.0875701904297
2021-07-14,216.50953674316406
2021-07-15,215.49131774902344
2021-07-16,214.50057983398438
2021-07-19,208.81312561035156
2021-07-20,212.84022521972656
2021-07-21,214.26210021972656
2021-07-22,213.0420379638672
2021-07-23,213.629150390625
2021-07-26,209.55618286132812
2021-07-27,209.95977783203125
2021-07-28,208.4644775390625
2021-07-29,210.0240020751953
2021-07-30,210.51937866210938
2021-08-02,210.3909454345703
2021-08-03,214.619873046875
2021-08-04,212.34481811523438
2021-08-05,189.16378784179688
2021-08-06,191.9983673095703
2021-08-09,193.69541931152344
2021-08-10,193.51197814941406
2021-08-11,193.83302307128906
2021-08-12,192.34693908691406
2021-08-13,193.20005798339844
2021-08-16,193.46607971191406
2021-08-17,193.09915161132812
2021-08-18,188.60423278808594
2021-08-19,189.1362762451172
2021-08-20,190.37466430664062
2021-08-23,190.56735229492188
2021-08-24,194.374267578125
2021-08-25,193.91561889648438
2021-08-26,190.61318969726562
2021-08-27,193.26426696777344
2021-08-30,190.3196258544922
2021-08-31,194.15408325195312
2021-09-01,193.60366821289062
2021-09-02,200.1718292236328
2021-09-03,198.98843383789062
2021-09-07,199.3571014404297
2021-09-08,196.62918090820312
2021-09-09,197.17295837402344
2021-09-10,188.63909912109375
2021-09-13,192.70323181152344
2021-09-14,187.68060302734375
2021-09-15,190.380859375
2021-09-16,189.40399169921875
2021-09-17,189.49612426757812
2021-09-20,186.64840698242188
2021-09-21,186.51943969726562
2021-09-22,186.15077209472656
2021-09-23,186.58395385742188
2021-09-24,187.90179443359375
2021-09-27,190.40850830078125
2021-09-28,187.33963012695312
2021-09-29,187.93865966796875
2021-09-30,184.46429443359375
2021-10-01,186.7129669189453
2021-10-04,183.80996704101562
2021-10-05,185.60704040527344
2021-10-06,187.31201171875
2021-10-07,188.65750122070312
2021-10-08,189.09063720703125
2021-10-11,187.93865966796875
2021-10-12,186.25218200683594
2021-10-13,183.82843017578125
2021-10-14,187.1184539794922
2021-10-15,190.02145385742188
2021-10-18,188.52847290039062
2021-10-19,190.42694091796875
2021-10-20,197.91940307617188
2021-10-21,199.2741241455078
2021-10-22,199.4308319091797
2021-10-25,198.7119903564453
2021-10-26,198.758056640625
2021-10-27,196.66607666015625
2021-10-28,198.831787109375
2021-10-29,196.85958862304688
2021-11-01,199.18199157714844
2021-11-02,197.8733367919922
2021-11-03,201.13577270507812
2021-11-04,196.4448699951172
2021-11-05,197.32958984375
2021-11-08,201.05282592773438
2021-11-09,199.2465057373047
2021-11-10,200.75791931152344
2021-11-11,200.62887573242188
2021-11-12,200.6565399169922
2021-11-15,198.62904357910156
2021-11-16,200.68417358398438
2021-11-17,199.96531677246094
2021-11-18,201.5965576171875
2021-11-19,194.002685546875
2021-11-22,194.9611358642578
2021-11-23,196.5186004638672
2021-11-24,194.06719970703125
2021-11-26,186.1876678466797
2021-11-29,183.95738220214844
2021-11-30,176.8519744873047
2021-12-01,179.4508819580078
2021-12-02,182.2801055908203
2021-12-03,184.1878204345703
2021-12-06,191.34750366210938
2021-12-07,192.62570190429688
2021-12-08,192.9405517578125
2021-12-09,195.7099609375
2021-12-10,199.0814208984375
2021-12-13,199.27590942382812
2021-12-14,200.63746643066406
2021-12-15,201.4154815673828
2021-12-16,202.5361785888672
2021-12-17,203.41610717773438
2021-12-20,200.98941040039062
2021-12-21,203.9904022216797
2021-12-22,205.92617797851562
2021-12-23,209.2235107421875
2021-12-27,211.04815673828125
2021-12-28,213.53042602539062
2021-12-29,214.55850219726562
2021-12-30,213.72491455078125
2021-12-31,212.68756103515625
2022-01-03,216.92037963867188
2022-01-04,216.08680725097656
2022-01-05,219.06919860839844
2022-01-06,210.7517547607422
2022-01-07,215.9755859375
2022-01-10,216.44801330566406
2022-01-11,222.422119140625
2022-01-12,221.1624755859375
2022-01-13,222.80186462402344
2022-01-14,224.30233764648438
2022-01-18,222.27392578125
2022-01-19,221.18099975585938
2022-01-20,222.65370178222656
2022-01-21,218.81910705566406
2022-01-24,218.97657775878906
2022-01-25,217.4205322265625
2022-01-26,216.75364685058594
2022-01-27,210.64988708496094
2022-01-28,216.22569274902344
2022-01-31,213.45628356933594
2022-02-01,209.2420196533203
2022-02-02,213.04881286621094
2022-02-03,201.5081329345703
2022-02-04,205.03700256347656
2022-02-07,207.9175567626953
2022-02-08,214.66964721679688
2022-02-09,215.23464965820312
2022-02-10,213.28033447265625
2022-02-11,210.7146759033203
2022-02-14,208.62147521972656
2022-02-15,211.55758666992188
2022-02-16,212.1040496826172
2022-02-17,210.35350036621094
2022-02-18,211.7798614501953
2022-02-22,210.92776489257812
2022-02-23,208.48251342773438
2022-02-24,207.87120056152344
2022-02-25,215.66070556640625
2022-02-28,220.2362518310547
2022-03-01,219.60643005371094
2022-03-02,222.7648162841797
2022-03-03,220.26402282714844
2022-03-04,223.8022003173828
2022-03-07,220.3010711669922
2022-03-08,213.20059204101562
2022-03-09,215.210693359375
2022-03-10,213.5355987548828
2022-03-11,211.11605834960938
2022-03-14,210.5018310546875
2022-03-15,216.90438842773438
2022-03-16,221.0176544189453
2022-03-17,225.56825256347656
2022-03-18,224.4236297607422
2022-03-21,226.61050415039062
2022-03-22,226.629150390625
2022-03-23,221.9482421875
2022-03-24,225.2983856201172
2022-03-25,226.67567443847656
2022-03-28,226.75010681152344
2022-03-29,226.45236206054688
2022-03-30,228.76956176757812
2022-03-31,222.981201171875
2022-04-01,229.1603546142578
2022-04-04,225.44729614257812
2022-04-05,228.08091735839844
2022-04-06,232.28720092773438
2022-04-07,237.42410278320312
2022-04-08,240.00186157226562
2022-04-11,236.48419189453125
2022-04-12,237.13563537597656
2022-04-13,241.01622009277344
2022-04-14,241.22097778320312
2022-04-18,240.98834228515625
2022-04-19,242.91468811035156
2022-04-20,250.2105712890625
2022-04-21,246.24623107910156
2022-04-22,237.3589324951172
2022-04-25,236.70753479003906
2022-04-26,235.06968688964844
2022-04-27,233.36669921875
2022-04-28,236.5959014892578
2022-04-29,229.6536102294922
2022-05-02,229.03012084960938
2022-05-03,230.12818908691406
2022-05-04,237.92665100097656
2022-05-05,234.5858154296875
2022-05-06,248.3773193359375
2022-05-09,243.26828002929688
2022-05-10,242.5609893798828
2022-05-11,242.14227294921875
2022-05-12,241.9840850830078
2022-05-13,241.20237731933594
2022-05-16,247.99569702148438
2022-05-17,252.51844787597656
2022-05-18,239.69482421875
2022-05-19,239.05267333984375
2022-05-20,241.4815216064453
2022-05-23,245.09225463867188
2022-05-24,246.57186889648438
2022-05-25,247.30706787109375
2022-05-26,250.21983337402344
2022-05-27,253.49559020996094
2022-05-31,249.67086791992188
2022-06-01,246.21827697753906
2022-06-02,245.14813232421875
2022-06-03,236.34461975097656
2022-06-06,240.39273071289062
2022-06-07,245.1407470703125
2022-06-08,243.7388153076172
2022-06-09,240.7478790283203
2022-06-10,236.73822021484375
2022-06-13,226.40098571777344
2022-06-14,229.65357971191406
2022-06-15,230.95272827148438
2022-06-16,232.07432556152344
2022-06-17,228.54135131835938
2022-06-21,235.7007598876953
2022-06-22,239.1776580810547
2022-06-23,242.710693359375
2022-06-24,247.80450439453125
2022-06-27,250.3748016357422
2022-06-28,248.81398010253906
2022-06-29,249.87014770507812
2022-06-30,246.2997283935547
2022-07-01,250.5150604248047
2022-07-05,247.53346252441406
2022-07-06,253.37506103515625
2022-07-07,257.75860595703125
2022-07-08,260.9457702636719
2022-07-11,261.6186828613281
2022-07-12,261.0953063964844
2022-07-13,255.86122131347656
2022-07-14,247.5989227294922
2022-07-15,256.1977233886719
2022-07-18,250.81410217285156
2022-07-19,256.6557922363281
2022-07-20,249.2906494140625
2022-07-21,248.94482421875
2022-07-22,251.60858154296875
2022-07-25,254.81436157226562
2022-07-26,256.8705749511719
2022-07-27,256.7772216796875
2022-07-28,255.3658447265625
2022-07-29,257.36602783203125
2022-08-01,255.54347229003906
2022-08-02,253.70213317871094
2022-08-03,253.9825897216797
2022-08-04,261.7962951660156
2022-08-05,263.357177734375
2022-08-08,263.357177734375
2022-08-09,266.4134521484375
2022-08-10,268.31085205078125
2022-08-11,267.31072998046875
2022-08-12,271.9092102050781
2022-08-15,271.86248779296875
2022-08-16,271.61944580078125
2022-08-17,272.5447692871094
2022-08-18,271.8811950683594
2022-08-19,273.8346252441406
2022-08-22,272.4512939453125
2022-08-23,267.619140625
2022-08-24,269.8903503417969
2022-08-25,272.7784729003906
2022-08-26,266.25457763671875
2022-08-29,268.4229431152344
2022-08-30,266.4415283203125
2022-08-31,264.9273681640625
2022-09-01,269.2174072265625
2022-09-02,268.899658203125
2022-09-06,267.6517028808594
2022-09-07,272.108642578125
2022-09-08,272.7747802734375
2022-09-09,274.7734680175781
2022-09-12,276.0025634765625
2022-09-13,269.1248779296875
2022-09-14,266.5538635253906
2022-09-15,272.0711669921875
2022-09-16,272.43707275390625
2022-09-19,271.47064208984375
2022-09-20,270.30712890625
2022-09-21,267.3702087402344
2022-09-22,265.4466857910156
2022-09-23,260.6331787109375
2022-09-26,259.7230224609375
2022-09-27,260.492431640625
2022-09-28,265.11822509765625
2022-09-29,263.2510681152344
2022-09-30,260.3517150878906
2022-10-03,269.50018310546875
2022-10-04,274.94232177734375
2022-10-05,275.8900146484375
2022-10-06,274.9986572265625
2022-10-07,270.58856201171875
2022-10-10,268.1020812988281
2022-10-11,273.00006103515625
2022-10-12,270.5698547363281
2022-10-13,279.2773742675781
2022-10-14,277.0816650390625
2022-10-17,272.0335693359375
2022-10-18,275.617919921875
2022-10-19,274.9986572265625
2022-10-20,276.1527099609375
2022-10-21,282.7490539550781
2022-10-24,288.0129699707031
2022-10-25,291.738037109375
2022-10-26,295.5193786621094
2022-10-27,297.0487976074219
2022-10-28,304.72418212890625
2022-10-31,303.1290283203125
2022-11-01,305.06195068359375
2022-11-02,301.0647277832031
2022-11-03,304.2362060546875
2022-11-04,302.2564697265625
2022-11-07,304.358154296875
2022-11-08,307.5202941894531
2022-11-09,304.9399719238281
2022-11-10,303.3918151855469
2022-11-11,285.0760192871094
2022-11-14,287.91912841796875
2022-11-15,286.3427429199219
2022-11-16,287.7690124511719
2022-11-17,292.8451843261719
2022-11-18,299.5165710449219
2022-11-21,295.8384704589844
2022-11-22,299.64794921875
2022-11-23,300.107666015625
2022-11-25,303.9172668457031
2022-11-28,299.7980651855469
2022-11-29,300.9146728515625
2022-11-30,308.599365234375
2022-12-01,303.4949645996094
2022-12-02,307.0137023925781
2022-12-05,308.2470397949219
2022-12-06,310.3654479980469
2022-12-07,312.7663269042969
2022-12-08,313.9997863769531
2022-12-09,312.70050048828125
2022-12-12,319.46063232421875
2022-12-13,310.93975830078125
2022-12-14,315.1107177734375
2022-12-15,312.06964111328125
2022-12-16,308.15289306640625
2022-12-19,311.4388427734375
2022-12-20,310.2713317871094
2022-12-21,313.6796569824219
2022-12-22,313.7926025390625
2022-12-23,314.76239013671875
2022-12-27,314.564697265625
2022-12-28,312.4461975097656
2022-12-29,311.38232421875
2022-12-30,311.9660949707031
2023-01-03,302.6826171875
2023-01-04,292.15625
2023-01-05,286.4035339355469
2023-01-06,284.9818420410156
2023-01-09,285.32080078125
2023-01-10,286.0270080566406
2023-01-11,291.1488342285156
2023-01-12,292.0809631347656
2023-01-13,295.8377380371094
2023-01-17,296.58148193359375
2023-01-18,290.3297119140625
2023-01-19,292.4952697753906
2023-01-20,290.3297119140625
2023-01-23,290.15087890625
2023-01-24,290.9228820800781
2023-01-25,295.2538757324219
2023-01-26,294.8867492675781
2023-01-27,290.2732238769531
2023-01-30,292.2127380371094
2023-01-31,298.15380859375
2023-02-01,294.9620666503906
2023-02-02,283.89910888671875
2023-02-03,275.4818420410156
2023-02-06,271.5744323730469
2023-02-07,272.1017761230469
2023-02-08,273.2315673828125
2023-02-09,274.46502685546875
2023-02-10,279.172607421875
2023-02-13,281.1027526855469
2023-02-14,281.85595703125
2023-02-15,281.1216125488281
2023-02-16,281.9219055175781
2023-02-17,283.45660400390625
2023-02-21,276.79058837890625
2023-02-22,277.67559814453125
2023-02-23,277.42138671875
2023-02-24,276.55517578125
2023-02-27,279.0314025878906
2023-02-28,275.0205078125
2023-03-01,271.8663330078125
2023-03-02,270.7742004394531
2023-03-03,270.1904296875
2023-03-06,271.6027526855469
2023-03-07,266.38330078125
2023-03-08,264.1139221191406
2023-03-09,257.126220703125
2023-03-10,260.63427734375
2023-03-13,258.18524169921875
2023-03-14,257.3153076171875
2023-03-15,255.6416473388672
2023-03-16,259.4901123046875
2023-03-17,254.78125
2023-03-20,258.0434265136719
2023-03-21,261.5608825683594
2023-03-22,255.7173309326172
2023-03-23,242.61183166503906
2023-03-24,246.0442352294922
2023-03-27,247.52879333496094
2023-03-28,242.53622436523438
2023-03-29,240.20068359375
2023-03-30,240.2574005126953
2023-03-31,241.61903381347656
2023-04-03,247.73678588867188
2023-04-04,242.5740509033203
2023-04-05,251.40557861328125
2023-04-06,250.8477020263672
2023-04-10,248.77691650390625
2023-04-11,251.97286987304688
2023-04-12,246.57374572753906
2023-04-13,249.44827270507812
2023-04-14,244.9946746826172
2023-04-17,244.5880889892578
2023-04-18,245.55255126953125
2023-04-19,242.1580047607422
2023-04-20,241.8554229736328
2023-04-21,238.3946533203125
2023-04-24,242.1580047607422
2023-04-25,239.89808654785156
2023-04-26,234.65968322753906
2023-04-27,236.70213317871094
2023-04-28,239.50094604492188
2023-05-01,241.02330017089844
2023-05-02,236.78721618652344
2023-05-03,232.6078643798828
2023-05-04,230.423583984375
2023-05-05,246.5453643798828
2023-05-08,250.28041076660156
2023-05-09,248.48382568359375
2023-05-10,249.10787963867188
2023-05-11,245.84564208984375
2023-05-12,242.60240173339844
2023-05-15,243.95452880859375
2023-05-16,241.5717315673828
2023-05-17,248.890380859375
2023-05-18,242.52674865722656
2023-05-19,241.2407989501953
2023-05-22,241.60958862304688
2023-05-23,238.20555114746094
2023-05-24,236.16314697265625
2023-05-25,233.6195831298828
2023-05-26,230.81129455566406
2023-05-30,229.4307403564453
2023-05-31,233.9410858154297
2023-06-01,239.5955352783203
2023-06-02,243.03738403320312
2023-06-05,248.43649291992188
2023-06-06,250.04202270507812
2023-06-07,248.70252990722656
2023-06-08,251.28656005859375
2023-06-09,252.58804321289062
2023-06-12,253.64254760742188
2023-06-13,258.6396484375
2023-06-14,250.5835418701172
2023-06-15,256.01751708984375
2023-06-16,255.39056396484375
2023-06-20,256.5495910644531
2023-06-21,260.14056396484375
2023-06-22,261.5655822753906
2023-06-23,261.109619140625
2023-06-26,262.5915832519531
2023-06-27,262.0120544433594
2023-06-28,261.005126953125
2023-06-29,263.3896789550781
2023-06-30,266.5721435546875
2023-07-03,266.3155822753906
2023-07-05,266.714599609375
2023-07-06,265.0521240234375
2023-07-07,263.2661437988281
2023-07-10,264.42510986328125
2023-07-11,267.6551818847656
2023-07-12,255.2576141357422
2023-07-13,256.55908203125
2023-07-14,268.62420654296875
2023-07-17,267.1042175292969
2023-07-18,270.5811767578125
2023-07-19,278.0291748046875
2023-07-20,279.5113220214844
2023-07-21,279.083740234375
2023-07-24,277.459228515625
2023-07-25,279.957763671875
2023-07-26,276.1577453613281
2023-07-27,278.11474609375
2023-07-28,277.4972229003906
2023-07-31,280.34722900390625
2023-08-01,280.8602600097656
2023-08-02,284.43231201171875
2023-08-03,273.2601623535156
2023-08-04,272.253173828125
2023-08-07,277.2312316894531
2023-08-08,277.54473876953125
2023-08-09,273.9156799316406
2023-08-10,274.4667663574219
2023-08-11,275.0367431640625
2023-08-14,275.35015869140625
2023-08-15,274.8277587890625
2023-08-16,274.51422119140625
2023-08-17,257.0055236816406
2023-08-18,262.2116394042969
2023-08-21,267.19915771484375
2023-08-22,266.06866455078125
2023-08-23,267.74066162109375
2023-08-24,268.26318359375
2023-08-25,265.2706298828125
2023-08-28,267.4747009277344
2023-08-29,267.5601501464844
2023-08-30,268.5386962890625
2023-08-31,262.4491271972656
2023-09-01,262.8386535644531
2023-09-05,265.9971618652344
2023-09-06,263.0199279785156
2023-09-07,268.4210205078125
2023-09-08,268.6023254394531
2023-09-11,271.78948974609375
2023-09-12,273.4212341308594
2023-09-13,272.1616516113281
2023-09-14,270.3485412597656
2023-09-15,270.2626647949219
2023-09-18,272.28570556640625
2023-09-19,271.61773681640625
2023-09-20,274.1845703125
2023-09-21,277.53399658203125
2023-09-22,276.1980895996094
2023-09-25,280.87396240234375
2023-09-26,275.2725830078125
2023-09-27,275.4061279296875
2023-09-28,277.0378723144531
2023-09-29,272.9822998046875
2023-10-02,274.3850402832031
2023-10-03,271.3982238769531
2023-10-04,272.0375671386719
2023-10-05,272.2951965332031
2023-10-06,275.04345703125
2023-10-09,276.4176330566406
2023-10-10,278.4119873046875
2023-10-11,280.9789123535156
2023-10-12,282.2671203613281
2023-10-13,291.1321105957031
2023-10-16,297.8500671386719
2023-10-17,296.3900451660156
2023-10-18,297.668701171875
2023-10-19,295.9797058105469
2023-10-20,292.74481201171875
2023-10-23,287.2770080566406
2023-10-24,290.7027282714844
2023-10-25,289.987060546875
2023-10-26,290.302001953125
2023-10-27,289.3667907714844
2023-10-30,291.2562255859375
2023-10-31,295.05413818359375
