Date,FTI
2021-01-26,7.80052375793457
2021-01-27,8.25294017791748
2021-01-28,7.990246772766113
2021-01-29,7.80052375793457
2021-02-01,7.822414875030518
2021-02-02,7.785930633544922
2021-02-03,8.158077239990234
2021-02-04,8.355098724365234
2021-02-05,7.851602554321289
2021-02-08,7.749444484710693
2021-02-09,7.231355667114258
2021-02-10,7.559722423553467
2021-02-11,7.552425384521484
2021-02-12,7.523237705230713
2021-02-16,7.934029579162598
2021-02-17,7.649621486663818
2021-02-18,6.8846588134765625
2021-02-19,7.139647483825684
2021-02-22,7.080803871154785
2021-02-23,7.002345085144043
2021-02-24,7.443670272827148
2021-02-25,8.336126327514648
2021-02-26,8.0615234375
2021-03-01,8.257667541503906
2021-03-02,8.287090301513672
2021-03-03,8.512656211853027
2021-03-04,8.522461891174316
2021-03-05,9.081475257873535
2021-03-08,8.90494441986084
2021-03-09,8.502846717834473
2021-03-10,8.914751052856445
2021-03-11,8.718605995178223
2021-03-12,8.591113090515137
2021-03-15,8.551885604858398
2021-03-16,8.11056137084961
2021-03-17,8.257667541503906
2021-03-18,7.728079795837402
2021-03-19,7.679042816162109
2021-03-22,7.580971717834473
2021-03-23,7.325983047485352
2021-03-24,7.473092079162598
2021-03-25,7.522127151489258
2021-03-26,7.884994029998779
2021-03-29,7.59077787399292
2021-03-30,7.561357021331787
2021-03-31,7.571163654327393
2021-04-01,7.826149940490723
2021-04-05,7.698657989501953
2021-04-06,7.502513885498047
2021-04-07,7.728079795837402
2021-04-08,7.571163654327393
2021-04-09,7.404440879821777
2021-04-12,7.139647483825684
2021-04-13,7.12003231048584
2021-04-14,7.365212917327881
2021-04-15,7.178875923156738
2021-04-16,7.129839897155762
2021-04-19,7.139647483825684
2021-04-20,6.806202411651611
2021-04-21,7.031766891479492
2021-04-22,6.796393871307373
2021-04-23,6.8160080909729
2021-04-26,6.91408109664917
2021-04-27,7.110225677490234
2021-04-28,7.757500648498535
2021-04-29,7.502513885498047
2021-04-30,7.257333755493164
2021-05-03,7.669235706329346
2021-05-04,7.649621486663818
2021-05-05,8.002680778503418
2021-05-06,8.022295951843262
2021-05-07,8.414584159851074
2021-05-10,8.149789810180664
2021-05-11,8.0615234375
2021-05-12,7.904609680175781
2021-05-13,7.767308235168457
2021-05-14,8.051716804504395
2021-05-17,8.208632469177246
2021-05-18,8.15959644317627
2021-05-19,8.0615234375
2021-05-20,8.002680778503418
2021-05-21,8.051716804504395
2021-05-24,7.953646183013916
2021-05-25,7.884994029998779
2021-05-26,8.041910171508789
2021-05-27,8.502846717834473
2021-05-28,8.42439079284668
2021-06-01,8.797065734863281
2021-06-02,9.699329376220703
2021-06-03,10.11123275756836
2021-06-04,10.209301948547363
2021-06-07,10.101422309875488
2021-06-08,10.39564037322998
2021-06-09,10.27795124053955
2021-06-10,9.905279159545898
2021-06-11,9.93470287322998
2021-06-14,9.650291442871094
2021-06-15,9.767977714538574
2021-06-16,9.55221939086914
2021-06-17,9.022629737854004
2021-06-18,8.57149887084961
2021-06-21,9.179545402526855
2021-06-22,8.993209838867188
2021-06-23,9.052051544189453
2021-06-24,9.110895156860352
2021-06-25,9.326653480529785
2021-06-28,8.846101760864258
2021-06-29,8.748030662536621
2021-06-30,8.87552261352539
2021-07-01,9.179545402526855
2021-07-02,9.110895156860352
2021-07-06,8.542078018188477
2021-07-07,8.394969940185547
2021-07-08,8.326319694519043
2021-07-09,8.473428726196289
2021-07-12,8.267477035522461
2021-07-13,8.15959644317627
2021-07-14,7.904609680175781
2021-07-15,7.59077787399292
2021-07-16,7.433863162994385
2021-07-19,7.080803871154785
2021-07-20,7.316176891326904
2021-07-21,7.698657989501953
2021-07-22,7.100417613983154
2021-07-23,6.806202411651611
2021-07-26,7.247525691986084
2021-07-27,7.218104362487793
2021-07-28,7.267139911651611
2021-07-29,7.276947498321533
2021-07-30,7.080803871154785
2021-08-02,7.021960735321045
2021-08-03,7.139647483825684
2021-08-04,6.727744102478027
2021-08-05,6.747358798980713
2021-08-06,6.874852180480957
2021-08-09,6.727744102478027
2021-08-10,6.943501949310303
2021-08-11,7.021960735321045
2021-08-12,6.9336957931518555
2021-08-13,6.757165431976318
2021-08-16,6.4825639724731445
2021-08-17,6.413912773132324
2021-08-18,6.2962260246276855
2021-08-19,5.982397079467773
2021-08-20,6.070661544799805
2021-08-23,6.207961559295654
2021-08-24,6.472757339477539
2021-08-25,6.50217866897583
2021-08-26,6.453142166137695
2021-08-27,6.668901443481445
2021-08-30,6.4825639724731445
2021-08-31,6.50217866897583
2021-09-01,6.453142166137695
2021-09-02,6.659093856811523
2021-09-03,6.50217866897583
2021-09-07,6.4825639724731445
2021-09-08,6.168734073638916
2021-09-09,6.198154926300049
2021-09-10,6.453142166137695
2021-09-13,6.727744102478027
2021-09-14,6.727744102478027
2021-09-15,7.12003231048584
2021-09-16,6.982730388641357
2021-09-17,6.91408109664917
2021-09-20,6.541407108306885
2021-09-21,6.541407108306885
2021-09-22,6.69832181930542
2021-09-23,6.982730388641357
2021-09-24,7.070996284484863
2021-09-27,7.433863162994385
2021-09-28,7.306369304656982
2021-09-29,7.286754131317139
2021-09-30,7.384827136993408
2021-10-01,7.669235706329346
2021-10-04,7.757500648498535
2021-10-05,7.767308235168457
2021-10-06,7.5123209953308105
2021-10-07,7.639814376831055
2021-10-08,7.983066082000732
2021-10-11,7.73788595199585
2021-10-12,7.5123209953308105
2021-10-13,7.561357021331787
2021-10-14,7.649621486663818
2021-10-15,7.74769401550293
2021-10-18,7.571163654327393
2021-10-19,7.630007266998291
2021-10-20,7.934029579162598
2021-10-21,7.286754131317139
2021-10-22,7.561357021331787
2021-10-25,7.6005859375
2021-10-26,7.698657989501953
2021-10-27,7.355404853820801
2021-10-28,7.433863162994385
2021-10-29,7.227911472320557
2021-11-01,7.561357021331787
2021-11-02,7.424055576324463
2021-11-03,7.198490619659424
2021-11-04,7.23771858215332
2021-11-05,7.267139911651611
2021-11-08,7.375019550323486
2021-11-09,7.267139911651611
2021-11-10,6.8846588134765625
2021-11-11,6.91408109664917
2021-11-12,6.757165431976318
2021-11-15,6.747358798980713
2021-11-16,7.110225677490234
2021-11-17,6.5904436111450195
2021-11-18,6.4237213134765625
2021-11-19,6.109889507293701
2021-11-22,6.129504680633545
2021-11-23,6.247190475463867
2021-11-24,6.227576732635498
2021-11-26,5.815673351287842
2021-11-29,5.707794666290283
2021-11-30,5.560686111450195
2021-12-01,5.472421169281006
2021-12-02,5.7764434814453125
2021-12-03,5.815673351287842
2021-12-06,6.051046848297119
2021-12-07,6.237383842468262
2021-12-08,6.4825639724731445
2021-12-09,6.364876747131348
2021-12-10,6.4237213134765625
2021-12-13,5.9922027587890625
2021-12-14,5.786252975463867
2021-12-15,5.786252975463867
2021-12-16,5.7764434814453125
2021-12-17,5.786252975463867
2021-12-20,5.688179969787598
2021-12-21,5.943167209625244
2021-12-22,5.952975273132324
2021-12-23,5.923552989959717
2021-12-27,6.002010822296143
2021-12-28,5.972589015960693
2021-12-29,5.815673351287842
2021-12-30,5.7274088859558105
2021-12-31,5.80586576461792
2022-01-03,6.247190475463867
2022-01-04,6.4237213134765625
2022-01-05,6.335455894470215
2022-01-06,6.541407108306885
2022-01-07,6.717936038970947
2022-01-10,6.649286270141602
2022-01-11,6.737550735473633
2022-01-12,6.8160080909729
2022-01-13,6.727744102478027
2022-01-14,6.91408109664917
2022-01-18,6.8258161544799805
2022-01-19,6.717936038970947
2022-01-20,6.462949752807617
2022-01-21,6.355070114135742
2022-01-24,6.315841197967529
2022-01-25,6.678708076477051
2022-01-26,6.766972541809082
2022-01-27,6.50217866897583
2022-01-28,6.34526252746582
2022-01-31,6.364876747131348
2022-02-01,6.727744102478027
2022-02-02,6.639479637145996
2022-02-03,6.49237060546875
2022-02-04,6.659093856811523
2022-02-07,6.629672050476074
2022-02-08,6.413912773132324
2022-02-09,6.580636501312256
2022-02-10,6.49237060546875
2022-02-11,6.737550735473633
2022-02-14,6.521792888641357
2022-02-15,6.580636501312256
2022-02-16,6.678708076477051
2022-02-17,6.570828437805176
