Date,APH
2015-10-08,11.801255226135254
2015-10-09,11.760490417480469
2015-10-12,11.7831392288208
2015-10-13,11.706135749816895
2015-10-14,11.753694534301758
2015-10-15,11.962045669555664
2015-10-16,12.073016166687012
2015-10-19,12.020927429199219
2015-10-20,12.095664024353027
2015-10-21,11.420788764953613
2015-10-22,11.794456481933594
2015-10-23,12.12283992767334
2015-10-26,12.190778732299805
2015-10-27,12.227012634277344
2015-10-28,12.326659202575684
2015-10-29,12.319864273071289
2015-10-30,12.279101371765137
2015-11-02,12.471599578857422
2015-11-03,12.428571701049805
2015-11-04,12.43989086151123
2015-11-05,12.38780689239502
2015-11-06,12.494246482849121
2015-11-09,12.433099746704102
2015-11-10,12.328925132751465
2015-11-11,12.394599914550781
2015-11-12,12.208894729614258
2015-11-13,12.002808570861816
2015-11-16,12.3493070602417
2015-11-17,12.199837684631348
2015-11-18,12.410451889038086
2015-11-19,12.36063003540039
2015-11-20,12.394599914550781
2015-11-23,12.541804313659668
2015-11-24,12.385543823242188
2015-11-25,12.401395797729492
2015-11-27,12.446685791015625
2015-11-30,12.46706771850586
2015-12-01,12.566715240478516
2015-12-02,12.362892150878906
2015-12-03,12.143219947814941
2015-12-04,12.408188819885254
2015-12-07,12.390069961547852
2015-12-08,12.304012298583984
2015-12-09,12.204367637634277
2015-12-10,12.129632949829102
2015-12-11,11.945712089538574
2015-12-14,11.99566650390625
2015-12-15,11.904838562011719
2015-12-16,12.004744529724121
2015-12-17,11.972956657409668
2015-12-18,11.72546100616455
2015-12-21,11.829911231994629
2015-12-22,12.0410795211792
2015-12-23,12.156879425048828
2015-12-24,12.129631042480469
2015-12-28,12.072863578796387
2015-12-29,12.136446952819824
2015-12-30,12.018370628356934
2015-12-31,11.859426498413086
2016-01-04,11.550627708435059
2016-01-05,11.4212007522583
2016-01-06,11.150997161865234
2016-01-07,10.74909782409668
2016-01-08,10.587886810302734
2016-01-11,10.50614070892334
2016-01-12,10.769532203674316
2016-01-13,10.569717407226562
2016-01-14,10.606047630310059
2016-01-15,10.329031944274902
2016-01-19,10.313133239746094
2016-01-20,10.560637474060059
2016-01-21,10.84900188446045
2016-01-22,11.057903289794922
2016-01-25,10.939828872680664
2016-01-26,11.030654907226562
2016-01-27,10.987512588500977
2016-01-28,11.00340461730957
2016-01-29,11.25544261932373
2016-02-01,11.323564529418945
2016-02-02,11.171430587768555
2016-02-03,11.137370109558105
2016-02-04,11.25544261932373
2016-02-05,11.250904083251953
2016-02-08,11.121478080749512
2016-02-09,11.135104179382324
2016-02-10,11.28950309753418
2016-02-11,11.128289222717285
2016-02-12,11.24863338470459
2016-02-16,11.518832206726074
2016-02-17,11.811745643615723
2016-02-18,11.829911231994629
2016-02-19,11.829911231994629
2016-02-22,11.920735359191895
2016-02-23,11.841263771057129
2016-02-24,11.904838562011719
2016-02-25,11.97068977355957
2016-02-26,12.02064323425293
2016-02-29,12.050158500671387
2016-03-01,12.45660400390625
2016-03-02,12.531530380249023
2016-03-03,12.67685317993164
2016-03-04,12.76086711883545
2016-03-07,12.881206512451172
2016-03-08,12.642790794372559
2016-03-09,12.665499687194824
2016-03-10,12.583755493164062
2016-03-11,12.786351203918457
2016-03-14,12.672532081604004
2016-03-15,12.63839054107666
2016-03-16,12.840983390808105
2016-03-17,13.00032901763916
2016-03-18,13.120979309082031
2016-03-21,13.018540382385254
2016-03-22,13.036751747131348
2016-03-23,12.943422317504883
2016-03-24,13.013988494873047
2016-03-28,13.025368690490723
