Date,BMY
2018-02-21,49.24592590332031
2018-02-22,48.80921173095703
2018-02-23,50.297027587890625
2018-02-26,50.80037307739258
2018-02-27,50.215606689453125
2018-02-28,49.00165939331055
2018-03-01,48.62416076660156
2018-03-02,48.979454040527344
2018-03-05,49.46060562133789
2018-03-06,48.46131896972656
2018-03-07,48.92763900756836
2018-03-08,49.408775329589844
2018-03-09,50.27482223510742
2018-03-12,49.926918029785156
2018-03-13,49.35697555541992
2018-03-14,49.319950103759766
2018-03-15,49.0386848449707
2018-03-16,49.29774475097656
2018-03-19,48.90544128417969
2018-03-20,49.17190170288086
2018-03-21,48.92763900756836
2018-03-22,47.33621597290039
2018-03-23,45.93721389770508
2018-03-26,46.92909622192383
2018-03-27,46.1962890625
2018-03-28,46.314720153808594
2018-03-29,46.818058013916016
2018-04-02,45.89279556274414
2018-04-03,46.46275329589844
2018-04-04,46.61820983886719
2018-04-05,46.417076110839844
2018-04-06,45.35181427001953
2018-04-09,45.0538330078125
2018-04-10,45.59762954711914
2018-04-11,44.83034896850586
2018-04-12,43.83212661743164
2018-04-13,43.69060134887695
2018-04-16,40.286231994628906
2018-04-17,39.01984405517578
2018-04-18,38.960243225097656
2018-04-19,38.44623565673828
2018-04-20,38.11846160888672
2018-04-23,37.91732406616211
2018-04-24,38.42388153076172
2018-04-25,38.557979583740234
2018-04-26,38.76656723022461
2018-04-27,38.937889099121094
2018-04-30,38.83361053466797
2018-05-01,39.250762939453125
2018-05-02,38.364295959472656
2018-05-03,38.327049255371094
2018-05-04,38.23766326904297
2018-05-07,38.230201721191406
2018-05-08,37.64170455932617
2018-05-09,38.05886459350586
2018-05-10,38.10356521606445
2018-05-11,38.63247299194336
2018-05-14,38.75166320800781
2018-05-15,38.960243225097656
2018-05-16,38.8931999206543
2018-05-17,39.28800964355469
2018-05-18,39.265663146972656
2018-05-21,38.915550231933594
2018-05-22,38.99003982543945
2018-05-23,39.109222412109375
2018-05-24,39.250762939453125
2018-05-25,39.31036376953125
2018-05-29,38.937889099121094
2018-05-30,39.4965934753418
2018-05-31,39.19862365722656
2018-06-01,39.57853698730469
2018-06-04,38.327049255371094
2018-06-05,38.67716598510742
2018-06-06,39.4221076965332
2018-06-07,39.19862365722656
2018-06-08,39.60089111328125
2018-06-11,39.57109451293945
2018-06-12,39.57853698730469
2018-06-13,39.82436752319336
2018-06-14,39.951011657714844
2018-06-15,40.82258224487305
2018-06-18,39.965911865234375
2018-06-19,39.958457946777344
2018-06-20,40.41287612915039
2018-06-21,40.18194580078125
2018-06-22,41.075862884521484
2018-06-25,40.72575378417969
2018-06-26,40.9045295715332
2018-06-27,40.576759338378906
2018-06-28,41.1950569152832
2018-06-29,41.224853515625
2018-07-02,41.11311340332031
2018-07-03,41.455787658691406
2018-07-05,41.981021881103516
2018-07-06,42.43871307373047
2018-07-09,42.356178283691406
2018-07-10,42.15359115600586
2018-07-11,41.830955505371094
2018-07-12,42.626304626464844
2018-07-13,42.663822174072266
2018-07-16,42.341182708740234
2018-07-17,42.491249084472656
2018-07-18,42.678829193115234
2018-07-19,42.423709869384766
2018-07-20,42.551265716552734
2018-07-23,41.928497314453125
2018-07-24,43.71427536010742
2018-07-25,44.29953384399414
2018-07-26,43.459171295166016
2018-07-27,42.708831787109375
2018-07-30,44.21699905395508
2018-07-31,44.08194351196289
2018-08-01,44.73473358154297
2018-08-02,44.47211456298828
2018-08-03,44.38957595825195
2018-08-06,44.562164306640625
2018-08-07,44.254512786865234
2018-08-08,45.147403717041016
2018-08-09,44.66720199584961
2018-08-10,44.50212860107422
2018-08-13,44.58466339111328
2018-08-14,44.989845275878906
2018-08-15,45.21493911743164
2018-08-16,45.85273361206055
2018-08-17,45.68764877319336
2018-08-20,45.25996017456055
2018-08-21,45.07989501953125
2018-08-22,45.447547912597656
2018-08-23,45.0873908996582
2018-08-24,44.997352600097656
2018-08-27,45.02735900878906
2018-08-28,45.147403717041016
2018-08-29,45.86022186279297
2018-08-30,45.5375862121582
2018-08-31,45.43253707885742
2018-09-04,45.38001251220703
2018-09-05,45.92026138305664
2018-09-06,45.72516632080078
2018-09-07,46.00278854370117
2018-09-10,45.665138244628906
2018-09-11,45.38751983642578
2018-09-12,45.2674674987793
2018-09-13,45.612632751464844
2018-09-14,45.5375862121582
2018-09-17,45.99528503417969
2018-09-18,46.130348205566406
2018-09-19,45.62012481689453
2018-09-20,46.33293151855469
2018-09-21,46.708106994628906
2018-09-24,46.212886810302734
2018-09-25,46.38545608520508
2018-09-26,46.23539352416992
2018-09-27,46.482994079589844
2018-09-28,46.580543518066406
2018-10-01,46.595558166503906
2018-10-02,47.120784759521484
2018-10-03,47.00822830200195
2018-10-04,47.0912971496582
2018-10-05,47.12905502319336
2018-10-08,47.499088287353516
2018-10-09,47.7482795715332
2018-10-10,45.89060974121094
2018-10-11,43.421260833740234
2018-10-12,43.42880630493164
2018-10-15,43.50432205200195
2018-10-16,43.670467376708984
2018-10-17,44.47846603393555
2018-10-18,42.273433685302734
2018-10-19,41.00476837158203
2018-10-22,38.42216110229492
2018-10-23,38.248470306396484
2018-10-24,36.874088287353516
2018-10-25,37.16105651855469
2018-10-26,38.08233642578125
2018-10-29,37.55372619628906
2018-10-30,37.77271270751953
2018-10-31,38.165401458740234
2018-11-01,39.36609649658203
2018-11-02,38.2786750793457
2018-11-05,39.290584564208984
2018-11-06,38.77708053588867
2018-11-07,40.01552963256836
2018-11-08,39.879600524902344
2018-11-09,40.31759262084961
2018-11-12,39.90979766845703
2018-11-13,39.713462829589844
2018-11-14,39.713462829589844
2018-11-15,40.22697067260742
2018-11-16,40.831085205078125
2018-11-19,40.38555145263672
2018-11-20,40.415748596191406
2018-11-21,40.174102783203125
2018-11-23,39.970218658447266
2018-11-26,39.81917953491211
2018-11-27,38.62604522705078
2018-11-28,39.26791763305664
2018-11-29,39.13199996948242
2018-11-30,40.37044906616211
2018-12-03,40.234519958496094
2018-12-04,39.290584564208984
2018-12-06,40.211856842041016
2018-12-07,40.083499908447266
2018-12-10,39.70591735839844
2018-12-11,39.5926399230957
2018-12-12,40.35533905029297
2018-12-13,40.50636672973633
2018-12-14,39.35853958129883
2018-12-17,38.452354431152344
2018-12-18,38.93565368652344
2018-12-19,38.05213165283203
2018-12-20,37.80292510986328
2018-12-21,37.621681213378906
2018-12-24,36.821231842041016
2018-12-26,37.780277252197266
2018-12-27,38.067237854003906
2018-12-28,38.467464447021484
2018-12-31,39.2528190612793
2019-01-02,39.5926399230957
2019-01-03,34.34101104736328
2019-01-04,35.688175201416016
2019-01-07,36.84505081176758
2019-01-08,36.525390625
2019-01-09,35.90888595581055
2019-01-10,36.31989288330078
2019-01-11,36.525390625
2019-01-14,36.51016616821289
2019-01-15,37.84210205078125
2019-01-16,37.393043518066406
2019-01-17,37.75076675415039
2019-01-18,38.146541595458984
2019-01-22,37.84210205078125
2019-01-23,38.024757385253906
2019-01-24,37.309322357177734
2019-01-25,37.24081802368164
2019-01-28,36.77655029296875
2019-01-29,36.77655029296875
2019-01-30,37.18754577636719
2019-01-31,37.57571029663086
2019-02-01,37.971492767333984
2019-02-04,38.7021484375
2019-02-05,38.169376373291016
2019-02-06,38.92286682128906
2019-02-07,38.093265533447266
2019-02-08,38.22264862060547
2019-02-11,38.13131332397461
2019-02-12,37.83449172973633
2019-02-13,38.80108642578125
2019-02-14,38.686927795410156
2019-02-15,39.32624053955078
2019-02-19,39.09030532836914
2019-02-20,39.04464340209961
2019-02-21,38.15414810180664
2019-02-22,38.80108642578125
2019-02-25,38.5499267578125
2019-02-26,38.17698287963867
2019-02-27,38.785858154296875
2019-02-28,39.31863784790039
2019-03-01,40.5059700012207
2019-03-04,40.3765754699707
2019-03-05,40.94740295410156
2019-03-06,40.25480651855469
2019-03-07,39.2044792175293
2019-03-08,39.1131477355957
2019-03-11,38.74020004272461
2019-03-12,38.34443283081055
2019-03-13,38.79348373413086
2019-03-14,37.971492767333984
2019-03-15,38.024757385253906
2019-03-18,37.94865798950195
2019-03-19,37.75076675415039
2019-03-20,37.438716888427734
2019-03-21,37.23322296142578
2019-03-22,36.65476608276367
2019-03-25,36.144840240478516
2019-03-26,36.791770935058594
2019-03-27,36.517784118652344
2019-03-28,36.411224365234375
2019-03-29,36.31227493286133
2019-04-01,35.840396881103516
2019-04-02,35.543575286865234
2019-04-03,35.68055725097656
2019-04-04,35.834129333496094
2019-04-05,35.81108856201172
2019-04-08,35.926265716552734
2019-04-09,35.304325103759766
2019-04-10,35.2352294921875
2019-04-11,35.3887825012207
2019-04-12,34.98952102661133
2019-04-15,35.70359420776367
2019-04-16,35.33504867553711
2019-04-17,35.16611099243164
2019-04-18,34.95112991333008
2019-04-22,34.736141204833984
2019-04-23,34.797569274902344
2019-04-24,34.260093688964844
2019-04-25,35.043270111083984
2019-04-26,35.2352294921875
2019-04-29,35.56537628173828
2019-04-30,35.64984130859375
2019-05-01,35.7650260925293
2019-05-02,35.995357513427734
2019-05-03,37.33137512207031
2019-05-06,36.93210983276367
2019-05-07,36.25642013549805
2019-05-08,36.43301773071289
2019-05-09,36.264095306396484
2019-05-10,36.095184326171875
2019-05-13,35.24290466308594
2019-05-14,35.25058364868164
2019-05-15,35.803409576416016
2019-05-16,36.17965316772461
2019-05-17,35.972328186035156
2019-05-20,35.55771255493164
2019-05-21,36.41767501831055
2019-05-22,36.65568923950195
2019-05-23,36.3178596496582
2019-05-24,35.94162368774414
2019-05-28,35.21218490600586
2019-05-29,34.8436393737793
2019-05-30,35.22755432128906
2019-05-31,34.835960388183594
2019-06-03,35.41181945800781
2019-06-04,35.803409576416016
2019-06-05,35.803409576416016
2019-06-06,35.43486022949219
2019-06-07,35.89554214477539
2019-06-10,35.32735824584961
2019-06-11,35.98768615722656
2019-06-12,36.57123565673828
2019-06-13,36.34087371826172
2019-06-14,36.51748275756836
2019-06-17,37.016563415527344
2019-06-18,36.6940803527832
2019-06-19,37.32369613647461
2019-06-20,37.5386848449707
2019-06-21,37.88419723510742
2019-06-24,35.07398223876953
2019-06-25,35.143096923828125
2019-06-26,34.49043655395508
2019-06-27,34.6286506652832
2019-06-28,34.82060623168945
2019-07-01,35.45789337158203
2019-07-02,35.841800689697266
2019-07-03,36.06645202636719
2019-07-05,35.54743957519531
2019-07-08,35.454498291015625
2019-07-09,35.663639068603516
2019-07-10,35.6016731262207
2019-07-11,34.49394607543945
2019-07-12,34.29256057739258
2019-07-15,34.230587005615234
2019-07-16,34.43199157714844
2019-07-17,34.184112548828125
2019-07-18,34.122135162353516
2019-07-19,33.564422607421875
2019-07-22,33.130615234375
2019-07-23,33.34751510620117
2019-07-24,33.48695373535156
2019-07-25,35.167884826660156
2019-07-26,35.14464569091797
2019-07-29,35.16013717651367
2019-07-30,34.517208099365234
2019-07-31,34.40100860595703
2019-08-01,35.012962341308594
2019-08-02,35.62491226196289
2019-08-05,35.15238952636719
2019-08-06,35.392520904541016
2019-08-07,35.818580627441406
2019-08-08,36.63192367553711
2019-08-09,36.6551628112793
2019-08-12,36.027713775634766
2019-08-13,36.01221466064453
2019-08-14,35.35379409790039
2019-08-15,35.43899917602539
2019-08-16,36.391788482666016
2019-08-19,36.763607025146484
2019-08-20,36.895294189453125
2019-08-21,37.00374221801758
2019-08-22,37.073455810546875
2019-08-23,36.081932067871094
2019-08-26,37.26710510253906
2019-08-27,37.127685546875
2019-08-28,37.693153381347656
2019-08-29,37.391048431396484
2019-08-30,37.23612594604492
2019-09-03,37.21288299560547
2019-09-04,37.27486038208008
2019-09-05,37.57695770263672
2019-09-06,37.391048431396484
2019-09-09,37.25162124633789
2019-09-10,37.61569595336914
2019-09-11,38.142433166503906
2019-09-12,38.42905044555664
2019-09-13,38.289608001708984
2019-09-16,38.32060241699219
2019-09-17,38.529747009277344
2019-09-18,38.62269592285156
2019-09-19,38.78537368774414
2019-09-20,39.17267608642578
2019-09-23,39.133949279785156
2019-09-24,38.73889923095703
2019-09-25,38.607208251953125
2019-09-26,38.707916259765625
2019-09-27,38.90155792236328
2019-09-30,39.28113555908203
2019-10-01,39.23465347290039
2019-10-02,38.11919403076172
2019-10-03,38.705047607421875
2019-10-04,39.64240646362305
2019-10-07,39.74394989013672
2019-10-08,39.337764739990234
2019-10-09,39.70488357543945
2019-10-10,39.66583251953125
2019-10-11,40.31416702270508
2019-10-14,40.275108337402344
2019-10-15,40.486026763916016
2019-10-16,40.236061096191406
2019-10-17,40.946895599365234
2019-10-18,41.42338180541992
2019-10-21,41.55616760253906
2019-10-22,42.50914764404297
2019-10-23,42.782554626464844
2019-10-24,42.470088958740234
2019-10-25,42.946590423583984
2019-10-28,43.42308044433594
2019-10-29,43.563682556152344
2019-10-30,44.42292404174805
2019-10-31,44.81348419189453
2019-11-01,44.649452209472656
2019-11-04,44.24326705932617
2019-11-05,44.0479736328125
2019-11-06,44.49322509765625
2019-11-07,44.9775276184082
2019-11-08,45.321224212646484
2019-11-11,45.42277145385742
2019-11-12,45.610252380371094
2019-11-13,45.92269515991211
2019-11-14,45.703975677490234
2019-11-15,45.7664680480957
2019-11-18,45.032203674316406
2019-11-19,44.118282318115234
2019-11-20,44.06360626220703
2019-11-21,44.40730285644531
2019-11-22,44.0948486328125
2019-11-25,43.876136779785156
2019-11-26,44.31357192993164
2019-11-27,44.993141174316406
2019-11-29,44.47760009765625
2019-12-02,44.84473419189453
2019-12-03,45.110321044921875
2019-12-04,46.00861740112305
2019-12-05,46.461669921875
2019-12-06,46.82880783081055
2019-12-09,47.867713928222656
2019-12-10,48.500431060791016
2019-12-11,48.750389099121094
2019-12-12,49.945526123046875
2019-12-13,49.85178756713867
2019-12-16,49.60181427001953
2019-12-17,50.078311920166016
2019-12-18,49.32842254638672
2019-12-19,49.094093322753906
2019-12-20,49.6096305847168
2019-12-23,49.37529754638672
2019-12-24,49.33623504638672
2019-12-26,49.96113967895508
2019-12-27,50.10174560546875
2019-12-30,49.7814826965332
