Date,L
2019-08-30,46.79404830932617
2019-09-03,46.706443786621094
2019-09-04,47.35866165161133
2019-09-05,47.66042709350586
2019-09-06,47.97193908691406
2019-09-09,48.293174743652344
2019-09-10,48.585208892822266
2019-09-11,48.70203399658203
2019-09-12,49.05247116088867
2019-09-13,49.45159912109375
2019-09-16,49.6560173034668
2019-09-17,50.00645446777344
2019-09-18,49.918853759765625
2019-09-19,49.694950103759766
2019-09-20,49.61708068847656
2019-09-23,50.21088790893555
2019-09-24,50.279029846191406
2019-09-25,49.66575241088867
2019-09-26,49.792301177978516
2019-09-27,50.14275360107422
2019-09-30,50.113548278808594
2019-10-01,48.789634704589844
2019-10-02,47.572811126708984
2019-10-03,47.86484909057617
2019-10-04,48.66309356689453
2019-10-07,48.263973236083984
2019-10-08,47.3975944519043
2019-10-09,47.796714782714844
2019-10-10,48.225040435791016
2019-10-11,49.140079498291016
2019-10-14,49.07194519042969
2019-10-15,49.71442413330078
2019-10-16,49.59761428833008
2019-10-17,49.50025939941406
2019-10-18,49.60734176635742
2019-10-21,50.09406661987305
2019-10-22,49.53919982910156
2019-10-23,49.74361801147461
2019-10-24,49.49052810668945
2019-10-25,49.64628982543945
2019-10-28,48.108219146728516
2019-10-29,48.07901382446289
2019-10-30,47.89405822753906
2019-10-31,47.69937515258789
2019-11-01,48.46839904785156
2019-11-04,48.47813415527344
2019-11-05,49.14983367919922
2019-11-06,49.51972961425781
2019-11-07,49.67548370361328
2019-11-08,49.64628982543945
2019-11-11,49.179019927978516
2019-11-12,49.30558395385742
2019-11-13,49.02327346801758
2019-11-14,48.760440826416016
2019-11-15,48.82858657836914
2019-11-18,48.93566131591797
2019-11-19,48.848045349121094
2019-11-20,49.01353454589844
2019-11-21,49.11088562011719
2019-11-22,49.30558395385742
2019-11-25,49.45159912109375
2019-11-26,49.26933670043945
2019-11-27,49.7274169921875
2019-11-29,49.61045455932617
2019-12-02,48.898948669433594
2019-12-03,47.27126693725586
2019-12-04,47.641639709472656
2019-12-05,47.90479278564453
2019-12-06,48.88921356201172
2019-12-09,49.05490493774414
2019-12-10,48.80148696899414
2019-12-11,48.723514556884766
2019-12-12,49.795654296875
2019-12-13,49.32781219482422
2019-12-16,49.77614974975586
2019-12-17,50.097801208496094
2019-12-18,50.019813537597656
2019-12-19,49.87362289428711
2019-12-20,50.3512077331543
2019-12-23,50.097801208496094
2019-12-24,50.14653396606445
2019-12-26,50.62410354614258
